Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
16.02.2021	592	808	1.572	1.469	1.403	1.580	960	659	763	229
15.02.2021	600	791	1.646	1.481	1.432	1.608	975	644	780	235
14.02.2021	586	789	1.637	1.471	1.435	1.610	987	657	803	242
13.02.2021	571	796	1.613	1.452	1.393	1.580	968	650	773	244
12.02.2021	580	822	1.694	1.527	1.462	1.693	1.022	681	784	249
11.02.2021	627	860	1.726	1.614	1.473	1.746	1.058	690	849	262
10.02.2021	629	917	1.810	1.677	1.573	1.852	1.123	701	924	311
09.02.2021	645	966	1.898	1.813	1.691	1.961	1.218	737	1.008	346
08.02.2021	664	1.016	1.976	1.881	1.738	2.067	1.271	791	1.039	365
07.02.2021	677	1.036	2.021	1.909	1.798	2.124	1.309	811	1.078	361
06.02.2021	695	1.074	2.090	1.925	1.863	2.184	1.353	827	1.110	371
05.02.2021	692	1.107	2.134	1.959	1.917	2.204	1.393	855	1.152	409
04.02.2021	644	1.114	2.203	2.034	1.991	2.301	1.425	901	1.182	466
03.02.2021	638	1.125	2.258	2.019	1.993	2.345	1.470	928	1.210	474
02.02.2021	631	1.146	2.323	2.030	2.073	2.408	1.475	979	1.309	512
01.02.2021	618	1.158	2.386	2.137	2.126	2.506	1.501	1.012	1.380	527
31.01.2021	621	1.153	2.446	2.200	2.127	2.561	1.524	1.039	1.417	574
30.01.2021	626	1.124	2.428	2.198	2.111	2.548	1.507	1.047	1.420	594
29.01.2021	621	1.141	2.503	2.229	2.138	2.618	1.532	1.097	1.498	628
28.01.2021	681	1.184	2.587	2.265	2.180	2.721	1.601	1.137	1.554	641
27.01.2021	700	1.218	2.683	2.395	2.227	2.826	1.621	1.176	1.617	657
26.01.2021	710	1.299	2.838	2.604	2.335	3.002	1.710	1.198	1.649	658
25.01.2021	743	1.370	2.943	2.681	2.472	3.124	1.764	1.225	1.708	714
24.01.2021	766	1.416	2.982	2.717	2.495	3.163	1.791	1.237	1.734	710
23.01.2021	773	1.436	3.033	2.761	2.519	3.187	1.821	1.239	1.763	713
22.01.2021	799	1.487	3.054	2.849	2.579	3.267	1.842	1.219	1.737	696
21.01.2021	795	1.526	3.225	2.913	2.617	3.303	1.841	1.229	1.760	698
20.01.2021	821	1.574	3.322	3.012	2.706	3.412	1.909	1.258	1.874	762
19.01.2021	857	1.630	3.384	3.069	2.772	3.461	1.936	1.262	1.833	789
18.01.2021	865	1.647	3.506	3.199	2.836	3.538	1.988	1.297	1.886	816
17.01.2021	885	1.700	3.592	3.267	2.948	3.620	2.016	1.340	1.907	822
16.01.2021	881	1.747	3.677	3.307	3.029	3.721	2.020	1.362	1.944	815
15.01.2021	875	1.775	3.785	3.298	3.048	3.698	2.041	1.397	1.988	830
14.01.2021	863	1.872	3.877	3.437	3.180	3.767	2.162	1.460	2.078	867
13.01.2021	877	1.995	4.157	3.672	3.329	3.903	2.240	1.517	2.059	845
12.01.2021	905	2.074	4.502	3.926	3.565	4.156	2.413	1.636	2.206	903
11.01.2021	925	2.137	4.722	4.106	3.636	4.280	2.504	1.705	2.234	887
10.01.2021	919	2.118	4.762	4.188	3.643	4.291	2.537	1.706	2.260	916
09.01.2021	922	2.126	4.797	4.231	3.669	4.308	2.578	1.737	2.278	959
08.01.2021	849	1.981	4.563	4.065	3.505	4.137	2.458	1.691	2.246	942
07.01.2021	780	1.726	4.116	3.666	3.141	3.778	2.210	1.519	2.025	847
06.01.2021	716	1.555	3.731	3.291	2.925	3.504	2.050	1.455	1.899	794
05.01.2021	698	1.521	3.598	3.140	2.893	3.562	2.105	1.423	1.980	784
04.01.2021	708	1.534	3.492	2.993	2.945	3.633	2.158	1.424	1.986	813
03.01.2021	680	1.509	3.474	2.958	2.983	3.732	2.202	1.437	2.027	838
02.01.2021	733	1.539	3.513	3.001	3.025	3.821	2.229	1.469	2.128	872
01.01.2021	753	1.551	3.531	2.999	3.054	3.878	2.252	1.485	2.121	883
31.12.2020	771	1.596	3.568	3.089	3.112	3.990	2.309	1.517	2.186	895
30.12.2020	839	1.614	3.638	3.242	3.222	4.117	2.401	1.511	2.191	915
29.12.2020	925	1.748	3.788	3.407	3.408	4.244	2.476	1.602	2.195	899
28.12.2020	1.041	1.801	3.840	3.509	3.551	4.345	2.503	1.631	2.262	894
27.12.2020	1.182	1.966	4.116	3.697	3.755	4.550	2.643	1.707	2.329	907
26.12.2020	1.213	2.061	4.189	3.828	3.855	4.690	2.712	1.722	2.336	915
25.12.2020	1.355	2.299	4.538	4.193	4.172	5.072	2.944	1.832	2.504	960
24.12.2020	1.514	2.640	5.167	4.682	4.772	5.656	3.267	2.030	2.751	1.056
