Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
13.02.2021	549	762	1.551	1.411	1.348	1.530	939	627	746	236
12.02.2021	580	815	1.689	1.522	1.443	1.670	1.012	677	774	245
11.02.2021	631	860	1.726	1.615	1.471	1.739	1.057	694	846	262
10.02.2021	631	918	1.809	1.679	1.570	1.853	1.123	707	922	315
09.02.2021	647	968	1.897	1.817	1.690	1.964	1.219	742	1.006	351
08.02.2021	665	1.017	1.975	1.885	1.736	2.071	1.271	796	1.039	369
07.02.2021	678	1.036	2.021	1.914	1.799	2.130	1.310	816	1.080	363
06.02.2021	695	1.076	2.089	1.930	1.865	2.191	1.354	831	1.113	372
05.02.2021	692	1.109	2.132	1.963	1.919	2.210	1.394	859	1.155	411
04.02.2021	645	1.114	2.204	2.040	1.994	2.305	1.425	903	1.185	468
03.02.2021	639	1.125	2.255	2.023	1.996	2.348	1.470	930	1.216	473
02.02.2021	633	1.146	2.321	2.032	2.076	2.410	1.475	981	1.316	512
01.02.2021	620	1.159	2.384	2.139	2.128	2.507	1.503	1.016	1.385	527
31.01.2021	623	1.155	2.445	2.201	2.128	2.560	1.526	1.042	1.424	575
30.01.2021	628	1.125	2.428	2.200	2.112	2.547	1.509	1.050	1.427	595
29.01.2021	623	1.142	2.507	2.232	2.139	2.618	1.534	1.099	1.504	628
28.01.2021	682	1.185	2.589	2.267	2.180	2.723	1.603	1.140	1.560	640
27.01.2021	701	1.219	2.687	2.395	2.227	2.827	1.624	1.178	1.620	657
26.01.2021	710	1.299	2.841	2.605	2.335	3.003	1.712	1.201	1.651	658
25.01.2021	743	1.370	2.946	2.682	2.472	3.125	1.766	1.227	1.711	714
24.01.2021	766	1.416	2.984	2.718	2.495	3.165	1.793	1.239	1.735	710
23.01.2021	773	1.436	3.035	2.760	2.520	3.189	1.823	1.242	1.764	713
22.01.2021	798	1.487	3.053	2.846	2.580	3.268	1.843	1.222	1.737	696
21.01.2021	794	1.526	3.226	2.909	2.618	3.303	1.843	1.231	1.761	699
20.01.2021	821	1.574	3.324	3.012	2.709	3.414	1.912	1.260	1.877	762
19.01.2021	857	1.630	3.387	3.068	2.775	3.461	1.941	1.262	1.836	789
18.01.2021	865	1.648	3.509	3.199	2.839	3.539	1.991	1.296	1.888	817
17.01.2021	885	1.701	3.596	3.269	2.953	3.622	2.019	1.339	1.909	823
16.01.2021	881	1.748	3.680	3.310	3.033	3.723	2.023	1.360	1.946	816
15.01.2021	876	1.776	3.788	3.302	3.052	3.700	2.045	1.395	1.991	831
14.01.2021	864	1.874	3.881	3.444	3.184	3.770	2.167	1.460	2.080	868
13.01.2021	877	1.997	4.161	3.680	3.331	3.905	2.243	1.520	2.061	847
12.01.2021	905	2.076	4.506	3.935	3.568	4.158	2.413	1.642	2.208	905
11.01.2021	925	2.138	4.725	4.114	3.639	4.280	2.505	1.712	2.236	888
10.01.2021	919	2.119	4.764	4.194	3.644	4.290	2.538	1.713	2.263	917
09.01.2021	922	2.127	4.800	4.237	3.670	4.307	2.579	1.744	2.283	960
08.01.2021	849	1.982	4.565	4.072	3.506	4.136	2.460	1.698	2.250	942
07.01.2021	780	1.726	4.117	3.670	3.142	3.777	2.210	1.524	2.029	846
06.01.2021	716	1.555	3.732	3.292	2.927	3.502	2.050	1.457	1.902	793
05.01.2021	698	1.521	3.598	3.142	2.896	3.561	2.106	1.424	1.984	783
04.01.2021	707	1.534	3.493	2.996	2.948	3.633	2.159	1.425	1.990	812
03.01.2021	679	1.509	3.475	2.961	2.986	3.732	2.203	1.438	2.029	836
02.01.2021	732	1.539	3.515	3.004	3.028	3.820	2.230	1.470	2.128	870
01.01.2021	752	1.551	3.533	3.001	3.057	3.877	2.252	1.486	2.122	882
31.12.2020	770	1.596	3.570	3.091	3.115	3.988	2.309	1.517	2.187	894
30.12.2020	838	1.614	3.639	3.244	3.225	4.114	2.401	1.511	2.190	913
29.12.2020	924	1.748	3.787	3.407	3.409	4.241	2.475	1.601	2.188	896
28.12.2020	1.041	1.801	3.839	3.508	3.552	4.340	2.504	1.630	2.255	891
27.12.2020	1.182	1.966	4.116	3.696	3.755	4.545	2.644	1.706	2.323	905
26.12.2020	1.213	2.061	4.189	3.826	3.854	4.686	2.713	1.721	2.330	913
25.12.2020	1.355	2.299	4.538	4.192	4.170	5.068	2.945	1.831	2.498	958
