Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
01.02.2021	603	1.117	2.305	2.082	2.055	2.439	1.460	993	1.344	525
31.01.2021	620	1.146	2.423	2.182	2.116	2.544	1.515	1.037	1.412	576
30.01.2021	626	1.116	2.408	2.184	2.105	2.532	1.500	1.045	1.412	597
29.01.2021	623	1.134	2.495	2.217	2.136	2.607	1.530	1.099	1.486	625
28.01.2021	684	1.181	2.583	2.257	2.180	2.718	1.604	1.145	1.548	636
27.01.2021	703	1.216	2.688	2.382	2.228	2.827	1.629	1.186	1.616	653
26.01.2021	712	1.295	2.842	2.591	2.333	3.003	1.712	1.206	1.653	653
25.01.2021	745	1.366	2.946	2.672	2.472	3.123	1.765	1.232	1.711	707
24.01.2021	768	1.411	2.982	2.711	2.498	3.164	1.789	1.242	1.735	707
23.01.2021	775	1.432	3.034	2.753	2.522	3.187	1.818	1.246	1.765	711
22.01.2021	798	1.483	3.050	2.839	2.581	3.266	1.840	1.223	1.737	696
21.01.2021	796	1.523	3.222	2.904	2.617	3.300	1.838	1.230	1.762	700
20.01.2021	822	1.569	3.318	3.010	2.709	3.409	1.903	1.260	1.880	762
19.01.2021	856	1.626	3.386	3.063	2.777	3.456	1.939	1.264	1.842	791
18.01.2021	864	1.644	3.510	3.196	2.838	3.536	1.988	1.296	1.895	819
17.01.2021	883	1.699	3.600	3.268	2.951	3.617	2.021	1.340	1.915	822
16.01.2021	879	1.746	3.682	3.309	3.032	3.720	2.025	1.360	1.951	815
15.01.2021	875	1.774	3.790	3.301	3.052	3.695	2.048	1.394	1.995	830
14.01.2021	862	1.872	3.885	3.445	3.186	3.767	2.168	1.462	2.085	868
13.01.2021	875	1.999	4.164	3.681	3.333	3.905	2.249	1.522	2.062	849
12.01.2021	905	2.075	4.504	3.939	3.571	4.158	2.419	1.644	2.205	904
11.01.2021	924	2.137	4.724	4.115	3.643	4.283	2.511	1.714	2.235	889
10.01.2021	919	2.117	4.761	4.194	3.648	4.296	2.541	1.716	2.264	919
09.01.2021	922	2.126	4.801	4.242	3.676	4.313	2.582	1.746	2.283	962
08.01.2021	848	1.982	4.568	4.076	3.510	4.143	2.463	1.701	2.251	943
07.01.2021	779	1.726	4.119	3.671	3.146	3.782	2.215	1.526	2.028	847
06.01.2021	715	1.552	3.736	3.294	2.930	3.508	2.053	1.457	1.904	793
05.01.2021	697	1.521	3.607	3.144	2.895	3.567	2.106	1.422	1.987	785
04.01.2021	706	1.534	3.501	2.999	2.946	3.637	2.161	1.424	1.991	814
03.01.2021	677	1.509	3.486	2.965	2.985	3.734	2.205	1.436	2.029	838
02.01.2021	730	1.538	3.523	3.004	3.024	3.820	2.233	1.471	2.130	872
01.01.2021	750	1.550	3.537	3.002	3.054	3.877	2.254	1.487	2.124	885
31.12.2020	768	1.595	3.575	3.092	3.111	3.988	2.310	1.517	2.188	899
30.12.2020	836	1.615	3.643	3.247	3.219	4.111	2.401	1.510	2.192	917
29.12.2020	925	1.749	3.789	3.409	3.405	4.235	2.474	1.600	2.190	899
28.12.2020	1.042	1.803	3.841	3.511	3.555	4.332	2.499	1.629	2.260	892
27.12.2020	1.185	1.968	4.116	3.694	3.755	4.537	2.640	1.707	2.328	905
26.12.2020	1.216	2.064	4.188	3.822	3.855	4.679	2.708	1.721	2.334	913
25.12.2020	1.356	2.301	4.540	4.189	4.174	5.061	2.941	1.831	2.501	958
24.12.2020	1.516	2.640	5.169	4.678	4.771	5.650	3.267	2.030	2.749	1.049
23.12.2020	1.615	2.886	5.585	4.997	5.132	6.057	3.473	2.166	2.921	1.090
22.12.2020	1.649	2.919	5.436	4.985	4.959	5.949	3.332	2.084	2.880	1.083
21.12.2020	1.654	3.013	5.405	4.946	4.876	5.820	3.296	2.005	2.787	1.066
20.12.2020	1.693	3.066	5.336	4.943	4.796	5.687	3.207	1.983	2.757	1.037
19.12.2020	1.706	3.050	5.299	4.853	4.734	5.586	3.169	1.954	2.687	1.016
18.12.2020	1.737	3.120	5.265	4.815	4.676	5.473	3.091	1.911	2.647	1.023
17.12.2020	1.785	3.188	5.164	4.806	4.682	5.444	3.068	1.899	2.639	1.033
16.12.2020	1.816	3.300	5.094	4.735	4.554	5.311	2.978	1.866	2.613	1.031
15.12.2020	1.773	3.287	5.089	4.549	4.470	5.183	2.842	1.781	2.461	1.004
14.12.2020	1.690	3.272	5.036	4.472	4.389	5.089	2.740	1.755	2.396	948
13.12.2020	1.632	3.251	4.960	4.388	4.379	5.109	2.709	1.716	2.342	957
12.12.2020	1.588	3.240	4.905	4.320	4.324	5.033	2.674	1.681	2.306	911
11.12.2020	1.529	3.204	4.794	4.206	4.275	4.997	2.614	1.617	2.157	851
10.12.2020	1.456	3.096	4.706	4.061	4.004	4.782	2.449	1.520	1.999	822
09.12.2020	1.388	2.991	4.575	3.896	3.911	4.631	2.342	1.422	1.896	807
08.12.2020	1.380	2.992	4.455	3.852	3.839	4.516	2.360	1.397	1.858	768
07.12.2020	1.389	2.933	4.294	3.776	3.773	4.396	2.284	1.366	1.788	778
06.12.2020	1.354	2.934	4.247	3.675	3.672	4.244	2.214	1.312	1.712	725
05.12.2020	1.370	2.915	4.200	3.686	3.658	4.199	2.185	1.320	1.730	716
04.12.2020	1.392	2.954	4.193	3.677	3.657	4.141	2.181	1.343	1.758	725
03.12.2020	1.397	2.968	4.094	3.640	3.673	4.121	2.211	1.316	1.771	695
02.12.2020	1.427	2.974	4.050	3.622	3.692	4.108	2.234	1.321	1.701	626
01.12.2020	1.445	2.987	4.067	3.721	3.730	4.117	2.222	1.321	1.642	575
30.11.2020	1.425	3.081	4.113	3.826	3.794	4.197	2.250	1.307	1.670	551
29.11.2020	1.491	3.239	4.272	4.042	4.015	4.402	2.333	1.348	1.721	589
28.11.2020	1.490	3.252	4.276	4.029	4.049	4.417	2.335	1.364	1.674	610
27.11.2020	1.444	3.216	4.259	4.055	4.025	4.439	2.325	1.309	1.589	565
26.11.2020	1.492	3.345	4.453	4.172	4.147	4.558	2.367	1.335	1.523	533
25.11.2020	1.559	3.516	4.676	4.361	4.252	4.739	2.442	1.372	1.543	550
24.11.2020	1.598	3.611	4.859	4.406	4.421	4.787	2.436	1.367	1.544	581
23.11.2020	1.608	3.564	4.979	4.357	4.463	4.767	2.453	1.399	1.496	577
22.11.2020	1.628	3.546	5.059	4.398	4.424	4.750	2.482	1.399	1.451	550
21.11.2020	1.615	3.629	5.157	4.501	4.470	4.829	2.498	1.367	1.449	529
20.11.2020	1.700	3.742	5.356	4.616	4.602	4.982	2.553	1.427	1.548	559
19.11.2020	1.731	3.800	5.383	4.613	4.595	4.982	2.510	1.438	1.533	555
18.11.2020	1.686	3.797	5.461	4.648	4.627	5.018	2.465	1.446	1.484	512
17.11.2020	1.667	3.781	5.434	4.563	4.480	4.994	2.438	1.459	1.464	493
16.11.2020	1.691	3.857	5.462	4.599	4.471	4.984	2.392	1.414	1.448	487
15.11.2020	1.703	3.936	5.558	4.632	4.508	4.991	2.346	1.417	1.420	457
14.11.2020	1.777	3.979	5.717	4.677	4.579	5.066	2.419	1.470	1.407	444
13.11.2020	1.738	3.934	5.705	4.653	4.576	4.932	2.394	1.434	1.313	412
12.11.2020	1.729	3.938	5.808	4.688	4.593	4.904	2.387	1.408	1.274	391
11.11.2020	1.751	3.977	5.898	4.711	4.653	4.888	2.415	1.362	1.218	364
10.11.2020	1.682	3.941	5.924	4.721	4.716	4.966	2.446	1.343	1.204	335
09.11.2020	1.704	3.948	6.015	4.795	4.715	5.065	2.487	1.362	1.199	325
08.11.2020	1.652	3.832	5.986	4.738	4.731	5.085	2.466	1.357	1.177	323
07.11.2020	1.683	3.868	6.075	4.817	4.781	5.133	2.483	1.338	1.155	321
06.11.2020	1.663	3.848	6.159	4.808	4.784	5.200	2.469	1.367	1.165	312
05.11.2020	1.685	3.814	6.188	4.829	4.838	5.248	2.458	1.367	1.119	294
04.11.2020	1.674	3.793	6.189	4.823	4.832	5.216	2.425	1.427	1.137	314
03.11.2020	1.711	3.786	6.110	4.829	4.798	5.132	2.367	1.434	1.062	315
