Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
15.03.2021	1.435	1.583	2.539	2.364	2.118	2.352	1.180	608	482	115
14.03.2021	1.434	1.547	2.532	2.348	2.123	2.343	1.186	625	484	118
13.03.2021	1.395	1.509	2.477	2.289	2.077	2.290	1.163	617	480	120
12.03.2021	1.363	1.470	2.431	2.201	2.006	2.219	1.130	606	480	120
11.03.2021	1.345	1.396	2.343	2.082	1.949	2.115	1.092	577	474	115
10.03.2021	1.265	1.334	2.201	2.064	1.892	1.999	1.071	553	463	109
09.03.2021	1.135	1.244	2.038	1.990	1.790	1.900	1.011	554	471	97
08.03.2021	1.079	1.198	2.061	1.934	1.765	1.856	1.027	576	490	98
07.03.2021	1.048	1.189	2.085	1.920	1.763	1.856	1.034	572	493	102
06.03.2021	1.022	1.196	2.088	1.929	1.765	1.858	1.029	570	497	103
05.03.2021	974	1.191	2.058	1.888	1.772	1.824	1.019	577	506	106
04.03.2021	882	1.179	2.003	1.843	1.752	1.840	1.027	597	531	119
03.03.2021	838	1.146	1.988	1.755	1.751	1.838	1.035	603	538	123
02.03.2021	837	1.157	2.065	1.804	1.843	1.932	1.144	626	578	138
01.03.2021	777	1.105	2.019	1.775	1.811	1.902	1.109	636	562	143
28.02.2021	759	1.076	1.960	1.761	1.794	1.894	1.101	655	575	147
27.02.2021	759	1.058	1.973	1.749	1.790	1.911	1.118	662	571	146
26.02.2021	736	1.062	1.999	1.781	1.776	1.948	1.148	678	582	150
25.02.2021	711	1.023	2.002	1.764	1.759	1.967	1.164	685	599	146
24.02.2021	699	1.004	2.008	1.771	1.741	1.999	1.140	707	627	164
23.02.2021	632	921	1.929	1.653	1.651	1.908	1.068	695	633	167
22.02.2021	611	918	1.872	1.610	1.590	1.874	1.079	706	685	180
21.02.2021	614	936	1.893	1.622	1.576	1.871	1.072	689	701	181
20.02.2021	601	925	1.874	1.635	1.596	1.868	1.071	694	736	188
19.02.2021	595	868	1.781	1.583	1.526	1.771	1.028	672	756	189
18.02.2021	586	858	1.740	1.552	1.542	1.716	1.012	689	768	202
17.02.2021	586	829	1.657	1.559	1.501	1.660	1.016	684	790	214
16.02.2021	602	828	1.619	1.509	1.445	1.628	974	684	781	235
15.02.2021	601	791	1.640	1.480	1.437	1.615	966	650	778	236
14.02.2021	588	789	1.625	1.471	1.435	1.611	976	658	798	240
13.02.2021	571	794	1.600	1.451	1.393	1.584	954	649	768	243
12.02.2021	578	819	1.682	1.526	1.461	1.699	1.012	679	782	245
11.02.2021	625	858	1.720	1.609	1.472	1.752	1.051	689	843	260
10.02.2021	629	914	1.799	1.666	1.570	1.849	1.118	700	918	308
09.02.2021	645	964	1.888	1.800	1.690	1.956	1.212	736	994	341
08.02.2021	665	1.015	1.969	1.869	1.738	2.058	1.270	790	1.028	360
07.02.2021	676	1.035	2.015	1.893	1.796	2.114	1.311	809	1.065	356
06.02.2021	697	1.072	2.079	1.910	1.859	2.174	1.356	822	1.097	367
05.02.2021	695	1.106	2.122	1.945	1.910	2.192	1.396	850	1.138	408
04.02.2021	647	1.114	2.188	2.024	1.986	2.288	1.429	896	1.169	465
03.02.2021	639	1.123	2.251	2.013	1.991	2.336	1.469	923	1.193	476
02.02.2021	631	1.141	2.319	2.020	2.066	2.396	1.470	972	1.298	515
01.02.2021	619	1.154	2.380	2.125	2.121	2.498	1.494	1.004	1.369	529
31.01.2021	623	1.148	2.441	2.187	2.122	2.555	1.516	1.031	1.411	570
30.01.2021	626	1.121	2.426	2.186	2.109	2.541	1.501	1.040	1.414	587
29.01.2021	621	1.137	2.501	2.217	2.139	2.614	1.527	1.089	1.491	620
28.01.2021	682	1.178	2.585	2.251	2.179	2.719	1.594	1.132	1.548	631
27.01.2021	701	1.217	2.674	2.383	2.227	2.828	1.621	1.173	1.613	650
26.01.2021	712	1.299	2.828	2.599	2.338	3.004	1.710	1.197	1.649	652
25.01.2021	745	1.368	2.935	2.677	2.472	3.121	1.764	1.222	1.708	709
24.01.2021	768	1.415	2.971	2.712	2.494	3.157	1.790	1.235	1.731	709
23.01.2021	776	1.435	3.026	2.758	2.517	3.185	1.818	1.239	1.760	712
22.01.2021	802	1.485	3.045	2.843	2.573	3.260	1.840	1.220	1.735	694
21.01.2021	797	1.527	3.218	2.915	2.612	3.299	1.845	1.227	1.760	696
20.01.2021	822	1.571	3.312	3.013	2.696	3.403	1.908	1.255	1.872	757
19.01.2021	856	1.629	3.377	3.070	2.765	3.454	1.941	1.259	1.827	788
18.01.2021	864	1.646	3.499	3.203	2.831	3.536	1.993	1.295	1.881	813
17.01.2021	884	1.699	3.590	3.271	2.944	3.619	2.019	1.337	1.903	822
16.01.2021	880	1.745	3.672	3.312	3.025	3.715	2.023	1.358	1.940	817
15.01.2021	874	1.774	3.783	3.307	3.049	3.697	2.043	1.390	1.984	835
14.01.2021	862	1.870	3.874	3.441	3.182	3.766	2.159	1.452	2.075	876
13.01.2021	877	1.992	4.156	3.679	3.335	3.906	2.237	1.508	2.059	852
12.01.2021	905	2.070	4.501	3.934	3.571	4.158	2.407	1.628	2.203	907
11.01.2021	925	2.138	4.722	4.113	3.641	4.280	2.499	1.703	2.231	892
10.01.2021	918	2.120	4.760	4.198	3.649	4.293	2.535	1.704	2.258	919
09.01.2021	920	2.128	4.796	4.238	3.676	4.313	2.576	1.734	2.277	962
08.01.2021	847	1.984	4.561	4.070	3.510	4.142	2.455	1.691	2.244	943
07.01.2021	778	1.728	4.114	3.670	3.145	3.780	2.209	1.518	2.021	845
