Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
14.02.2021	51	57	125	108	102	89	67	57	73	26
13.02.2021	54	46	118	104	97	87	65	55	64	23
12.02.2021	51	44	125	107	104	98	62	55	63	31
11.02.2021	53	39	118	108	96	108	66	64	67	39
10.02.2021	50	45	129	118	122	116	71	72	69	41
09.02.2021	46	50	137	131	129	117	74	64	81	55
08.02.2021	39	46	131	125	125	124	72	69	84	55
07.02.2021	35	51	135	124	133	128	75	66	87	54
06.02.2021	37	72	147	127	138	142	73	64	89	54
05.02.2021	40	79	149	118	130	134	70	64	94	52
04.02.2021	42	88	164	125	146	144	78	63	92	50
03.02.2021	40	78	146	105	114	126	67	54	70	39
02.02.2021	42	77	149	100	124	126	63	57	61	29
01.02.2021	41	82	161	106	140	134	66	56	66	36
31.01.2021	38	75	161	105	133	140	64	57	66	37
30.01.2021	34	61	162	106	131	136	67	59	65	37
29.01.2021	30	55	148	107	127	142	68	59	55	36
28.01.2021	31	59	147	107	124	141	63	62	59	32
27.01.2021	29	72	157	116	137	154	69	71	66	32
26.01.2021	27	73	166	124	128	159	75	80	61	28
25.01.2021	29	85	177	136	137	163	78	77	81	27
24.01.2021	33	89	174	148	135	169	79	76	81	27
23.01.2021	33	92	168	152	132	169	80	78	90	27
22.01.2021	45	97	182	168	142	177	79	73	94	24
21.01.2021	40	92	187	175	141	164	72	69	91	25
20.01.2021	45	83	200	186	150	164	77	65	101	27
19.01.2021	52	89	201	193	158	169	72	56	101	34
18.01.2021	53	90	196	203	160	166	74	65	85	30
17.01.2021	57	91	195	201	171	164	71	78	87	31
16.01.2021	52	94	193	194	178	164	70	79	81	32
15.01.2021	49	96	198	182	186	165	76	88	88	38
14.01.2021	52	97	204	195	185	171	85	94	91	36
13.01.2021	52	105	217	217	182	177	82	92	80	35
12.01.2021	48	113	217	226	181	169	87	92	76	27
11.01.2021	49	102	249	245	185	177	87	87	70	29
10.01.2021	50	104	270	262	188	176	90	78	65	28
09.01.2021	52	96	266	269	186	173	89	76	62	27
08.01.2021	47	93	254	265	175	157	91	74	61	19
07.01.2021	49	90	233	237	162	146	80	63	47	16
06.01.2021	45	85	200	211	148	134	75	62	45	14
05.01.2021	45	78	199	209	159	149	74	62	53	17
04.01.2021	46	78	180	190	152	154	73	64	67	24
03.01.2021	41	70	169	182	158	156	81	64	74	26
02.01.2021	49	77	185	188	157	163	85	66	80	30
01.01.2021	52	74	183	193	154	166	73	64	79	37
31.12.2020	57	68	176	188	155	163	73	61	87	38
30.12.2020	61	73	189	211	180	183	89	60	92	38
29.12.2020	69	80	218	231	186	196	107	70	107	44
28.12.2020	70	86	220	236	201	205	118	68	97	35
27.12.2020	73	99	236	246	199	211	114	70	93	34
26.12.2020	75	103	244	255	214	218	112	69	89	29
25.12.2020	81	113	276	280	237	245	137	76	109	28
24.12.2020	80	132	324	318	268	281	158	90	118	30
23.12.2020	88	139	347	327	279	282	154	91	123	31
22.12.2020	91	142	328	322	277	275	144	87	114	30
21.12.2020	92	163	336	346	288	277	149	93	110	33
20.12.2020	104	164	327	331	282	270	153	91	112	32
19.12.2020	100	167	337	318	272	263	155	97	112	35
18.12.2020	94	166	321	314	264	249	137	91	89	33
17.12.2020	95	158	291	319	264	236	132	85	83	34
16.12.2020	85	150	271	295	250	239	125	85	77	34
15.12.2020	77	141	277	297	241	243	125	86	76	31
14.12.2020	78	137	270	274	214	231	112	83	85	30
13.12.2020	66	141	274	275	207	238	108	82	82	33
12.12.2020	62	132	245	263	202	238	104	74	84	30
11.12.2020	56	133	244	257	197	238	104	74	78	29
10.12.2020	51	146	251	238	192	234	102	74	87	32
09.12.2020	53	150	272	249	198	244	104	75	90	39
08.12.2020	59	154	260	234	204	241	102	63	86	34
07.12.2020	57	157	258	237	231	250	108	68	89	35
06.12.2020	53	145	253	235	240	239	105	71	88	31
05.12.2020	64	141	260	244	242	232	109	71	87	31
04.12.2020	70	145	261	243	252	234	113	73	101	38
03.12.2020	72	130	266	245	252	222	115	70	89	34
02.12.2020	73	122	264	244	242	201	115	69	86	26
01.12.2020	70	128	262	252	240	200	102	71	81	26
30.11.2020	77	118	262	259	238	205	99	63	80	19
29.11.2020	79	135	281	271	249	222	104	61	86	18
28.11.2020	65	133	275	262	244	227	101	62	83	18
27.11.2020	58	126	268	250	238	218	103	54	72	14
26.11.2020	64	168	311	277	261	260	116	63	75	14
25.11.2020	67	195	326	304	293	273	131	73	73	15
24.11.2020	72	208	343	307	301	256	146	75	68	16
23.11.2020	59	209	353	301	291	253	153	72	54	21
22.11.2020	71	208	355	299	274	256	150	75	52	22
21.11.2020	81	227	380	324	291	273	157	82	55	24
20.11.2020	90	227	402	340	300	295	159	92	66	22
19.11.2020	79	196	356	319	280	278	145	95	68	23
18.11.2020	84	187	386	338	291	296	140	96	77	26
17.11.2020	83	173	387	342	283	318	148	105	85	23
16.11.2020	83	171	400	352	274	314	147	106	88	20
15.11.2020	72	155	388	343	277	309	143	102	84	19
14.11.2020	73	148	415	350	281	325	146	104	92	25
13.11.2020	81	157	438	371	291	325	156	103	82	22
12.11.2020	93	162	474	388	307	329	165	104	84	28
11.11.2020	89	169	454	371	286	336	162	98	82	28
10.11.2020	87	182	486	377	325	352	162	91	80	27
09.11.2020	95	183	479	373	335	358	159	102	90	34
08.11.2020	96	197	501	383	339	354	164	108	88	34
07.11.2020	95	211	498	389	346	333	160	109	84	31
06.11.2020	86	216	485	380	341	340	150	109	88	31
05.11.2020	79	218	497	380	355	357	146	100	88	26
04.11.2020	83	230	513	386	371	348	152	112	93	27
03.11.2020	85	229	517	393	381	358	141	115	87	31
02.11.2020	88	238	549	424	410	372	149	110	77	24
01.11.2020	84	226	536	433	419	375	146	108	78	27
31.10.2020	80	223	543	429	427	391	153	105	76	24
30.10.2020	84	214	549	421	436	411	159	100	73	28
29.10.2020	77	208	559	434	418	410	159	104	68	25
28.10.2020	72	179	558	426	399	405	165	92	64	20
27.10.2020	66	178	535	404	362	391	172	88	68	17
