Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
12.03.2021	1.320	1.419	2.345	2.112	1.944	2.145	1.096	585	474	117
11.03.2021	1.338	1.384	2.330	2.065	1.940	2.100	1.084	577	475	114
10.03.2021	1.262	1.332	2.199	2.061	1.889	1.993	1.070	555	465	108
09.03.2021	1.135	1.243	2.039	1.989	1.788	1.896	1.013	555	471	97
08.03.2021	1.079	1.196	2.060	1.934	1.764	1.851	1.029	577	491	98
07.03.2021	1.048	1.186	2.084	1.920	1.762	1.852	1.036	573	494	102
06.03.2021	1.022	1.193	2.086	1.929	1.764	1.853	1.031	571	498	103
05.03.2021	974	1.188	2.056	1.888	1.771	1.819	1.021	578	506	106
04.03.2021	882	1.176	2.002	1.845	1.750	1.835	1.027	597	531	119
03.03.2021	838	1.143	1.987	1.756	1.748	1.835	1.033	604	539	123
02.03.2021	837	1.154	2.064	1.804	1.842	1.930	1.141	627	579	138
01.03.2021	777	1.104	2.020	1.774	1.810	1.901	1.106	637	562	143
28.02.2021	759	1.076	1.961	1.761	1.794	1.893	1.098	656	575	147
27.02.2021	759	1.058	1.974	1.749	1.790	1.911	1.115	663	571	146
26.02.2021	736	1.062	1.999	1.781	1.776	1.948	1.145	679	582	150
25.02.2021	711	1.023	2.002	1.764	1.759	1.967	1.162	686	598	146
24.02.2021	699	1.004	2.008	1.770	1.741	1.999	1.139	707	625	164
23.02.2021	632	921	1.929	1.653	1.650	1.908	1.068	695	631	167
22.02.2021	611	918	1.872	1.610	1.589	1.874	1.079	706	683	181
21.02.2021	614	936	1.893	1.622	1.575	1.871	1.072	689	699	182
20.02.2021	601	925	1.874	1.635	1.595	1.868	1.071	694	734	189
19.02.2021	595	868	1.781	1.583	1.525	1.771	1.028	672	754	190
18.02.2021	586	858	1.740	1.552	1.541	1.716	1.013	689	767	203
17.02.2021	586	829	1.657	1.559	1.500	1.660	1.017	684	790	215
16.02.2021	602	828	1.619	1.509	1.445	1.628	975	684	781	236
15.02.2021	601	791	1.640	1.480	1.437	1.615	967	650	778	236
14.02.2021	588	789	1.625	1.471	1.435	1.611	976	658	798	240
13.02.2021	571	794	1.600	1.451	1.393	1.584	954	649	768	243
12.02.2021	578	819	1.682	1.526	1.461	1.699	1.012	679	782	245
11.02.2021	625	858	1.720	1.608	1.473	1.752	1.050	688	843	260
10.02.2021	629	914	1.799	1.664	1.571	1.849	1.116	699	918	308
09.02.2021	645	964	1.888	1.798	1.691	1.955	1.210	734	994	341
08.02.2021	665	1.015	1.969	1.867	1.738	2.057	1.268	787	1.028	360
07.02.2021	676	1.035	2.015	1.891	1.796	2.113	1.310	806	1.065	356
06.02.2021	697	1.072	2.079	1.908	1.859	2.173	1.355	819	1.097	367
05.02.2021	695	1.106	2.122	1.943	1.910	2.191	1.396	847	1.138	408
04.02.2021	647	1.114	2.188	2.023	1.984	2.287	1.429	894	1.169	465
03.02.2021	639	1.123	2.247	2.012	1.989	2.335	1.470	921	1.193	476
02.02.2021	631	1.141	2.314	2.019	2.064	2.394	1.471	971	1.298	515
01.02.2021	619	1.154	2.375	2.124	2.120	2.494	1.495	1.004	1.369	529
31.01.2021	623	1.148	2.436	2.186	2.121	2.551	1.517	1.031	1.411	570
30.01.2021	626	1.121	2.421	2.185	2.107	2.537	1.502	1.040	1.414	587
29.01.2021	621	1.137	2.496	2.216	2.137	2.610	1.527	1.089	1.491	620
28.01.2021	682	1.178	2.579	2.250	2.178	2.714	1.594	1.132	1.548	631
27.01.2021	701	1.216	2.672	2.382	2.225	2.822	1.621	1.173	1.613	650
26.01.2021	712	1.298	2.827	2.597	2.335	3.000	1.710	1.197	1.648	652
25.01.2021	745	1.367	2.934	2.675	2.469	3.119	1.763	1.223	1.707	709
24.01.2021	768	1.414	2.970	2.710	2.491	3.155	1.788	1.236	1.730	709
23.01.2021	776	1.434	3.025	2.756	2.515	3.183	1.816	1.240	1.759	712
22.01.2021	802	1.484	3.044	2.841	2.571	3.258	1.838	1.221	1.734	694
21.01.2021	797	1.526	3.218	2.913	2.610	3.299	1.843	1.228	1.759	696
20.01.2021	822	1.571	3.312	3.012	2.695	3.403	1.906	1.256	1.871	757
19.01.2021	856	1.629	3.376	3.068	2.764	3.452	1.938	1.259	1.827	788
18.01.2021	864	1.646	3.498	3.200	2.830	3.534	1.991	1.294	1.881	813
17.01.2021	884	1.699	3.589	3.266	2.944	3.616	2.020	1.336	1.903	820
16.01.2021	880	1.745	3.671	3.306	3.024	3.712	2.024	1.357	1.940	815
15.01.2021	874	1.774	3.782	3.301	3.046	3.694	2.044	1.389	1.984	833
14.01.2021	862	1.869	3.872	3.435	3.179	3.760	2.160	1.451	2.074	871
13.01.2021	877	1.991	4.155	3.673	3.332	3.901	2.238	1.507	2.058	847
12.01.2021	905	2.069	4.500	3.930	3.569	4.154	2.409	1.627	2.202	902
11.01.2021	925	2.137	4.720	4.109	3.639	4.276	2.500	1.702	2.230	887
10.01.2021	918	2.119	4.758	4.196	3.646	4.290	2.534	1.703	2.257	916
09.01.2021	920	2.127	4.794	4.237	3.674	4.310	2.575	1.733	2.276	959
08.01.2021	847	1.983	4.559	4.069	3.510	4.139	2.454	1.690	2.243	940
07.01.2021	778	1.728	4.113	3.669	3.145	3.779	2.208	1.517	2.021	845
06.01.2021	716	1.559	3.730	3.292	2.927	3.504	2.049	1.454	1.899	793
05.01.2021	699	1.524	3.596	3.138	2.891	3.562	2.106	1.422	1.987	784
04.01.2021	710	1.534	3.488	2.992	2.945	3.632	2.161	1.420	1.990	813
03.01.2021	683	1.507	3.470	2.956	2.984	3.730	2.205	1.436	2.030	842
02.01.2021	736	1.540	3.509	2.999	3.026	3.818	2.232	1.469	2.130	874
01.01.2021	757	1.551	3.529	2.999	3.055	3.875	2.255	1.486	2.125	885
31.12.2020	775	1.595	3.565	3.086	3.112	3.987	2.308	1.520	2.190	897
30.12.2020	840	1.613	3.633	3.234	3.222	4.117	2.401	1.515	2.193	918
29.12.2020	927	1.750	3.782	3.400	3.410	4.246	2.472	1.609	2.192	901
28.12.2020	1.042	1.801	3.840	3.500	3.550	4.346	2.499	1.638	2.262	897
27.12.2020	1.184	1.967	4.119	3.691	3.752	4.553	2.639	1.711	2.327	904
26.12.2020	1.215	2.060	4.190	3.823	3.851	4.694	2.708	1.727	2.334	914
25.12.2020	1.356	2.299	4.538	4.186	4.167	5.075	2.941	1.835	2.502	960
24.12.2020	1.515	2.642	5.170	4.680	4.770	5.658	3.268	2.031	2.749	1.056
23.12.2020	1.613	2.889	5.588	5.004	5.132	6.059	3.470	2.167	2.920	1.095
22.12.2020	1.647	2.921	5.437	4.988	4.957	5.948	3.326	2.085	2.875	1.087
21.12.2020	1.650	3.017	5.405	4.952	4.884	5.823	3.288	2.005	2.783	1.069
20.12.2020	1.691	3.068	5.336	4.943	4.802	5.689	3.200	1.985	2.754	1.038
19.12.2020	1.704	3.054	5.302	4.849	4.740	5.586	3.161	1.957	2.686	1.019
18.12.2020	1.735	3.125	5.272	4.815	4.686	5.471	3.086	1.916	2.647	1.028
17.12.2020	1.784	3.190	5.169	4.804	4.687	5.450	3.066	1.906	2.641	1.034
16.12.2020	1.819	3.303	5.101	4.736	4.555	5.319	2.981	1.868	2.616	1.031
15.12.2020	1.778	3.289	5.100	4.556	4.475	5.192	2.849	1.781	2.467	1.003
14.12.2020	1.697	3.274	5.043	4.479	4.388	5.093	2.747	1.755	2.405	946
13.12.2020	1.637	3.256	4.965	4.393	4.377	5.109	2.716	1.717	2.352	957
12.12.2020	1.594	3.245	4.910	4.326	4.321	5.033	2.683	1.682	2.314	911
11.12.2020	1.532	3.207	4.796	4.213	4.271	5.001	2.620	1.618	2.167	850
10.12.2020	1.460	3.098	4.711	4.070	4.003	4.787	2.451	1.520	2.007	816
09.12.2020	1.390	2.991	4.580	3.903	3.915	4.637	2.342	1.424	1.905	803
08.12.2020	1.382	2.993	4.464	3.859	3.843	4.522	2.359	1.400	1.868	765
07.12.2020	1.390	2.935	4.307	3.782	3.781	4.403	2.284	1.369	1.794	775
06.12.2020	1.355	2.936	4.260	3.682	3.682	4.255	2.213	1.316	1.720	723
05.12.2020	1.370	2.915	4.210	3.694	3.668	4.211	2.184	1.323	1.738	711
04.12.2020	1.394	2.955	4.203	3.683	3.665	4.152	2.181	1.345	1.762	719
03.12.2020	1.397	2.971	4.099	3.643	3.680	4.133	2.215	1.319	1.771	695
02.12.2020	1.428	2.977	4.055	3.625	3.697	4.117	2.238	1.323	1.702	625
01.12.2020	1.447	2.992	4.072	3.724	3.738	4.126	2.226	1.323	1.638	576
30.11.2020	1.427	3.086	4.115	3.830	3.802	4.206	2.256	1.309	1.667	552
29.11.2020	1.491	3.244	4.277	4.045	4.026	4.413	2.340	1.350	1.715	591
28.11.2020	1.490	3.258	4.282	4.032	4.061	4.428	2.341	1.367	1.669	613
27.11.2020	1.443	3.219	4.266	4.060	4.038	4.451	2.330	1.313	1.584	568
26.11.2020	1.492	3.347	4.462	4.180	4.159	4.566	2.370	1.339	1.524	536
25.11.2020	1.559	3.517	4.687	4.370	4.264	4.743	2.448	1.379	1.542	554
24.11.2020	1.598	3.610	4.864	4.413	4.427	4.792	2.443	1.372	1.545	583
23.11.2020	1.609	3.563	4.984	4.363	4.470	4.773	2.460	1.404	1.498	579
22.11.2020	1.632	3.545	5.061	4.405	4.425	4.752	2.488	1.402	1.454	552
21.11.2020	1.620	3.627	5.161	4.507	4.471	4.835	2.504	1.370	1.451	531
20.11.2020	1.704	3.742	5.363	4.620	4.606	4.987	2.557	1.429	1.552	560
19.11.2020	1.736	3.800	5.395	4.617	4.601	4.989	2.514	1.441	1.534	556
18.11.2020	1.690	3.800	5.471	4.654	4.636	5.032	2.468	1.447	1.485	512
17.11.2020	1.667	3.785	5.447	4.569	4.492	5.007	2.442	1.462	1.468	494
16.11.2020	1.687	3.859	5.475	4.607	4.480	4.994	2.394	1.416	1.452	488
15.11.2020	1.696	3.936	5.572	4.640	4.518	5.000	2.347	1.421	1.424	457
14.11.2020	1.769	3.980	5.732	4.684	4.588	5.072	2.422	1.475	1.412	444
13.11.2020	1.732	3.935	5.718	4.660	4.581	4.939	2.400	1.440	1.315	413
12.11.2020	1.719	3.940	5.820	4.696	4.597	4.909	2.395	1.410	1.277	392
11.11.2020	1.741	3.979	5.908	4.714	4.655	4.889	2.424	1.365	1.220	364
10.11.2020	1.676	3.940	5.933	4.725	4.713	4.964	2.454	1.344	1.203	334
09.11.2020	1.700	3.946	6.018	4.796	4.710	5.065	2.493	1.364	1.198	324
08.11.2020	1.650	3.830	5.986	4.741	4.730	5.090	2.472	1.360	1.177	322
07.11.2020	1.680	3.868	6.072	4.822	4.780	5.134	2.486	1.341	1.156	320
06.11.2020	1.659	3.852	6.157	4.815	4.783	5.203	2.474	1.372	1.168	311
05.11.2020	1.681	3.819	6.187	4.833	4.839	5.247	2.461	1.373	1.119	293
04.11.2020	1.668	3.796	6.186	4.828	4.830	5.215	2.425	1.429	1.138	313
03.11.2020	1.703	3.790	6.104	4.837	4.799	5.133	2.367	1.436	1.064	314
02.11.2020	1.600	3.598	5.945	4.750	4.701	4.998	2.283	1.419	987	289
01.11.2020	1.529	3.459	5.705	4.616	4.491	4.837	2.242	1.360	947	285
31.10.2020	1.427	3.308	5.561	4.509	4.425	4.737	2.182	1.347	973	291
30.10.2020	1.419	3.193	5.506	4.480	4.416	4.686	2.165	1.295	946	278
29.10.2020	1.285	2.906	5.309	4.329	4.197	4.459	2.111	1.217	924	257
28.10.2020	1.173	2.570	5.009	4.062	3.920	4.146	1.996	1.099	873	223
27.10.2020	1.046	2.259	4.748	3.748	3.626	3.815	1.875	1.008	860	219
26.10.2020	986	2.120	4.484	3.456	3.369	3.531	1.784	943	831	207
25.10.2020	967	1.984	4.279	3.220	3.201	3.314	1.684	874	776	182
24.10.2020	894	1.855	4.048	3.027	2.983	3.103	1.573	812	701	150
23.10.2020	779	1.665	3.695	2.764	2.655	2.769	1.410	738	628	142
22.10.2020	688	1.476	3.339	2.458	2.364	2.484	1.228	689	566	144
21.10.2020	639	1.296	2.950	2.177	2.054	2.229	1.066	612	467	128
20.10.2020	605	1.239	2.741	2.017	1.870	2.019	981	574	394	104
19.10.2020	598	1.180	2.556	1.854	1.724	1.876	899	530	357	94
18.10.2020	530	1.141	2.440	1.777	1.650	1.781	841	501	325	89
17.10.2020	526	1.111	2.335	1.714	1.575	1.714	817	474	298	82
16.10.2020	510	1.095	2.195	1.594	1.485	1.664	774	439	265	70
15.10.2020	507	1.089	2.034	1.482	1.385	1.563	738	398	239	56
14.10.2020	437	1.072	1.835	1.365	1.285	1.402	676	354	220	52
13.10.2020	395	1.006	1.635	1.222	1.193	1.295	608	300	214	53
12.10.2020	356	960	1.556	1.182	1.123	1.210	555	262	186	48
11.10.2020	348	943	1.484	1.145	1.085	1.185	534	263	185	46
10.10.2020	319	894	1.402	1.082	1.044	1.110	494	238	174	44
09.10.2020	312	848	1.312	1.019	980	1.009	476	236	169	44
08.10.2020	249	783	1.182	918	897	881	407	218	155	41
07.10.2020	237	723	1.095	835	833	805	370	211	154	40
06.10.2020	238	672	1.025	799	744	735	322	188	129	32
05.10.2020	232	638	962	737	718	697	321	178	126	34
04.10.2020	221	583	934	709	680	640	301	164	118	33
03.10.2020	234	573	939	711	665	644	291	170	122	33
02.10.2020	231	529	926	714	663	636	273	153	123	33
01.10.2020	251	531	882	709	632	629	264	137	111	28
30.09.2020	235	508	860	684	590	592	229	116	97	26
29.09.2020	217	456	820	644	566	563	212	116	89	24
28.09.2020	212	446	803	626	538	524	183	114	92	26
27.09.2020	223	458	798	636	530	507	182	112	79	22
26.09.2020	197	446	773	612	512	479	182	105	70	21
25.09.2020	183	458	722	569	480	462	175	110	61	16
24.09.2020	170	437	719	540	466	438	169	115	67	19
23.09.2020	182	438	685	527	459	437	175	119	84	22
22.09.2020	173	424	677	522	436	430	180	117	85	24
21.09.2020	160	406	668	525	430	425	179	115	78	20
20.09.2020	146	372	674	500	433	439	178	113	80	20
19.09.2020	152	369	672	499	430	446	177	112	84	22
18.09.2020	142	325	667	495	424	440	179	97	92	25
17.09.2020	128	319	650	456	410	412	174	86	83	22
16.09.2020	100	273	615	414	367	373	162	73	64	19
15.09.2020	100	263	589	373	353	359	157	68	59	14
14.09.2020	97	238	542	332	334	334	150	63	49	13
13.09.2020	90	231	502	318	299	297	152	55	47	13
12.09.2020	87	229	479	304	292	280	146	56	42	11
11.09.2020	89	235	459	281	266	245	134	63	35	9
10.09.2020	93	211	418	271	253	241	130	62	28	8
09.09.2020	91	207	419	262	250	240	137	65	27	5
08.09.2020	90	204	416	273	230	213	121	61	22	7
07.09.2020	88	216	437	290	228	214	118	57	21	6
06.09.2020	92	222	444	301	232	219	106	60	22	6
05.09.2020	92	223	459	300	239	222	102	61	24	9
04.09.2020	86	207	451	303	229	224	97	54	22	8
03.09.2020	78	196	451	294	223	222	95	56	24	10
02.09.2020	88	195	457	299	220	220	94	55	18	11
01.09.2020	90	204	449	291	226	224	104	62	23	10
31.08.2020	96	204	450	282	244	233	104	64	27	9
30.08.2020	108	205	464	279	246	234	106	58	27	10
