Meldedatum	Altersgruppen in Jahren
0-9	10-19	20-29	30-39	40-49	50-59	60-69	70-79	80-89	90+
10.02.2021	622	889	1.762	1.634	1.525	1.802	1.098	684	890	310
09.02.2021	651	963	1.889	1.807	1.677	1.960	1.218	737	996	350
08.02.2021	668	1.015	1.976	1.879	1.732	2.074	1.273	794	1.032	368
07.02.2021	681	1.038	2.023	1.910	1.794	2.138	1.313	814	1.074	362
06.02.2021	698	1.078	2.093	1.926	1.861	2.199	1.358	829	1.107	371
05.02.2021	694	1.111	2.133	1.961	1.913	2.218	1.397	859	1.149	413
04.02.2021	645	1.113	2.205	2.041	1.993	2.312	1.427	904	1.180	471
03.02.2021	638	1.124	2.253	2.024	1.996	2.351	1.471	931	1.210	476
02.02.2021	632	1.145	2.322	2.035	2.075	2.410	1.474	981	1.314	516
01.02.2021	620	1.158	2.388	2.141	2.128	2.507	1.504	1.017	1.382	531
31.01.2021	623	1.154	2.450	2.202	2.128	2.559	1.527	1.043	1.421	578
30.01.2021	628	1.124	2.431	2.201	2.113	2.546	1.509	1.051	1.425	598
29.01.2021	624	1.141	2.510	2.231	2.141	2.618	1.534	1.099	1.504	628
28.01.2021	683	1.185	2.592	2.264	2.181	2.723	1.603	1.141	1.560	640
27.01.2021	702	1.219	2.691	2.392	2.227	2.828	1.624	1.179	1.622	657
26.01.2021	711	1.299	2.842	2.602	2.337	3.005	1.713	1.202	1.651	657
25.01.2021	744	1.370	2.945	2.680	2.474	3.126	1.766	1.228	1.711	713
24.01.2021	767	1.416	2.983	2.716	2.499	3.166	1.793	1.240	1.735	709
23.01.2021	774	1.436	3.035	2.758	2.523	3.190	1.823	1.243	1.763	712
22.01.2021	798	1.486	3.053	2.844	2.583	3.268	1.843	1.223	1.736	696
21.01.2021	794	1.525	3.227	2.909	2.620	3.303	1.843	1.231	1.761	699
20.01.2021	821	1.573	3.326	3.013	2.711	3.414	1.912	1.260	1.877	761
19.01.2021	857	1.629	3.391	3.069	2.776	3.462	1.941	1.262	1.836	789
18.01.2021	865	1.647	3.513	3.201	2.839	3.540	1.991	1.296	1.888	817
17.01.2021	884	1.701	3.600	3.271	2.952	3.623	2.019	1.340	1.909	822
16.01.2021	880	1.748	3.683	3.312	3.032	3.724	2.023	1.361	1.946	815
15.01.2021	875	1.777	3.791	3.304	3.051	3.701	2.045	1.396	1.991	830
14.01.2021	863	1.876	3.885	3.445	3.185	3.771	2.167	1.461	2.079	867
13.01.2021	876	1.999	4.165	3.681	3.332	3.907	2.246	1.522	2.060	846
12.01.2021	904	2.078	4.509	3.937	3.571	4.160	2.416	1.644	2.207	904
11.01.2021	924	2.140	4.729	4.117	3.642	4.284	2.508	1.713	2.237	889
10.01.2021	919	2.120	4.768	4.197	3.648	4.294	2.542	1.713	2.264	919
09.01.2021	922	2.128	4.804	4.240	3.674	4.311	2.583	1.744	2.284	962
08.01.2021	849	1.983	4.570	4.074	3.510	4.140	2.464	1.698	2.251	944
07.01.2021	780	1.726	4.120	3.672	3.145	3.781	2.214	1.524	2.031	848
06.01.2021	716	1.555	3.735	3.294	2.931	3.507	2.052	1.456	1.906	796
05.01.2021	698	1.521	3.600	3.144	2.898	3.565	2.108	1.421	1.989	788
04.01.2021	707	1.534	3.494	2.996	2.950	3.635	2.162	1.423	1.993	816
03.01.2021	679	1.509	3.476	2.961	2.988	3.734	2.205	1.436	2.032	840
02.01.2021	732	1.539	3.516	3.005	3.030	3.822	2.232	1.470	2.132	874
01.01.2021	752	1.551	3.533	3.003	3.058	3.879	2.254	1.486	2.125	886
31.12.2020	770	1.596	3.570	3.093	3.116	3.990	2.311	1.517	2.190	900
30.12.2020	838	1.614	3.639	3.247	3.225	4.115	2.402	1.511	2.191	918
29.12.2020	925	1.748	3.788	3.408	3.409	4.243	2.476	1.603	2.188	899
28.12.2020	1.042	1.801	3.840	3.509	3.553	4.342	2.503	1.632	2.258	893
27.12.2020	1.183	1.966	4.117	3.697	3.756	4.547	2.643	1.708	2.326	907
26.12.2020	1.214	2.061	4.190	3.826	3.855	4.688	2.712	1.721	2.332	915
25.12.2020	1.356	2.299	4.539	4.192	4.173	5.070	2.945	1.831	2.501	960
24.12.2020	1.515	2.639	5.169	4.681	4.771	5.657	3.269	2.030	2.748	1.052
23.12.2020	1.613	2.885	5.585	5.002	5.129	6.062	3.474	2.165	2.923	1.093
22.12.2020	1.648	2.919	5.436	4.991	4.956	5.949	3.331	2.082	2.883	1.086
21.12.2020	1.651	3.014	5.407	4.952	4.879	5.822	3.294	2.003	2.790	1.068
20.12.2020	1.691	3.066	5.338	4.946	4.795	5.690	3.205	1.983	2.759	1.037
19.12.2020	1.704	3.051	5.300	4.855	4.733	5.588	3.167	1.955	2.689	1.016
18.12.2020	1.732	3.121	5.268	4.819	4.676	5.474	3.091	1.916	2.649	1.023
17.12.2020	1.780	3.188	5.166	4.812	4.680	5.448	3.071	1.904	2.643	1.030
16.12.2020	1.812	3.303	5.098	4.740	4.551	5.315	2.983	1.869	2.615	1.029
15.12.2020	1.770	3.288	5.093	4.555	4.469	5.188	2.847	1.784	2.462	1.002
14.12.2020	1.688	3.273	5.037	4.479	4.384	5.090	2.745	1.757	2.398	945
13.12.2020	1.630	3.254	4.962	4.393	4.375	5.108	2.715	1.718	2.345	955
12.12.2020	1.586	3.244	4.908	4.325	4.321	5.032	2.681	1.683	2.308	910
11.12.2020	1.527	3.207	4.796	4.210	4.273	4.998	2.620	1.615	2.157	850
10.12.2020	1.456	3.099	4.710	4.065	4.003	4.785	2.453	1.519	1.998	823
09.12.2020	1.388	2.991	4.576	3.900	3.912	4.635	2.345	1.422	1.897	807
08.12.2020	1.380	2.993	4.460	3.857	3.841	4.520	2.363	1.398	1.860	768
07.12.2020	1.389	2.934	4.300	3.780	3.778	4.401	2.287	1.367	1.788	779
06.12.2020	1.354	2.934	4.252	3.678	3.678	4.250	2.215	1.313	1.713	726
05.12.2020	1.370	2.914	4.202	3.689	3.663	4.206	2.185	1.321	1.732	715
04.12.2020	1.393	2.953	4.195	3.680	3.661	4.147	2.180	1.344	1.762	724
03.12.2020	1.397	2.967	4.094	3.639	3.677	4.125	2.210	1.316	1.773	694
02.12.2020	1.427	2.974	4.050	3.620	3.696	4.112	2.233	1.321	1.702	625
01.12.2020	1.446	2.989	4.065	3.717	3.734	4.121	2.221	1.320	1.641	576
30.11.2020	1.425	3.083	4.111	3.823	3.797	4.201	2.250	1.307	1.671	552
29.11.2020	1.489	3.242	4.270	4.039	4.017	4.407	2.334	1.348	1.722	590
28.11.2020	1.488	3.255	4.276	4.027	4.052	4.422	2.336	1.364	1.675	612
27.11.2020	1.442	3.219	4.260	4.053	4.029	4.444	2.326	1.309	1.589	567
26.11.2020	1.490	3.348	4.454	4.174	4.152	4.562	2.368	1.335	1.524	535
25.11.2020	1.558	3.517	4.677	4.364	4.257	4.740	2.445	1.373	1.543	552
24.11.2020	1.596	3.610	4.858	4.409	4.424	4.788	2.438	1.368	1.545	581
23.11.2020	1.607	3.563	4.978	4.358	4.466	4.768	2.455	1.400	1.496	577
22.11.2020	1.629	3.545	5.056	4.401	4.427	4.749	2.484	1.400	1.450	550
21.11.2020	1.616	3.628	5.155	4.502	4.472	4.830	2.500	1.368	1.448	529
20.11.2020	1.701	3.741	5.354	4.618	4.604	4.984	2.553	1.428	1.548	559
19.11.2020	1.734	3.799	5.382	4.613	4.597	4.987	2.509	1.440	1.535	555
18.11.2020	1.687	3.799	5.461	4.649	4.630	5.025	2.462	1.447	1.487	512
17.11.2020	1.668	3.784	5.437	4.564	4.484	5.001	2.436	1.460	1.467	494
16.11.2020	1.691	3.860	5.465	4.603	4.475	4.990	2.389	1.414	1.451	488
15.11.2020	1.702	3.938	5.563	4.635	4.511	4.996	2.342	1.417	1.424	458
14.11.2020	1.776	3.981	5.721	4.680	4.582	5.070	2.415	1.470	1.411	445
13.11.2020	1.737	3.936	5.708	4.655	4.578	4.935	2.392	1.434	1.316	413
12.11.2020	1.726	3.940	5.814	4.691	4.594	4.905	2.388	1.407	1.276	392
11.11.2020	1.749	3.979	5.902	4.712	4.653	4.889	2.418	1.363	1.221	365
10.11.2020	1.681	3.941	5.927	4.722	4.713	4.966	2.449	1.344	1.206	335
09.11.2020	1.703	3.947	6.016	4.794	4.710	5.065	2.489	1.365	1.201	325
08.11.2020	1.652	3.830	5.985	4.739	4.729	5.088	2.469	1.361	1.179	323
07.11.2020	1.682	3.866	6.074	4.819	4.779	5.135	2.487	1.342	1.157	321
06.11.2020	1.662	3.847	6.159	4.811	4.782	5.203	2.473	1.375	1.167	312
05.11.2020	1.684	3.815	6.186	4.832	4.838	5.252	2.460	1.375	1.119	294
04.11.2020	1.673	3.793	6.189	4.826	4.832	5.220	2.425	1.433	1.136	314
03.11.2020	1.708	3.787	6.110	4.834	4.800	5.137	2.366	1.440	1.063	315
02.11.2020	1.606	3.594	5.947	4.746	4.701	5.004	2.282	1.421	984	289
01.11.2020	1.535	3.454	5.705	4.612	4.492	4.842	2.239	1.363	946	285
31.10.2020	1.433	3.305	5.561	4.506	4.426	4.741	2.179	1.351	973	291
30.10.2020	1.425	3.193	5.508	4.477	4.416	4.691	2.165	1.298	946	279
29.10.2020	1.289	2.906	5.314	4.326	4.198	4.457	2.110	1.220	922	258
28.10.2020	1.175	2.569	5.012	4.059	3.919	4.143	1.994	1.098	871	223
27.10.2020	1.048	2.258	4.747	3.747	3.625	3.812	1.875	1.007	857	219
26.10.2020	987	2.120	4.485	3.455	3.368	3.524	1.784	943	830	208
25.10.2020	969	1.984	4.282	3.219	3.200	3.311	1.685	874	774	183
24.10.2020	896	1.855	4.049	3.027	2.982	3.096	1.572	812	700	151
23.10.2020	781	1.665	3.696	2.765	2.654	2.763	1.408	738	628	142
22.10.2020	689	1.476	3.339	2.458	2.364	2.478	1.227	688	566	144
21.10.2020	640	1.296	2.952	2.176	2.055	2.223	1.066	612	467	128
20.10.2020	606	1.239	2.742	2.017	1.872	2.013	981	574	394	104
19.10.2020	599	1.179	2.555	1.854	1.729	1.875	899	530	357	94
18.10.2020	531	1.141	2.438	1.779	1.655	1.777	841	501	326	89
17.10.2020	527	1.111	2.334	1.715	1.580	1.712	817	474	299	82
16.10.2020	511	1.094	2.194	1.596	1.490	1.662	774	439	266	70
15.10.2020	508	1.088	2.034	1.484	1.390	1.563	738	398	240	56
14.10.2020	438	1.071	1.833	1.370	1.290	1.403	677	355	221	52
13.10.2020	396	1.005	1.635	1.228	1.197	1.296	609	301	215	53
12.10.2020	357	959	1.556	1.188	1.124	1.208	556	263	187	48
11.10.2020	348	942	1.484	1.149	1.086	1.184	536	264	185	46
10.10.2020	319	892	1.402	1.086	1.045	1.109	496	239	174	44
09.10.2020	312	846	1.312	1.022	981	1.008	478	237	169	44
08.10.2020	249	781	1.182	921	898	879	409	219	155	41
07.10.2020	237	721	1.091	836	831	801	370	211	154	40
06.10.2020	238	670	1.021	799	742	731	322	188	129	32
05.10.2020	232	636	958	737	715	694	321	177	126	34
04.10.2020	221	581	930	709	677	638	300	163	118	33
03.10.2020	234	572	935	711	662	643	290	169	122	33
02.10.2020	231	529	922	715	660	635	272	152	123	33
01.10.2020	251	531	878	710	628	629	263	136	111	28
30.09.2020	235	508	859	685	588	593	229	115	97	26
29.09.2020	217	456	819	646	564	564	212	114	89	24
28.09.2020	212	446	802	628	537	525	183	113	92	26
27.09.2020	223	459	796	638	528	508	182	111	79	22
26.09.2020	197	447	771	614	510	479	182	104	70	21
25.09.2020	183	459	720	570	478	462	175	109	61	16
24.09.2020	170	438	717	541	465	438	169	114	67	19
23.09.2020	182	439	684	528	458	437	175	118	84	22
22.09.2020	173	425	676	522	435	430	180	117	85	24
21.09.2020	160	407	667	524	429	425	179	115	78	20
20.09.2020	146	372	675	499	433	439	178	113	80	20
19.09.2020	152	369	673	498	430	446	177	112	84	22
18.09.2020	142	325	668	494	424	440	179	97	92	25
17.09.2020	128	319	651	455	410	411	174	87	83	22
16.09.2020	100	273	616	413	367	372	162	73	63	19
15.09.2020	100	263	592	372	353	358	155	68	58	14
