Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36
Gesamt;898;6432;22389;33966;36047;27135;17331;12343;7428;6236;4764;3597;3205;2351;2341;4190;3154;2686;2423;3024;3925;4833;6056;7950;9596;8829;8615;9761;12291;13057;15921;26109;42060;74858;111005;125727;127756;128358;123181;128350;156286;174706;138953;123073;145447;118907;95518;78131;64561;50807;52391;56348;58363;71293;92577;116260;110094;118240;142009;144749;124820;101007;70841;52731;29896;20695;14027;7264;4815;4348;5561;9090;12613;15483;20390;32031;49577;66244;74605;70944
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2309;3061;3518;4193;5400;5971;5235;4978;5402;5019;3941;2874;1932;1299;1063;827;610;608;638;660;624;716;793;795;634;543;407;278;162;129;66;44;10;6;17;21;25;58;66;129;138;226;339;347
85 - 89;6;38;218;735;1449;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;24;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2284;2830;3377;4095;4596;5908;6933;5820;5586;6066;5557;4441;3322;2578;1650;1461;1203;964;939;1110;1260;1192;1071;1200;1175;988;857;620;433;236;158;90;50;41;26;30;41;50;66;85;147;221;330;441;505
80 - 84;12;84;468;1278;1966;1718;1176;818;452;298;246;154;113;76;61;62;51;49;37;38;51;90;70;81;64;50;60;132;196;212;315;471;857;1838;2835;3432;3796;4358;4772;5443;7073;8254;7409;6867;7667;6689;5331;4193;3143;2291;1994;1778;1550;1638;1794;2128;1893;1960;2217;2024;1593;1366;921;693;381;212;155;63;40;38;46;49;75;110;174;231;295;480;676;822
75 - 79;24;113;571;1402;1788;1313;855;588;351;275;175;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1629;2644;3052;3282;3379;3487;3965;5001;5935;5103;4636;5215;4312;3409;2815;2198;1701;1712;1571;1365;1424;1894;2222;2176;2352;2705;2488;2119;1664;1143;774;408;250;155;59;50;46;45;50;64;100;122;228;287;412;541;587
70 - 74;11;146;619;1327;1412;1043;631;423;274;208;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;261;267;351;584;934;1803;2882;3187;3303;3353;3192;3481;4386;5154;4445;4128;4836;3663;3053;2479;2063;1577;1599;1644;1554;1809;2377;2839;2903;3144;3610;3370;2879;2304;1594;1084;583;341;216;112;70;67;59;67;101;168;171;297;394;616;741;809
65 - 69;25;236;884;1647;1688;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2265;3552;4261;4014;4153;4135;4117;5169;6352;5582;4975;5732;4417;3625;3127;2536;1914;2042;2118;1993;2302;3190;3899;3965;4307;4912;4627;3972;3291;2319;1617;771;594;319;135;103;77;92;114;158;240;283;403;591;811;991;1100
60 - 64;63;429;1598;2522;2779;1787;1085;673;405;331;239;175;169;106;91;121;106;111;94;110;152;151;204;193;237;243;249;339;489;542;680;1273;2122;3958;5987;6854;6925;7298;7005;7649;9424;11039;9181;8261;9278;7552;6237;5122;4215;3187;3248;3514;3420;4119;5308;6570;6406;6875;7596;7760;6799;5530;3731;2652;1343;852;558;283;154;155;168;235;295;397;476;711;978;1484;1827;1852
55 - 59;76;749;2588;3593;3664;2603;1565;1060;599;509;360;264;237;142;133;193;196;156;116;178;241;288;308;325;431;357;394;554;760;866;1107;1872;3003;5757;8969;10165;10291;10253;9874;10376;13046;14999;12388;11094;12328;10032;8336;7009;5808;4508;4603;4838;4637;5710;7264;9094;8947;9679;10663;11024;9929;7822;5327;3577;1929;1257;795;364;245;230;244;367;546;579;787;1248;1804;2397;2711;2856
50 - 54;133;979;3089;4000;3699;2607;1560;986;599;521;375;251;241;150;146;328;257;186;171;208;294;352;416;472;559;538;549;669;898;995;1203;2269;3578;6419;9767;10963;10997;10844;10330;10547;13255;14918;11980;10526;12102;9814;8178;6675;5304;4311;4502;4752;4944;5904;7532;9350;9124;9954;11112;11639;10151;8021;5470;3779;2060;1355;823;440;298;225;288;453;622;820;973;1639;2531;3321;3724;3650
