Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.9;6.0;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.1;8.8;--;9.6;2.0;--
2021;32;58.9;7.0;--;68.1;12.9;--;15.5;3.4;--
2021;33;109.7;12.5;--;101.3;17.4;--;20.7;4.2;--
2021;34;140.0;10.2;--;131.4;21.7;--;31.1;6.2;--
2021;35;167.7;11.2;--;136.2;24.1;--;37.6;8.2;--
2021;36;158.9;11.1;--;131.0;25.2;--;42.9;9.4;--
2021;37;151.4;11.0;--;111.3;22.8;--;41.0;9.6;--
2021;38;131.8;8.6;--;94.4;21.6;--;36.4;9.6;--
2021;39;146.7;11.0;--;98.9;26.9;--;39.0;12.9;--
2021;40;147.6;9.5;--;105.8;29.7;--;48.4;15.0;--
2021;41;165.6;12.9;--;120.2;36.1;--;54.6;17.8;--
2021;42;228.2;17.7;--;177.1;57.1;30.0;86.7;31.3;11.5
2021;43;319.6;28.0;--;228.4;77.4;45.0;112.5;46.9;13.5
2021;44;341.2;29.7;--;268.5;95.2;45.0;144.9;59.5;16.9
2021;45;495.0;51.5;--;330.0;120.9;59.7;182.5;76.7;18.0
2021;46;542.5;55.8;--;360.8;144.8;63.5;196.5;88.3;22.7
2021;47;550.9;59.9;--;385.4;144.3;64.6;221.8;89.3;25.0
2021;48;512.4;57.8;20.0;350.9;130.3;49.3;211.8;75.3;20.5
2021;49;462.5;55.4;18.3;307.0;113.4;39.2;196.9;65.6;16.1
2021;50;381.5;50.4;10.9;253.7;96.9;29.5;161.2;50.1;11.2
2021;51;238.3;46.7;11.2;170.5;79.6;28.5;113.8;36.3;9.5
2021;52;214.7;72.2;24.4;175.6;114.6;47.4;111.2;42.7;16.2
2022;1;281.1;154.2;72.2;197.6;189.1;92.9;109.1;55.9;22.8
2022;2;355.4;215.3;98.8;187.9;190.7;96.8;77.7;47.7;23.1
2022;3;452.8;236.0;80.7;226.6;210.6;113.5;82.7;53.7;27.1
2022;4;542.4;262.9;89.2;256.3;217.3;122.4;90.9;54.9;29.7
2022;5;553.5;262.6;82.7;272.4;215.3;125.2;111.5;57.4;32.8
2022;6;494.4;265.2;96.6;261.0;230.5;142.4;114.2;66.6;40.5
2022;7;369.2;234.0;100.5;227.0;208.7;141.1;103.3;67.7;43.5
2022;8;314.5;198.8;109.8;203.6;178.2;137.9;98.3;62.0;44.7
2022;9;277.3;189.9;134.6;172.8;178.4;158.7;88.7;61.7;46.1
2022;10;283.4;219.8;171.3;173.3;186.3;176.8;91.0;60.3;53.2
2022;11;254.7;194.3;144.0;144.8;166.6;165.6;83.5;60.0;55.5
2022;12;223.4;166.1;134.4;152.3;140.9;152.7;105.7;57.8;52.8
2022;13;152.5;110.9;111.0;109.6;103.4;116.3;91.7;43.7;41.1
