Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.9;6.0;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.1;8.8;--;9.6;2.0;--
2021;32;58.9;7.0;--;68.1;12.9;--;15.5;3.4;--
2021;33;109.7;12.5;--;101.3;17.4;--;20.7;4.2;--
2021;34;140.0;10.2;--;131.4;21.7;--;31.1;6.2;--
2021;35;167.7;11.2;--;136.2;24.1;--;37.6;8.2;--
2021;36;158.9;11.1;--;131.0;25.2;--;42.9;9.4;--
2021;37;151.4;11.0;--;111.3;22.8;--;41.0;9.6;--
2021;38;131.8;8.6;--;94.4;21.6;--;36.4;9.6;--
2021;39;146.7;11.0;--;99.0;26.9;--;39.0;12.9;--
2021;40;147.6;9.5;--;105.9;29.7;--;48.4;15.0;--
2021;41;165.8;12.9;--;120.3;36.1;--;54.7;17.8;--
2021;42;228.2;17.7;--;177.1;57.2;30.3;86.7;31.3;11.5
2021;43;319.7;28.0;--;228.4;77.4;45.0;112.5;46.9;13.4
2021;44;341.3;29.7;--;268.6;95.2;45.4;144.9;59.5;17.0
2021;45;495.7;51.5;--;330.4;120.9;59.7;182.7;76.7;18.0
2021;46;542.9;55.8;--;361.4;144.9;63.8;196.9;88.4;22.7
2021;47;551.5;60.2;--;385.9;144.4;64.6;222.1;89.4;25.0
2021;48;512.5;57.9;20.0;351.1;130.4;49.4;212.0;75.4;20.6
2021;49;464.9;55.7;18.3;308.5;113.8;39.4;197.8;65.7;16.1
2021;50;383.0;50.7;10.9;254.6;97.2;29.7;161.6;50.3;11.2
2021;51;240.0;46.8;11.2;171.2;80.1;28.6;114.1;36.4;9.5
2021;52;215.3;72.1;24.4;176.0;114.9;47.5;111.4;42.9;16.2
2022;1;281.6;154.4;72.6;198.0;189.5;93.0;109.4;56.0;22.9
2022;2;356.9;216.2;99.2;188.4;191.3;97.2;77.9;47.8;23.2
2022;3;455.3;236.9;80.7;228.3;211.7;113.7;83.0;54.0;27.1
2022;4;550.4;265.6;90.3;260.5;220.9;124.1;91.8;55.8;29.9
2022;5;561.9;268.0;84.9;277.2;219.9;128.0;112.7;58.8;33.4
2022;6;501.0;269.7;99.1;264.7;234.2;143.8;115.3;68.0;41.1
2022;7;376.0;237.7;101.7;230.1;212.6;142.8;104.3;69.2;43.9
2022;8;321.5;204.0;112.8;207.6;182.8;140.0;100.8;63.8;45.4
2022;9;283.0;195.5;136.9;177.3;183.6;162.0;90.6;64.1;47.2
2022;10;289.8;228.4;176.3;177.7;192.7;182.2;93.3;63.1;54.8
2022;11;264.1;204.3;152.7;150.9;176.7;175.8;86.2;64.1;58.3
2022;12;238.5;181.4;143.2;159.6;151.7;162.2;109.1;62.2;56.4
2022;13;166.3;121.1;120.1;118.1;113.5;124.9;96.4;48.2;44.2
2022;14;109.8;87.4;87.6;77.3;78.9;97.1;59.3;31.5;32.4
