Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46
45 - 49;99;748;2098;2916;2710;1915;1172;785;469;448;332;254;214;162;144;384;269;217;182;233;334;386;456;575;693;606;613;695;877;897;1202;2038;3122;5819;8398;9478;9287;9675;9058;9238;11097;12446;9746;8551;9794;7954;6491;5302;4487;3552;3774;4048;4292;5187;6516;8162;7998;8772;10168;10669;9027;7443;5078;3584;2079;1308;873;471;274;260;333;437;689;910;1179;1951;3106;4111;4627;4540;3790;3338;3499;3809;4331;6594;9025;12115;18062;22943
40 - 44;85;566;1799;2321;2308;1674;1019;698;454;404;357;241;213;175;158;461;266;216;188;251;321;434;489;639;717;659;647;685;844;863;1053;1869;2902;5309;7881;8878;8997;9246;8808;8818;10905;11992;9509;8029;9550;7556;6231;5120;4275;3463;3589;4134;4274;5345;6983;9087;8325;9283;10726;10825;9574;7729;5331;3983;2204;1596;1077;530;355;271;345;507;734;990;1444;2355;3757;5187;5694;5423;4451;3906;4204;4389;5034;7567;10589;13841;21058;27313
35 - 39;67;548;1752;2384;2203;1649;982;761;465;423;351;274;242;155;194;388;296;224;203;253;358;383;515;642;760;716;645;699;906;1008;1153;1823;3099;5389;8083;8956;9191;9198;8720;9145;10993;12230;9522;8079;10146;8007;6342;5197;4461;3593;3708;4182;4575;5762;7588;9461;8985;9482;11269;11279;10017;7970;5620;4221;2412;1694;1100;546;362;339;381;647;907;1168;1594;2442;3771;5267;6001;5801;4820;4243;4545;4718;5342;7631;10544;14152;21115;27432
30 - 34;69;536;2049;2635;2419;1742;1206;900;563;486;394;316;269;207;223;420;324;259;259;300;382;423;516;709;946;859;937;940;1207;1301;1522;2360;3859;6714;9572;10474;10486;10085;9362;9471;11525;13027;10048;9194;11600;9044;7018;5761;4908;3905;4113;4527;4892;6016;7894;9870;9511;10138;12012;11854;10454;8273;5868;4536;2745;1751;1184;632;418;428;583;869;1308;1512;2079;3049;4385;5982;6584;6229;5105;4607;4772;4802;5362;8021;10751;13912;20236;26233
25 - 29;76;549;1995;2689;2484;1935;1286;996;681;522;391;346;314;222;242;399;321;314;229;309;410;510;604;840;1193;1222;1162;1226;1480;1436;1747;2685;4472;7323;10344;11152;10683;9919;8997;9148;10778;12106;9429;8425;10775;8536;6393;5336;4485;3660;3908;4152;4264;5468;7013;8402;8377;9215;10902;10792;9218;7451;5176;3945;2458;1598;1108;619;465;494;791;1332;1734;1953;2405;3594;5028;6325;6291;6067;4897;4115;4248;4292;4911;7228;9374;11970;17199;21090
20 - 24;70;321;1446;2269;2240;1727;1226;958;592;507;419;313;288;227;251;383;254;256;234;300;377;522;747;1159;1544;1329;1246;1284;1514;1584;1735;2791;4386;7565;10409;11730;11027;10202;8939;9179;10791;12095;9071;8588;10887;8538;6434;5240;4377;3664;3946;4199;4401;5424;6902;8551;8506;9801;11550;11268;9615;7833;5587;4180;2414;1734;1202;626;439;553;884;1504;2090;2329;2795;4427;5792;6889;6837;6223;4960;4126;4086;4156;4954;7239;9374;11850;17021;20035
15 - 19;44;181;537;934;1074;858;570;403;264;259;184;152;160;161;112;247;165;137;149;193;246;365;544;740;883;836;768;829;1040;1046;1330;2069;2957;4862;7191;8409;8717;8216;7462;7712;8819;8473;5878;4955;6382;5388;4201;3471;2919;2378;2618;3071;3212;4106;5538;7186;6609;7550;10819;10336;8657;7053;4937;3883;2238;1720;1233;682;443;414;581;1289;1615;1845;2372;3509;5570;6978;7780;6855;5648;4628;4578;4544;4892;6946;9823;11759;18352;21295
10 - 14;19;102;253;380;430;302;234;188;136;126;117;107;120;104;119;192;146;105;102;146;191;252;365;545;575;482;434;498;517;585;712;1140;1653;2743;4085;4782;5353;5299;5185;5155;5687;5284;3385;2651;3331;2714;2230;1881;1726;1409;1571;1879;2310;2869;4182;5729;4851;5180;7657;8736;7173;6125;4566;3763;2163;1581;1322;665;450;313;297;534;783;1002;1492;2611;5364;6923;8415;7741;7314;6288;6662;6505;6840;8942;13394;15508;27242;34290
5 - 9;10;56;169;249;291;237;163;155;120;105;111;79;112;99;123;177;139;122;115;137;152;198;285;411;380;353;318;325;356;390;433;621;972;1843;2793;3366;3619;3923;3822;3682;4262;4309;3023;1941;2392;2193;1904;1642;1602;1391;1550;2004;2727;3679;4763;6698;5193;4700;6998;8422;6869;5568;4114;3417;1877;1527;1142;568;347;242;208;325;479;726;1153;1842;3720;5596;7005;6591;5884;5287;5350;5088;5104;7385;11079;13265;24103;31350
0 - 4;9;35;143;254;270;238;158;186;133;138;116;122;87;107;110;159;135;143;147;140;162;150;188;276;284;222;227;226;290;298;327;522;890;1456;2227;2415;2412;2381;2316;2301;2657;3091;2107;1523;1900;1856;1694;1528;1511;1346;1376;1885;2370;2991;4048;5023;4466;4025;5087;5575;5062;4113;2965;2299;1409;1023;614;381;257;173;179;258;347;522;756;1236;1868;2955;3417;3498;2836;2332;2204;1853;2014;2698;3556;4416;7064;9386
