Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2
45 - 49;99;748;2097;2916;2710;1916;1172;785;469;448;331;255;214;162;144;384;269;217;182;233;334;386;456;575;693;606;614;694;877;897;1202;2037;3122;5820;8399;9478;9287;9674;9056;9238;11095;12443;9740;8552;9797;7961;6490;5301;4488;3552;3774;4045;4291;5189;6517;8162;7998;8770;10166;10667;9026;7446;5077;3584;2079;1307;873;471;274;260;333;437;690;910;1179;1953;3104;4117;4630;4541;3789;3337;3500;3813;4336;6602;9037;12133;18110;23471;27118;26224;22142;17279;12094;13164;21131;30101
40 - 44;85;566;1798;2322;2309;1675;1019;699;454;405;357;240;213;175;158;461;266;216;188;251;321;433;489;639;718;659;647;685;843;863;1053;1871;2903;5308;7881;8878;8994;9245;8809;8815;10902;11993;9507;8033;9556;7556;6231;5121;4275;3462;3592;4133;4276;5346;6982;9084;8326;9280;10728;10827;9571;7729;5333;3978;2204;1597;1077;530;356;272;345;508;733;991;1445;2355;3759;5191;5694;5426;4457;3911;4201;4394;5045;7606;10602;13870;21115;27952;33170;32502;27863;22313;15476;16448;24487;34971
35 - 39;67;548;1752;2385;2204;1647;982;761;465;423;351;274;242;156;194;388;296;224;203;253;359;383;513;643;760;716;645;699;905;1008;1153;1824;3100;5388;8080;8954;9189;9194;8717;9145;10987;12229;9522;8080;10150;8009;6342;5199;4462;3591;3708;4181;4574;5763;7587;9460;8983;9483;11267;11275;10015;7966;5619;4223;2414;1692;1100;546;365;339;381;647;908;1168;1596;2445;3770;5268;6003;5803;4823;4246;4543;4723;5351;7646;10570;14177;21172;28114;33610;33344;29350;24091;17285;18593;27223;38107
30 - 34;69;536;2048;2635;2420;1742;1206;901;563;485;394;316;269;207;223;420;324;259;259;300;382;423;516;709;946;859;937;939;1208;1301;1522;2360;3857;6712;9571;10474;10484;10080;9360;9471;11528;13020;10042;9196;11600;9047;7016;5761;4909;3905;4112;4526;4892;6018;7894;9867;9510;10139;12013;11855;10453;8272;5866;4534;2744;1751;1186;633;418;428;584;870;1306;1511;2079;3052;4386;5982;6582;6229;5104;4606;4775;4807;5362;8040;10761;13936;20278;26822;30929;30024;26958;22179;16953;19985;32928;42814
25 - 29;76;549;1994;2689;2484;1935;1285;996;681;522;390;346;314;222;242;399;321;314;229;309;410;510;604;839;1194;1222;1162;1226;1480;1436;1748;2686;4469;7323;10343;11150;10683;9917;8995;9144;10777;12102;9425;8427;10775;8537;6391;5335;4486;3660;3911;4151;4263;5467;7012;8399;8378;9212;10902;10794;9217;7451;5176;3946;2457;1598;1108;620;463;495;789;1331;1734;1954;2404;3595;5030;6325;6293;6067;4896;4115;4248;4292;4918;7240;9382;11974;17196;21488;23008;22197;19444;16337;13780;19203;37559;44308
20 - 24;70;322;1446;2270;2240;1726;1227;958;592;507;419;313;288;227;251;383;254;256;234;301;377;522;747;1159;1543;1329;1246;1284;1515;1584;1734;2792;4387;7567;10411;11726;11020;10200;8937;9176;10790;12092;9070;8584;10892;8542;6433;5240;4379;3664;3946;4199;4401;5423;6902;8552;8506;9799;11548;11266;9619;7829;5587;4180;2414;1736;1202;626;440;553;884;1505;2089;2329;2793;4426;5791;6887;6833;6224;4961;4123;4088;4160;4958;7249;9386;11863;17035;20451;22327;21111;18104;15539;13153;19852;40913;45898
15 - 19;44;181;537;934;1074;859;570;403;264;259;184;152;160;161;112;247;165;138;149;194;246;365;545;740;882;835;768;829;1040;1046;1328;2070;2958;4862;7188;8410;8715;8215;7460;7714;8822;8474;5876;4956;6385;5387;4199;3471;2918;2378;2620;3071;3210;4105;5538;7184;6609;7551;10819;10338;8656;7052;4939;3883;2240;1719;1233;684;444;414;581;1288;1615;1844;2371;3507;5569;6981;7783;6855;5650;4628;4580;4551;4897;6960;9840;11776;18436;21819;25110;24257;20480;16875;12036;14641;30249;45638
10 - 14;19;101;253;380;430;303;234;189;136;126;117;107;120;104;119;192;147;105;102;146;191;252;365;545;576;482;433;498;517;587;712;1142;1653;2742;4083;4782;5357;5301;5188;5155;5691;5286;3387;2655;3333;2717;2231;1880;1727;1409;1572;1877;2312;2870;4182;5730;4850;5179;7658;8736;7174;6126;4566;3762;2164;1582;1323;667;453;313;297;535;783;1005;1493;2610;5365;6923;8415;7741;7321;6291;6666;6516;6852;8983;13432;15538;27369;35201;40323;38419;34006;27964;18367;14309;21434;42382
5 - 9;10;56;169;250;292;237;163;155;120;105;111;79;112;99;123;177;138;121;115;137;152;198;285;410;380;354;319;325;356;390;433;621;973;1842;2794;3365;3621;3922;3828;3689;4268;4315;3025;1945;2395;2200;1905;1643;1602;1391;1551;2004;2729;3681;4763;6701;5196;4700;6998;8418;6874;5571;4114;3414;1877;1528;1147;567;349;243;208;325;479;728;1153;1842;3722;5600;7010;6597;5888;5288;5353;5093;5123;7426;11127;13305;24233;32159;36630;36347;33908;28553;19234;13260;18146;41456
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;275;284;222;227;226;290;298;327;523;890;1456;2227;2414;2412;2383;2316;2303;2661;3093;2107;1527;1903;1854;1695;1528;1512;1347;1377;1886;2371;2993;4050;5023;4466;4025;5089;5574;5058;4111;2963;2298;1410;1024;614;381;257;173;180;258;347;522;756;1234;1868;2958;3414;3496;2834;2333;2205;1858;2015;2711;3554;4438;7085;9600;11467;12122;12221;10833;7554;6343;9111;18297
