Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11;2022_12;2022_13;Veränderung zur Vorwoche in %
45 - 49;99;750;2098;2915;2709;1917;1173;787;470;448;332;257;216;161;144;382;270;217;182;234;334;386;457;574;693;607;614;694;877;897;1201;2043;3119;5817;8397;9481;9283;9670;9053;9242;11095;12446;9741;8550;9793;7966;6494;5301;4487;3551;3773;4052;4293;5196;6518;8165;8002;8772;10166;10666;9026;7451;5077;3583;2082;1308;874;471;274;263;334;437;690;911;1180;1953;3105;4120;4631;4541;3789;3339;3501;3813;4336;6604;9039;12134;18101;23476;27114;26222;22143;17272;12100;13170;21174;30875;48090;68866;83628;85306;77429;70210;71780;89060;102412;104526;85721;-18
40 - 44;85;566;1799;2321;2310;1676;1020;698;454;405;357;241;213;176;158;460;266;216;188;253;321;434;489;640;719;661;648;687;844;866;1054;1872;2904;5309;7879;8874;8992;9248;8806;8814;10905;11992;9509;8032;9557;7555;6230;5129;4277;3465;3592;4135;4280;5348;6992;9088;8333;9281;10731;10836;9578;7730;5334;3976;2207;1598;1078;529;359;274;345;509;733;991;1445;2356;3760;5194;5698;5425;4462;3911;4203;4395;5046;7611;10603;13864;21116;27941;33175;32518;27858;22309;15485;16473;24525;35994;62506;95387;114322;114682;101518;90673;89449;106967;119989;122255;99792;-18.4
35 - 39;67;548;1752;2387;2203;1645;982;761;469;422;352;274;242;156;194;389;296;224;203;255;361;386;513;644;758;716;646;699;907;1008;1153;1827;3099;5387;8081;8951;9188;9193;8716;9145;10983;12224;9523;8082;10153;8012;6343;5206;4466;3596;3714;4182;4584;5769;7586;9467;8984;9479;11269;11279;10016;7970;5622;4223;2416;1693;1102;547;365;340;382;647;907;1167;1600;2446;3771;5274;6006;5810;4821;4247;4546;4724;5353;7649;10575;14177;21175;28120;33613;33347;29343;24083;17273;18610;27287;39212;70661;104250;124399;123882;111276;100831;100453;115385;128167;129833;104204;-19.7
30 - 34;69;535;2052;2631;2419;1743;1206;901;564;485;394;316;269;207;224;420;323;260;259;302;383;424;519;709;946;859;937;939;1206;1301;1522;2357;3857;6712;9568;10474;10486;10081;9354;9470;11529;13018;10036;9195;11594;9051;7010;5767;4913;3906;4123;4528;4895;6026;7899;9876;9506;10135;12016;11855;10451;8270;5867;4536;2746;1751;1187;633;417;429;582;870;1307;1512;2077;3056;4384;5986;6590;6231;5107;4602;4777;4809;5359;8041;10754;13928;20283;26835;30913;30030;26964;22172;16959;20023;32983;44066;70724;97046;111132;112583;104195;96239;102232;119879;132074;131000;105770;-19.3
25 - 29;76;549;1996;2689;2482;1934;1286;994;681;522;389;345;314;222;243;399;323;314;229;310;410;512;605;840;1194;1221;1162;1227;1481;1435;1749;2686;4471;7325;10340;11143;10683;9916;8991;9143;10770;12094;9421;8428;10770;8539;6399;5336;4486;3657;3912;4155;4268;5470;7012;8400;8375;9212;10902;10800;9220;7453;5170;3947;2455;1601;1110;621;464;496;791;1330;1734;1954;2405;3597;5033;6325;6304;6070;4901;4116;4250;4294;4921;7238;9380;11967;17190;21492;22997;22196;19443;16333;13772;19203;37622;45531;63132;78267;88921;90819;86143;80268;93489;112626;121870;115464;94109;-18.5
20 - 24;70;321;1445;2270;2240;1724;1228;958;592;506;419;313;288;227;251;382;254;256;233;302;378;523;750;1159;1544;1330;1248;1284;1515;1586;1736;2790;4386;7566;10411;11723;11021;10204;8938;9177;10791;12094;9069;8584;10889;8539;6439;5247;4377;3666;3949;4202;4408;5423;6906;8555;8509;9795;11551;11274;9621;7826;5592;4181;2413;1737;1204;624;441;554;884;1506;2091;2329;2794;4428;5801;6894;6836;6223;4956;4129;4087;4160;4957;7254;9384;11864;17019;20455;22311;21101;18109;15544;13153;19874;40976;46986;60074;74702;84766;87083;83738;78154;94523;120123;123308;112457;89028;-20.8
15 - 19;45;182;537;933;1076;859;571;404;263;259;184;153;160;162;112;247;166;138;150;194;247;365;546;738;882;835;769;829;1038;1047;1329;2070;2957;4862;7189;8412;8723;8216;7471;7720;8823;8475;5880;4955;6390;5387;4202;3474;2920;2380;2626;3075;3211;4110;5552;7188;6606;7546;10824;10346;8663;7049;4939;3891;2243;1718;1237;684;445;415;581;1288;1619;1846;2370;3508;5576;6981;7789;6853;5650;4624;4580;4549;4902;6957;9837;11770;18445;21819;25101;24260;20493;16893;12045;14652;30310;46743;63824;86357;99708;99396;86387;74919;80373;113146;114680;107736;85749;-20.4
10 - 14;19;102;252;381;430;304;234;189;137;126;118;108;120;104;119;192;147;105;102;146;191;253;365;545;576;483;431;499;516;587;714;1142;1654;2740;4086;4783;5355;5307;5194;5155;5696;5289;3386;2657;3336;2720;2235;1888;1732;1413;1578;1882;2318;2878;4190;5740;4851;5182;7661;8742;7178;6130;4566;3759;2166;1584;1323;666;455;312;299;537;785;1006;1490;2611;5365;6926;8424;7744;7326;6297;6670;6520;6856;8993;13438;15535;27352;35215;40334;38415;34044;27996;18364;14342;21523;43622;83977;128632;143525;132837;106045;86531;75401;98654;112283;112457;87480;-22.2
5 - 9;10;56;169;249;292;236;163;155;121;105;112;80;112;99;123;177;139;121;115;139;152;196;286;411;379;355;319;326;357;391;433;621;975;1843;2792;3369;3636;3928;3830;3697;4277;4330;3039;1945;2404;2200;1909;1650;1608;1396;1553;2012;2736;3693;4781;6714;5202;4700;7001;8428;6882;5572;4119;3420;1877;1529;1147;569;353;245;210;326;481;729;1154;1841;3724;5599;7016;6600;5893;5289;5354;5095;5124;7430;11133;13311;24228;32157;36658;36363;33931;28571;19238;13291;18247;42653;93611;131297;140289;130233;108354;92255;82855;96438;101402;103458;76116;-26.4
0 - 4;9;35;142;254;270;238;159;186;133;138;116;122;87;107;110;159;137;145;147;141;162;150;188;275;284;222;227;225;290;298;326;523;890;1456;2230;2416;2416;2389;2320;2304;2667;3097;2108;1528;1906;1856;1702;1531;1515;1348;1380;1892;2376;3007;4050;5034;4469;4031;5093;5583;5067;4115;2969;2303;1412;1025;614;382;257;178;180;259;348;522;756;1232;1869;2961;3414;3494;2836;2336;2209;1856;2015;2707;3558;4441;7095;9603;11475;12123;12223;10838;7550;6349;9134;19019;41070;51309;51871;52648;47766;45432;43266;46899;50156;51117;38596;-24.5
