Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44
Gesamt;899;6431;22389;33964;36051;27131;17325;12348;7427;6235;4759;3597;3205;2351;2342;4190;3155;2686;2422;3025;3924;4832;6057;7952;9594;8827;8613;9760;12290;13062;15923;26109;42062;74870;111020;125727;127781;128363;123155;128357;156289;174698;138948;123060;145440;118881;95517;78123;64553;50803;52386;56348;58372;71310;92581;116269;110098;118266;142062;144753;124796;100982;70817;52697;29871;20676;14030;7267;4817;4357;5570;9096;12625;15494;20401;32052;49607;66318;74668;71648;61427;53583;56439;57903;65181;97300;136677;176163
90+;1;13;102;424;1170;1243;849;582;284;205;141;103;72;42;46;37;28;24;14;27;17;39;28;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2310;3063;3516;4193;5402;5968;5236;4980;5402;5019;3943;2873;1933;1297;1062;826;610;608;638;661;623;717;791;797;636;541;408;278;160;129;65;44;10;6;17;20;25;56;66;127;139;227;335;350;393;334;326;396;523;888;1170;1658
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2281;2831;3376;4091;4597;5906;6937;5819;5583;6067;5555;4440;3322;2578;1649;1461;1203;964;938;1110;1260;1193;1070;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;508;518;452;530;587;723;1317;1668;2284
80 - 84;12;84;469;1278;1964;1719;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2836;3434;3797;4359;4770;5446;7073;8254;7405;6864;7669;6684;5329;4192;3141;2291;1994;1778;1550;1637;1794;2130;1893;1959;2219;2023;1594;1365;921;693;382;209;155;63;40;38;46;49;75;110;174;230;296;475;676;825;790;662;903;985;1155;1959;2951;3923
75 - 79;24;113;571;1402;1788;1314;855;588;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3282;3381;3483;3968;5002;5935;5103;4638;5214;4310;3408;2814;2196;1700;1714;1570;1364;1425;1894;2222;2175;2352;2707;2489;2121;1662;1140;774;409;251;155;58;50;46;45;48;64;100;122;227;287;411;543;592;564;563;712;739;953;1624;2486;3193
70 - 74;11;146;620;1328;1412;1042;631;423;274;207;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3354;3189;3479;4385;5157;4444;4127;4838;3664;3052;2480;2062;1575;1600;1644;1555;1808;2376;2840;2901;3143;3611;3371;2877;2303;1592;1081;583;342;213;114;71;67;59;67;102;168;172;298;392;617;738;819;757;692;860;1021;1157;2004;3167;4483
65 - 69;25;236;884;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2264;3551;4264;4014;4154;4132;4117;5172;6349;5586;4977;5729;4416;3624;3129;2537;1914;2041;2120;1994;2302;3191;3900;3964;4308;4912;4629;3972;3291;2319;1616;771;592;319;134;103;77;93;114;159;241;283;404;592;812;995;1107;1051;984;1092;1388;1571;2591;3904;5432
60 - 64;63;428;1597;2523;2779;1787;1085;672;405;332;240;175;169;106;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;680;1273;2122;3960;5987;6853;6928;7298;7004;7654;9433;11037;9180;8261;9284;7551;6237;5123;4215;3187;3246;3515;3419;4120;5307;6573;6406;6875;7601;7755;6795;5530;3730;2649;1345;850;558;283;154;155;168;235;294;397;475;713;979;1485;1836;1880;1709;1642;1814;2149;2550;4251;6172;8823
55 - 59;76;749;2587;3593;3665;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1873;3003;5757;8973;10166;10294;10259;9876;10384;13046;15004;12390;11093;12322;10031;8335;7011;5807;4507;4605;4839;4637;5712;7266;9093;8946;9680;10667;11020;9926;7816;5322;3576;1928;1256;794;364;244;231;245;367;545;580;787;1247;1802;2399;2713;2890;2601;2490;2761;3029;3596;5946;8544;11914
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1203;2269;3580;6420;9767;10964;10997;10842;10333;10553;13260;14919;11982;10529;12104;9812;8177;6675;5306;4311;4498;4751;4947;5905;7534;9351;9126;9954;11114;11641;10145;8013;5478;3774;2054;1353;824;440;298;226;289;453;622;821;975;1643;2535;3335;3726;3694;3325;2893;3299;3468;4205;6558;9163;12662
45 - 49;99;748;2098;2916;2710;1915;1172;785;469;448;332;254;214;162;144;384;269;217;182;233;334;386;456;575;693;606;613;695;877;897;1202;2036;3122;5820;8399;9479;9286;9674;9057;9238;11097;12445;9746;8552;9792;7954;6490;5302;4487;3552;3773;4048;4291;5187;6516;8161;7998;8771;10168;10668;9026;7443;5079;3587;2078;1307;873;471;274;260;332;437;689;910;1178;1951;3103;4110;4627;4540;3789;3337;3502;3806;4327;6583;9020;12010
