Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9
Gesamt;895;6422;22420;34000;36083;27184;17363;12371;7445;6241;4752;3620;3206;2358;2344;4128;3212;2697;2425;3016;3932;4817;6037;7944;9592;8814;8616;9766;12281;13045;15913;26071;42016;74691;110936;125611;127602;128282;123173;128300;156365;174732;139050;123102;145390;118913;95540;78256;64606;50861;52454;56426;56909
90+;1;13;101;424;1171;1244;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;884;1467;1724;2320;3072;3516;4185;5412;5978;5264;4976;5412;5040;3945;2884;1939;1310;1080;830;608
85 - 89;6;38;220;738;1448;1423;926;681;326;263;179;127;85;51;51;47;34;28;20;24;34;41;40;56;23;33;25;84;103;121;165;306;575;1146;1786;2293;2831;3373;4098;4600;5931;6954;5865;5598;6083;5554;4450;3330;2580;1656;1462;1208;950
80 - 84;12;85;468;1282;1966;1717;1181;822;452;299;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;470;857;1835;2840;3437;3808;4360;4786;5450;7089;8277;7438;6875;7675;6690;5328;4195;3145;2299;2002;1782;1531
75 - 79;24;114;572;1407;1787;1314;854;587;351;275;176;106;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1626;2651;3054;3293;3389;3496;3974;4997;5945;5117;4642;5229;4315;3421;2826;2211;1702;1714;1583;1342
70 - 74;11;144;619;1327;1417;1050;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;150;259;265;348;587;933;1799;2883;3181;3295;3359;3201;3483;4394;5172;4454;4139;4826;3661;3064;2483;2066;1576;1591;1649;1551
65 - 69;25;237;887;1647;1692;1117;662;504;266;208;146;123;107;60;51;69;66;62;62;71;85;86;121;110;121;131;128;225;290;305;452;684;1285;2266;3553;4260;4016;4158;4140;4123;5177;6354;5590;4981;5719;4413;3625;3130;2532;1919;2045;2133;1983
60 - 64;61;427;1597;2527;2782;1796;1087;674;405;332;240;175;168;107;91;122;108;111;93;110;152;152;204;192;237;244;248;339;493;542;680;1271;2118;3956;6000;6864;6914;7312;7001;7656;9432;11027;9188;8277;9269;7551;6233;5130;4217;3193;3263;3517;3400
55 - 59;75;751;2599;3593;3669;2609;1566;1059;600;511;360;266;237;142;134;186;202;156;116;177;242;285;308;326;430;355;393;555;762;866;1109;1871;2999;5761;8972;10169;10308;10246;9879;10369;13067;15015;12381;11086;12324;10033;8350;7026;5812;4505;4600;4840;4582
50 - 54;133;978;3090;4000;3697;2613;1560;994;605;520;375;252;240;150;146;318;268;186;172;208;294;350;418;473;560;538;552;669;896;995;1207;2267;3577;6422;9779;10964;11008;10834;10346;10559;13260;14926;11997;10529;12087;9799;8186;6686;5300;4306;4511;4733;4901
