Altersgruppe;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10
Gesamt;22429;34005;36086;27190;17371;12376;7445;6239;4753;3621;3208;2357;2344;4129;3218;2697;2427;3016;3932;4820;6056;7951;9592;8820;8623;9775;12294;13067;15933;26131;42084;74854;111126;125834;127907;128502;123314;128513;156566;174963;139274;123215;145530;119002;95581;78283;64654;50863;52498;56482;58441;70689
90+;101;424;1171;1243;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;884;1467;1724;2320;3073;3516;4185;5413;5980;5261;4975;5417;5041;3944;2883;1935;1308;1077;832;614;602
85 - 89;220;738;1448;1424;926;681;326;263;179;127;85;51;51;47;34;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;575;1146;1786;2294;2831;3373;4098;4599;5931;6952;5865;5596;6081;5551;4450;3328;2580;1655;1465;1206;959;915
80 - 84;468;1282;1966;1717;1181;822;452;299;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;470;857;1837;2839;3436;3807;4360;4785;5450;7089;8278;7438;6872;7670;6691;5330;4191;3146;2300;2001;1783;1542;1617
75 - 79;572;1407;1787;1316;854;587;351;275;176;106;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;504;903;1625;2651;3054;3293;3389;3495;3975;4996;5948;5119;4645;5228;4317;3417;2826;2212;1697;1712;1581;1359;1424
70 - 74;619;1327;1417;1050;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;150;259;266;349;587;933;1800;2883;3180;3296;3359;3200;3484;4394;5170;4454;4138;4826;3661;3063;2483;2067;1576;1591;1649;1559;1784
65 - 69;887;1647;1692;1117;662;504;266;208;146;123;107;60;51;69;66;62;62;71;85;86;121;110;121;131;128;226;290;305;451;684;1284;2266;3554;4260;4016;4158;4141;4124;5178;6351;5590;4982;5716;4412;3624;3129;2533;1920;2047;2132;1996;2272
60 - 64;1596;2525;2782;1795;1087;674;405;332;240;175;168;107;91;122;108;111;93;110;152;152;204;192;237;244;248;338;493;542;681;1270;2118;3958;5999;6864;6914;7313;7002;7655;9434;11026;9184;8274;9269;7548;6235;5127;4221;3191;3258;3520;3425;4062
55 - 59;2600;3593;3669;2607;1566;1060;600;510;360;266;237;142;134;186;203;156;116;177;241;285;308;326;430;355;393;556;762;865;1109;1872;2999;5761;8974;10166;10303;10243;9880;10368;13066;15017;12381;11085;12330;10038;8346;7025;5813;4506;4602;4848;4637;5636
50 - 54;3090;4000;3697;2612;1561;993;605;520;375;252;240;150;146;318;268;186;172;208;294;350;418;473;560;538;552;670;896;995;1208;2270;3577;6422;9775;10964;11010;10837;10344;10560;13263;14923;11997;10527;12090;9796;8187;6684;5302;4306;4511;4743;4947;5856
45 - 49;2101;2923;2720;1922;1174;789;469;448;329;253;214;161;145;375;278;221;182;232;334;385;456;575;695;601;614;694;875;897;1199;2037;3128;5814;8390;9475;9299;9678;9062;9236;11106;12440;9734;8563;9797;7968;6470;5311;4494;3557;3772;4061;4289;5119
40 - 44;1803;2328;2308;1676;1026;698;456;404;356;244;212;176;158;454;274;215;190;252;321;429;489;639;715;660;648;687;844;861;1052;1868;2905;5305;7876;8883;8990;9239;8811;8830;10900;12001;9523;8032;9527;7561;6225;5126;4287;3470;3586;4146;4284;5285
35 - 39;1756;2383;2205;1653;982;764;464;421;353;275;240;157;195;383;298;226;206;251;360;383;514;644;759;716;650;701;901;1008;1153;1826;3106;5395;8087;8960;9191;9208;8715;9136;11001;12233;9525;8094;10138;8016;6338;5212;4472;3606;3731;4182;4578;5690
30 - 34;2049;2638;2419;1752;1203;909;562;488;391;321;270;206;224;414;334;260;259;297;384;423;513;700;945;857;940;940;1207;1301;1524;2361;3859;6718;9577;10492;10488;10092;9383;9484;11533;13017;10048;9198;11602;9053;7028;5781;4918;3898;4111;4545;4901;5991
25 - 29;2002;2693;2487;1933;1297;996;681;521;389;349;316;223;243;394;325;316;227;308;410;510;607;838;1195;1222;1158;1230;1483;1439;1745;2690;4478;7315;10338;11155;10705;9943;9007;9146;10808;12111;9437;8426;10797;8540;6395;5351;4487;3661;3899;4155;4277;5432
20 - 24;1448;2270;2243;1735;1234;962;595;507;416;316;289;230;249;376;260;258;237;300;378;521;745;1166;1544;1326;1250;1287;1517;1584;1743;2788;4384;7554;10427;11745;11042;10222;8947;9195;10795;12104;9080;8609;10894;8515;6443;5245;4380;3658;3960;4205;4396;5389
15 - 19;541;939;1077;856;573;401;265;260;181;153;162;161;111;240;169;138;149;191;247;364;542;742;880;833;770;831;1040;1045;1328;2067;2962;4857;7193;8411;8713;8201;7457;7729;8835;8470;5875;4952;6382;5409;4206;3478;2922;2380;2624;3076;3213;4051
