Stand: 30.03.2022 07:12:01;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Alle_Altersmedian;Hosp_Altersmedian;ITS_Altersmedian;Verstorben_Altersmedian;;;Meldejahr;Meldewoche;Fälle gesamt;Alle_MW_Alter;Hosp_MW_Alter;ITS_MW_Alter;Verst_MW_Alter
2021;18;37;62;66;78;;;2021;18;100981;37;59;64;75
2021;19;36;62;64;78;;;2021;19;70811;37;59;62;75
2021;20;35;61;65;79;;;2021;20;52700;36;58;63;76
2021;21;34;60;65;78;;;2021;21;29898;35;58;61;76
2021;22;33;58;63;78;;;2021;22;20690;34;57;63;75
2021;23;31;57;61;79;;;2021;23;14058;33;55;59;74
2021;24;30;54.5;58;76;;;2021;24;7278;32;53;57;72
2021;25;30;53;61;71.5;;;2021;25;4845;32;51;58;73
2021;26;29;54;61;75.5;;;2021;26;4377;32;51;62;73
2021;27;28;53;59;79;;;2021;27;5582;32;52;59;75
2021;28;27;47;54;79;;;2021;28;9108;30;49;54;75
2021;29;27;48;56.5;74;;;2021;29;12639;30;48;57;72
2021;30;28;50;58.5;74;;;2021;30;15512;31;49;57;72
2021;31;28;47;56;80;;;2021;31;20417;30;48;56;75
2021;32;28;48;56;75;;;2021;32;32070;30;48;55;72
2021;33;27;48;56;76;;;2021;33;49646;29;48;55;72
2021;34;27;49;55;78;;;2021;34;66382;29;49;55;74
2021;35;28;51;58;77;;;2021;35;74749;30;52;57;73
2021;36;29;53;61.5;80;;;2021;36;71675;30;53;60;75
2021;37;29;55;61;81;;;2021;37;61475;31;54;60;76
2021;38;30;56;62;82;;;2021;38;53610;31;55;60;78
2021;39;31;59;63;81;;;2021;39;56490;32;56;62;76
2021;40;32;63;63;81;;;2021;40;58006;34;59;62;77
2021;41;33;63;65;81;;;2021;41;65354;34;60;63;77
2021;42;35;66;66;83;;;2021;42;97726;36;62;65;79
2021;43;35;68;67;82;;;2021;43;137032;36;63;65;78
2021;44;37;69;68;83;;;2021;44;177882;37;64;65;80
2021;45;35;69;67;82;;;2021;45;271300;36;64;65;79
2021;46;36;69;67;81;;;2021;46;351722;36;64;65;78
2021;47;36;69;67;81;;;2021;47;403326;36;64;65;78
2021;48;36;68;66;81;;;2021;48;388265;36;63;64;78
2021;49;35;68;67;81;;;2021;49;338200;35;63;65;78
2021;50;34;68;67;82;;;2021;50;273610;34;63;64;78
2021;51;33;67;67;81;;;2021;51;193934;34;62;64;78
2021;52;34;65;67;81;;;2021;52;208751;35;60;65;78
2022;01;31;61;66;82;;;2022;1;338131;33;56;63;78
2022;02;29;57;66;82;;;2022;2;486050;31;53;64;79
2022;03;29;56;69;83;;;2022;3;796100;30;53;65;79
2022;04;30;59;70;83;;;2022;4;1110623;30;54;66;80
2022;05;31;64;71;84;;;2022;5;1289587;31;57;67;81
2022;06;32;66;72;84;;;2022;6;1306992;32;59;69;81
2022;07;33;69;71;84;;;2022;7;1190422;33;61;68;81
2022;08;34;70;72;84;;;2022;8;1090236;34;61;68;82
2022;09;34;70;74;84;;;2022;9;1124280;35;61;69;82
2022;10;34;71;74;84;;;2022;10;1396931;35;62;69;82
2022;11;36;72;75;85;;;2022;11;1562024;36;63;70;82
2022;12;36;72;74;85;;;2022;12;1537193;37;63;70;81
