Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.9;6.0;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.1;8.8;--;9.6;2.0;--
2021;32;58.9;7.0;--;68.1;12.9;--;15.5;3.4;--
2021;33;109.7;12.5;--;101.3;17.4;--;20.7;4.2;--
2021;34;140.0;10.2;--;131.4;21.7;--;31.1;6.2;--
2021;35;167.7;11.2;--;136.1;24.1;--;37.6;8.2;--
2021;36;158.7;11.1;--;131.0;25.2;--;42.9;9.4;--
2021;37;151.2;11.0;--;111.2;22.8;--;41.0;9.6;--
2021;38;131.7;8.6;--;94.4;21.6;--;36.4;9.6;--
2021;39;146.7;11.1;--;98.9;26.9;--;39.0;12.9;--
2021;40;147.6;9.5;--;105.8;29.6;--;48.4;15.0;--
2021;41;165.6;12.9;--;120.1;36.1;--;54.6;17.8;--
2021;42;228.2;17.7;--;177.1;57.1;30.0;86.7;31.2;11.5
2021;43;319.4;28.0;--;228.2;77.4;44.7;112.5;46.9;13.5
2021;44;341.0;29.7;--;268.4;95.1;45.0;144.8;59.5;16.8
2021;45;494.7;51.5;--;329.8;120.8;59.3;182.4;76.6;18.0
2021;46;541.2;55.6;--;359.6;144.4;63.7;195.9;88.1;22.6
2021;47;548.8;59.7;--;384.3;143.9;64.3;221.2;89.1;25.0
2021;48;511.4;57.7;20.0;350.0;129.8;49.2;211.4;75.2;20.5
2021;49;458.7;55.1;18.3;305.0;112.6;39.2;195.6;65.2;16.0
2021;50;378.6;49.9;10.9;252.1;96.1;29.4;160.4;49.9;11.2
2021;51;237.6;46.8;10.4;170.1;79.3;28.5;113.6;36.2;9.5
2021;52;214.5;72.1;24.4;175.2;114.4;47.4;111.0;42.6;16.2
2022;1;280.0;153.2;72.2;196.5;187.8;92.1;108.5;55.6;22.7
2022;2;354.5;215.0;97.2;187.2;190.2;96.4;77.6;47.6;23.1
2022;3;450.9;235.1;80.5;225.7;209.6;112.9;82.2;53.5;26.9
2022;4;540.4;256.0;86.8;255.2;211.8;118.5;90.7;54.1;29.3
2022;5;547.5;256.1;81.1;270.0;211.3;122.5;111.3;56.5;32.4
2022;6;490.6;263.1;95.4;259.2;227.9;141.1;113.6;65.9;40.1
2022;7;365.8;232.0;99.6;225.5;206.2;140.1;102.3;66.6;43.0
2022;8;311.0;195.3;108.7;202.1;175.6;136.0;97.6;61.4;44.1
2022;9;274.4;187.8;133.2;171.5;176.7;157.4;87.8;61.1;45.6
2022;10;273.8;214.1;167.6;169.3;181.1;172.0;89.2;58.5;51.7
2022;11;243.9;181.5;134.3;140.3;156.8;155.2;81.2;56.4;52.7
2022;12;202.6;142.6;115.6;142.0;122.7;131.7;100.5;52.2;47.5
