Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8
Gesamt;895;6426;22433;34006;36086;27187;17368;12377;7445;6240;4755;3621;3208;2359;2344;4129;3216;2696;2428;3019;3936;4822;6059;7954;9600;8820;8624;9774;12294;13073;15930;26135;42090;74861;111150;125834;127915;128497;123330;128498;156528;174973;139309;123238;145531;119050;95632;78358;64699;50878;52471;56078
90+;1;13;101;423;1171;1244;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;884;1467;1724;2320;3072;3515;4186;5411;5980;5265;4975;5411;5040;3944;2888;1941;1310;1079;829
85 - 89;6;38;220;738;1448;1422;926;681;326;263;179;127;85;51;51;47;34;28;20;24;34;41;40;56;23;33;25;84;103;121;165;306;575;1146;1787;2293;2830;3373;4099;4601;5926;6955;5865;5598;6081;5557;4450;3335;2582;1658;1457;1214
80 - 84;12;85;469;1283;1966;1719;1182;822;452;299;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;471;857;1835;2840;3438;3810;4361;4788;5450;7089;8279;7440;6879;7678;6690;5332;4198;3148;2295;2002;1771
75 - 79;24;114;572;1407;1786;1314;854;587;351;275;176;106;82;58;46;65;57;40;40;44;57;71;56;71;67;69;75;146;181;232;310;505;902;1626;2653;3056;3293;3387;3498;3972;4998;5943;5118;4643;5226;4315;3419;2823;2210;1701;1714;1569
70 - 74;11;145;619;1327;1417;1050;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;150;259;265;348;586;933;1799;2885;3181;3295;3359;3202;3484;4394;5171;4453;4139;4826;3663;3065;2486;2067;1579;1586;1635
65 - 69;25;237;888;1647;1692;1117;662;504;266;208;146;123;107;60;51;69;66;62;62;71;85;86;121;110;121;131;128;225;290;304;452;684;1285;2267;3553;4255;4016;4154;4143;4123;5173;6351;5592;4981;5717;4411;3625;3136;2534;1916;2048;2120
60 - 64;61;428;1596;2527;2783;1795;1087;674;405;332;240;175;168;107;91;122;108;110;93;110;153;152;204;193;237;244;248;338;493;542;681;1271;2117;3955;6001;6865;6915;7311;7001;7653;9429;11028;9187;8277;9266;7543;6229;5131;4218;3194;3261;3498
55 - 59;75;751;2599;3593;3668;2609;1566;1060;600;511;360;266;237;143;134;186;202;156;116;177;241;285;308;326;430;355;393;555;762;866;1109;1871;3000;5760;8974;10167;10306;10247;9878;10370;13066;15010;12379;11090;12324;10034;8356;7030;5815;4503;4596;4796
50 - 54;133;978;3089;4000;3699;2612;1559;994;605;520;374;252;240;150;146;318;268;186;172;209;295;351;418;474;561;538;553;669;896;995;1206;2267;3576;6422;9780;10961;11004;10834;10346;10559;13255;14926;12000;10529;12078;9801;8183;6688;5303;4310;4511;4695
