Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;
Gesamt;899;6431;22389;33966;36052;27129;17325;12350;7428;6235;4758;3598;3204;2353;2342;4191;3155;2686;2422;3027;3926;4834;6060;7954;9596;8827;8612;9759;12290;13064;15925;26118;42064;74869;111012;125730;127800;128382;123163;128354;156291;174712;138949;123060;145443;118880;95521;78126;64556;50804;52385;56350;58369;71317;92585;116274;110099;118273;142054;144745;124792;100975;70803;52695;29880;20682;14036;7273;4824;4358;5576;9102;12628;15505;20412;32057;49621;66342;74676;71661;61449;53604;56464;57957;65256;97460;136828;177673;270877;350912;398679;4875367
90+;1;13;102;424;1170;1243;849;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1720;2311;3063;3516;4193;5401;5968;5236;4980;5401;5017;3943;2873;1933;1297;1062;826;610;608;638;661;623;717;791;797;636;541;408;278;160;129;65;44;10;6;17;20;25;56;65;127;138;227;335;352;392;334;325;397;523;889;1164;1655;1906;2353;2676;
85 - 89;6;38;218;735;1451;1421;924;681;324;262;179;125;85;51;51;47;33;28;20;25;34;41;39;56;23;33;25;85;101;121;165;307;575;1151;1786;2282;2831;3377;4092;4596;5907;6937;5818;5583;6067;5553;4440;3323;2578;1649;1462;1204;964;938;1110;1260;1193;1070;1200;1177;990;855;619;434;236;158;90;50;41;26;30;41;50;65;85;147;221;332;437;507;520;452;530;587;723;1317;1673;2304;2962;3836;4188;
80 - 84;12;84;469;1278;1964;1718;1175;818;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2836;3434;3797;4359;4770;5444;7073;8254;7406;6864;7670;6684;5329;4192;3141;2290;1994;1776;1550;1638;1794;2130;1893;1960;2218;2023;1594;1365;921;693;382;209;155;63;40;38;46;49;75;110;174;230;296;475;676;824;791;662;902;985;1154;1961;2956;3947;5369;6700;7396;
75 - 79;24;113;571;1402;1788;1314;855;588;349;275;174;105;82;58;46;65;58;40;40;44;57;71;55;71;67;69;75;147;180;233;308;504;903;1631;2645;3054;3282;3381;3482;3967;5002;5935;5103;4636;5213;4309;3409;2814;2196;1700;1714;1570;1364;1425;1894;2222;2175;2352;2706;2489;2122;1659;1140;774;409;251;155;58;50;46;45;48;64;100;122;227;287;413;543;593;565;562;713;738;957;1624;2484;3231;4848;6269;6917;
70 - 74;11;146;620;1329;1411;1042;631;423;274;207;128;94;80;47;40;57;40;37;57;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3355;3189;3479;4385;5157;4444;4128;4838;3664;3052;2480;2063;1575;1599;1644;1555;1807;2376;2840;2901;3144;3611;3369;2877;2303;1592;1081;583;342;213;114;71;67;59;67;102;168;172;298;392;618;738;819;756;693;859;1021;1154;2004;3164;4508;6457;8706;9417;
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;289;305;450;687;1282;2264;3551;4264;4014;4155;4131;4117;5172;6349;5586;4975;5730;4416;3624;3129;2537;1914;2041;2120;1994;2302;3191;3900;3964;4308;4913;4629;3972;3291;2319;1616;771;592;319;134;103;76;93;114;159;241;283;404;592;812;995;1107;1049;984;1092;1388;1572;2592;3903;5477;8273;10995;12516;
60 - 64;63;428;1597;2523;2780;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;243;249;339;489;542;682;1273;2122;3960;5987;6853;6928;7296;7004;7655;9433;11037;9180;8261;9283;7552;6236;5123;4215;3186;3246;3515;3419;4121;5309;6574;6406;6875;7599;7756;6796;5531;3730;2648;1345;850;558;283;154;155;168;235;294;397;477;713;979;1485;1837;1881;1709;1643;1815;2150;2553;4258;6179;8876;12944;17067;19945;
55 - 59;76;749;2587;3593;3664;2603;1564;1061;598;509;359;263;237;142;133;193;196;156;116;178;242;288;308;325;431;357;394;554;760;867;1107;1873;3003;5758;8970;10166;10295;10263;9876;10385;13047;15003;12389;11093;12323;10032;8336;7010;5808;4509;4605;4840;4636;5712;7266;9093;8948;9680;10665;11021;9925;7816;5321;3578;1929;1256;794;364;244;230;245;367;545;581;786;1247;1802;2397;2715;2891;2602;2491;2761;3029;3599;5946;8550;11995;17531;23351;27003;
50 - 54;133;980;3088;3999;3701;2606;1561;987;599;521;373;251;241;150;147;328;258;186;171;208;292;352;415;472;559;538;549;669;899;995;1202;2269;3579;6421;9766;10966;10997;10843;10331;10552;13261;14919;11981;10529;12106;9809;8177;6676;5306;4310;4498;4753;4946;5906;7534;9351;9125;9955;11113;11640;10144;8013;5480;3773;2055;1353;824;440;298;226;289;454;622;821;975;1643;2537;3338;3725;3694;3326;2894;3300;3470;4206;6567;9167;12761;18792;24973;28202;
45 - 49;99;748;2098;2916;2710;1915;1172;785;469;448;332;254;214;162;144;384;269;217;182;234;334;386;456;575;693;606;613;694;877;897;1202;2040;3122;5819;8398;9478;9286;9675;9057;9238;11096;12445;9746;8551;9794;7955;6491;5302;4488;3552;3774;4047;4292;5188;6516;8163;7998;8772;10166;10669;9027;7443;5078;3584;2079;1308;873;471;274;260;333;437;689;910;1178;1951;3106;4111;4628;4541;3791;3337;3501;3813;4331;6597;9025;12119;18090;23422;26733;
40 - 44;85;566;1799;2321;2309;1674;1019;698;454;404;357;241;213;175;158;461;266;216;188;251;321;434;489;639;717;659;647;685;844;863;1053;1869;2902;5309;7881;8879;8997;9246;8808;8818;10905;11993;9509;8030;9549;7557;6231;5121;4275;3464;3589;4134;4274;5345;6983;9088;8325;9282;10726;10825;9573;7729;5331;3982;2204;1596;1077;530;355;271;345;508;734;991;1446;2355;3759;5187;5695;5424;4453;3906;4204;4390;5033;7571;10587;13845;21072;27920;32757;
35 - 39;67;548;1752;2384;2204;1649;982;762;465;423;351;274;242;156;194;388;296;224;203;253;358;383;515;642;760;716;645;699;906;1008;1153;1824;3099;5389;8083;8955;9192;9197;8719;9147;10991;12231;9524;8079;10147;8007;6343;5197;4461;3593;3708;4182;4575;5762;7587;9462;8985;9483;11269;11276;10017;7969;5620;4222;2412;1694;1101;547;364;339;381;647;908;1169;1595;2443;3771;5267;6002;5800;4822;4243;4544;4719;5342;7632;10548;14154;21132;28053;33130;
30 - 34;69;536;2049;2635;2420;1742;1206;901;564;486;394;316;269;207;223;420;324;259;259;300;382;423;516;709;946;859;937;940;1207;1301;1522;2360;3859;6713;9572;10475;10487;10085;9363;9470;11525;13026;10047;9194;11600;9043;7018;5761;4908;3906;4113;4527;4892;6016;7894;9870;9510;10139;12013;11854;10455;8273;5869;4537;2744;1751;1184;632;418;428;584;870;1307;1511;2080;3049;4384;5984;6583;6229;5107;4606;4771;4804;5360;8021;10753;13919;20251;26763;30514;
25 - 29;76;549;1995;2689;2484;1935;1286;996;681;522;391;346;314;222;242;399;321;314;229;309;410;510;604;840;1193;1222;1162;1226;1480;1436;1747;2685;4472;7323;10344;11151;10683;9918;8997;9148;10778;12105;9429;8426;10775;8537;6393;5336;4485;3660;3908;4152;4264;5468;7013;8402;8377;9215;10902;10792;9217;7451;5176;3946;2458;1598;1108;619;464;495;791;1332;1735;1952;2406;3593;5028;6325;6291;6068;4897;4116;4248;4294;4913;7229;9374;11966;17190;21445;22805;
20 - 24;70;321;1446;2269;2240;1727;1226;958;592;507;419;313;288;227;251;383;254;256;234;300;377;522;747;1159;1545;1329;1246;1284;1514;1584;1735;2791;4386;7566;10409;11729;11027;10201;8939;9178;10791;12096;9071;8588;10886;8538;6434;5240;4377;3664;3946;4199;4401;5424;6902;8551;8506;9801;11550;11268;9615;7833;5587;4180;2414;1735;1202;626;439;553;884;1504;2090;2329;2795;4427;5792;6889;6836;6223;4962;4125;4087;4155;4954;7239;9377;11853;17022;20406;22115;
15 - 19;44;181;537;934;1074;858;570;403;264;259;184;152;160;161;112;247;165;137;149;193;246;365;545;740;883;836;768;829;1040;1046;1330;2069;2957;4862;7191;8409;8715;8216;7463;7710;8819;8475;5878;4955;6382;5388;4201;3471;2919;2378;2618;3072;3211;4106;5539;7186;6609;7550;10819;10334;8658;7051;4936;3883;2238;1720;1233;682;443;414;581;1289;1615;1846;2371;3509;5571;6979;7780;6856;5648;4629;4577;4546;4893;6947;9825;11754;18378;21752;24776;
10-14;19;102;253;380;430;302;234;188;136;126;117;107;120;104;119;192;146;105;102;146;191;252;365;545;575;482;434;498;517;587;712;1141;1654;2743;4084;4782;5357;5299;5186;5157;5686;5285;3385;2651;3330;2714;2231;1881;1726;1409;1572;1879;2311;2870;4183;5730;4851;5180;7658;8735;7174;6125;4567;3760;2165;1582;1322;665;451;313;298;535;783;1004;1490;2610;5364;6924;8416;7741;7316;6289;6667;6510;6845;8954;13399;15515;27285;35061;39736;
5-9;10;56;169;249;291;237;163;155;120;105;111;79;112;99;123;177;139;121;115;137;152;198;285;411;380;353;318;325;357;390;433;622;974;1843;2793;3366;3621;3924;3826;3684;4264;4314;3023;1941;2392;2193;1904;1643;1602;1391;1550;2004;2727;3680;4764;6699;5193;4700;6999;8422;6870;5570;4114;3418;1877;1527;1145;568;347;242;208;325;480;728;1153;1842;3719;5600;7006;6591;5887;5288;5352;5088;5110;7390;11089;13274;24152;32002;36042;
0 - 4;9;35;143;254;270;238;158;186;133;138;116;122;87;107;110;160;135;143;147;141;162;150;188;276;284;222;227;226;290;298;327;522;890;1456;2227;2414;2412;2382;2316;2301;2657;3092;2108;1523;1900;1856;1694;1528;1511;1346;1376;1885;2370;2991;4048;5024;4466;4025;5087;5575;5064;4111;2966;2299;1410;1024;614;381;257;173;179;258;347;522;756;1235;1868;2957;3415;3498;2836;2333;2205;1854;2015;2700;3556;4429;7062;9568;11364;
