Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8
45 - 49;99;750;2097;2915;2709;1916;1172;786;470;448;331;256;214;161;144;383;269;217;182;233;334;386;457;574;693;607;614;694;877;897;1201;2043;3120;5820;8396;9481;9283;9673;9054;9240;11096;12445;9737;8552;9792;7966;6493;5301;4487;3552;3773;4050;4292;5192;6516;8164;7996;8773;10166;10666;9025;7446;5077;3584;2081;1308;873;471;274;260;333;437;690;911;1179;1953;3104;4118;4630;4542;3786;3339;3501;3813;4336;6604;9041;12134;18105;23477;27118;26221;22149;17271;12094;13162;21166;30875;48066;68618;83443;85027;77000;69547
40 - 44;85;566;1799;2320;2310;1677;1018;699;454;405;357;240;213;175;158;461;266;216;188;253;321;433;489;639;718;661;647;686;843;864;1054;1873;2903;5308;7880;8874;8991;9246;8806;8813;10900;11990;9509;8032;9559;7554;6229;5128;4278;3464;3592;4133;4276;5346;6983;9085;8330;9280;10729;10830;9576;7728;5332;3977;2204;1597;1076;529;357;274;345;509;733;990;1445;2355;3761;5192;5696;5425;4462;3910;4201;4394;5047;7610;10605;13867;21119;27946;33176;32511;27866;22308;15489;16464;24508;35986;62447;95035;114107;114251;100959;89813
35 - 39;67;548;1752;2386;2204;1645;982;761;467;422;351;274;242;156;194;388;296;224;203;254;361;384;513;644;759;716;645;699;906;1008;1152;1826;3099;5388;8080;8950;9188;9192;8719;9143;10985;12225;9523;8084;10152;8011;6343;5205;4468;3593;3715;4182;4579;5764;7583;9464;8980;9479;11269;11278;10015;7967;5622;4224;2415;1693;1102;547;365;339;382;647;908;1167;1599;2446;3773;5270;6005;5806;4820;4250;4545;4725;5351;7647;10574;14175;21173;28117;33618;33350;29343;24081;17269;18611;27271;39205;70610;103924;124079;123469;110620;99913
30 - 34;69;536;2050;2632;2418;1742;1207;901;563;485;394;316;269;207;224;419;324;260;259;302;382;423;517;709;946;859;937;939;1206;1301;1522;2357;3857;6711;9568;10475;10485;10080;9356;9469;11528;13018;10040;9197;11597;9049;7010;5767;4912;3906;4119;4526;4892;6018;7895;9870;9508;10138;12010;11852;10452;8270;5865;4535;2745;1751;1186;633;417;429;583;870;1305;1512;2078;3054;4386;5982;6584;6227;5102;4605;4777;4808;5360;8042;10756;13930;20286;26831;30916;30029;26957;22168;16962;20011;32977;44051;70676;96778;110920;112205;103633;95266
25 - 29;76;549;1995;2689;2483;1934;1285;995;681;522;390;345;314;222;243;399;322;314;229;310;410;511;605;839;1194;1222;1162;1226;1481;1434;1748;2686;4470;7323;10342;11146;10682;9916;8994;9146;10771;12095;9424;8427;10770;8542;6399;5336;4485;3662;3910;4154;4262;5467;7009;8399;8374;9211;10902;10797;9219;7453;5174;3947;2456;1599;1108;621;464;495;790;1329;1735;1954;2404;3598;5033;6326;6295;6070;4898;4117;4250;4293;4922;7241;9381;11968;17194;21497;22997;22196;19442;16334;13772;19186;37610;45536;63096;78002;88703;90445;85611;79452
20 - 24;70;322;1445;2270;2240;1724;1227;957;592;507;419;313;288;227;251;383;254;256;233;302;377;522;747;1159;1543;1329;1246;1285;1515;1587;1735;2790;4387;7567;10410;11724;11020;10203;8937;9175;10790;12089;9073;8584;10890;8540;6440;5247;4378;3664;3951;4201;4402;5422;6902;8554;8506;9796;11548;11271;9620;7827;5589;4181;2412;1736;1203;624;441;554;884;1504;2090;2328;2794;4426;5798;6889;6836;6225;4959;4125;4089;4161;4958;7255;9383;11864;17033;20454;22309;21104;18105;15546;13147;19860;40961;46974;60004;74436;84565;86736;83233;77376
15 - 19;44;182;536;934;1076;859;571;404;264;259;184;153;160;161;112;247;166;138;150;194;247;365;545;739;882;836;769;829;1038;1047;1329;2070;2957;4861;7188;8413;8718;8217;7459;7716;8821;8473;5879;4958;6388;5388;4201;3474;2918;2381;2623;3074;3209;4106;5541;7186;6607;7546;10820;10337;8659;7050;4939;3887;2239;1717;1237;684;445;415;581;1287;1617;1844;2371;3507;5571;6980;7787;6856;5647;4627;4580;4550;4901;6959;9837;11773;18437;21819;25105;24256;20491;16891;12042;14648;30290;46731;63762;86026;99409;98909;85842;74051
10 - 14;19;101;253;380;430;303;234;189;136;126;118;108;121;104;119;192;147;105;102;146;191;253;365;545;576;482;432;498;516;587;713;1141;1653;2741;4084;4783;5353;5306;5191;5154;5693;5288;3386;2657;3334;2720;2236;1888;1730;1412;1577;1880;2315;2873;4183;5733;4846;5180;7656;8738;7175;6126;4566;3757;2165;1582;1323;665;454;313;298;537;783;1005;1491;2610;5364;6926;8417;7742;7323;6293;6668;6518;6855;8989;13438;15536;27358;35214;40342;38421;34033;27994;18367;14336;21514;43604;83865;128035;143114;132250;105273;85688
5 - 9;10;56;169;250;292;236;163;155;121;105;112;80;112;98;123;177;138;121;115;137;152;196;286;410;379;355;319;326;357;391;433;621;975;1842;2794;3369;3635;3927;3831;3696;4278;4327;3033;1944;2401;2199;1907;1649;1608;1394;1552;2008;2730;3680;4767;6699;5200;4700;7000;8421;6879;5572;4118;3420;1877;1529;1147;568;352;245;210;325;480;728;1154;1842;3722;5599;7010;6598;5893;5288;5355;5094;5124;7432;11129;13305;24229;32162;36651;36363;33930;28570;19235;13285;18235;42640;93512;130772;139902;129673;107576;91271
0 - 4;9;35;143;254;270;238;159;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;275;284;222;227;226;290;298;327;523;890;1456;2229;2416;2415;2386;2319;2304;2666;3095;2107;1528;1903;1857;1700;1531;1515;1348;1380;1889;2371;2996;4049;5025;4464;4029;5091;5578;5062;4112;2969;2301;1411;1025;614;382;257;177;180;259;347;522;756;1233;1869;2960;3414;3495;2835;2335;2208;1857;2015;2709;3558;4440;7092;9604;11472;12125;12221;10833;7553;6344;9131;19013;41038;51035;51734;52425;47448;44979
