Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11;2022_12;2022_13;2022_14
45 - 49;99;750;2098;2915;2709;1917;1172;788;470;448;332;257;216;161;144;382;270;217;182;234;334;386;457;574;693;607;614;695;877;897;1201;2043;3119;5817;8397;9481;9283;9670;9054;9243;11095;12447;9741;8551;9793;7967;6494;5301;4487;3551;3772;4052;4293;5196;6517;8168;8002;8772;10169;10667;9026;7451;5077;3583;2082;1308;874;471;274;263;334;437;690;911;1180;1953;3105;4120;4631;4541;3789;3339;3501;3813;4336;6603;9039;12134;18101;23478;27113;26221;22140;17273;12101;13171;21170;30874;48090;68883;83646;85312;77444;70229;71843;89264;102573;104953;86354;65233
40 - 44;85;566;1799;2320;2310;1676;1020;698;454;405;357;241;213;175;158;460;266;216;188;254;321;434;489;640;719;661;648;687;844;866;1054;1872;2904;5309;7879;8874;8992;9248;8805;8813;10905;11993;9509;8034;9556;7556;6230;5129;4277;3467;3592;4135;4280;5350;6993;9089;8336;9283;10731;10833;9577;7730;5335;3976;2209;1598;1077;529;358;274;345;509;733;991;1444;2355;3760;5194;5698;5425;4462;3911;4203;4396;5046;7611;10603;13864;21116;27939;33175;32515;27855;22310;15487;16472;24521;35994;62503;95400;114331;114689;101542;90690;89540;107203;120166;122800;100478;75309
35 - 39;67;548;1751;2387;2202;1645;982;761;469;422;352;274;242;156;194;389;296;224;203;255;361;386;513;644;758;716;646;699;907;1008;1153;1827;3098;5387;8081;8951;9189;9193;8717;9145;10984;12223;9523;8082;10153;8015;6343;5206;4466;3596;3714;4182;4585;5768;7586;9468;8986;9479;11270;11279;10018;7970;5623;4223;2416;1693;1102;547;365;340;382;647;908;1167;1600;2446;3771;5273;6006;5809;4821;4246;4546;4724;5353;7649;10575;14177;21174;28120;33613;33347;29345;24081;17273;18611;27287;39208;70662;104273;124409;123901;111299;100840;100533;115570;128343;130332;104914;80536
30 - 34;69;535;2052;2631;2419;1743;1206;901;565;485;394;316;269;207;224;420;323;260;259;302;383;423;518;709;946;859;937;940;1206;1301;1523;2357;3857;6712;9567;10474;10486;10082;9355;9470;11529;13015;10036;9195;11593;9052;7011;5767;4913;3906;4126;4528;4895;6026;7899;9876;9507;10136;12016;11854;10451;8270;5867;4537;2746;1751;1187;634;417;429;582;870;1307;1512;2077;3056;4384;5986;6590;6231;5106;4602;4777;4808;5359;8042;10754;13928;20282;26836;30913;30032;26965;22175;16962;20024;32981;44067;70723;97052;111136;112618;104192;96273;102314;120114;132280;131453;106529;82655
25 - 29;76;549;1996;2690;2482;1934;1286;994;680;522;389;345;314;222;243;399;322;314;229;310;411;512;605;840;1194;1221;1162;1227;1481;1435;1749;2686;4471;7325;10340;11143;10682;9916;8992;9142;10770;12096;9421;8427;10771;8539;6399;5336;4486;3658;3912;4156;4268;5470;7012;8401;8376;9213;10903;10800;9220;7453;5170;3947;2455;1601;1110;621;464;496;791;1330;1734;1954;2405;3597;5033;6325;6304;6071;4901;4117;4250;4294;4921;7239;9378;11967;17190;21491;22997;22196;19444;16336;13773;19205;37618;45526;63124;78267;88925;90838;86153;80284;93561;112845;122051;115855;94733;72502
20 - 24;70;321;1446;2270;2240;1725;1228;958;592;506;419;313;288;227;251;382;254;256;233;302;378;523;750;1159;1544;1330;1248;1284;1515;1586;1736;2789;4386;7566;10411;11723;11021;10203;8938;9176;10791;12094;9069;8585;10891;8540;6439;5247;4377;3665;3949;4202;4408;5423;6906;8555;8507;9796;11552;11275;9621;7826;5592;4181;2413;1737;1204;624;441;554;884;1506;2092;2330;2794;4428;5802;6893;6836;6223;4956;4128;4087;4160;4958;7254;9384;11865;17019;20455;22311;21101;18107;15544;13153;19873;40979;46988;60068;74703;84758;87105;83735;78164;94602;120337;123530;112901;89580;68644
15 - 19;45;182;537;933;1076;859;571;404;263;259;184;153;160;162;112;247;166;138;150;194;247;365;546;738;882;835;769;829;1038;1047;1329;2070;2957;4862;7189;8412;8723;8214;7470;7720;8823;8475;5881;4957;6390;5387;4202;3474;2920;2380;2627;3075;3211;4110;5552;7187;6607;7546;10823;10345;8663;7049;4939;3891;2243;1718;1237;684;445;415;581;1288;1619;1846;2370;3509;5577;6981;7788;6853;5650;4625;4580;4549;4902;6957;9838;11770;18446;21819;25103;24258;20495;16895;12045;14653;30307;46735;63825;86369;99729;99425;86408;74948;80454;113412;114875;108189;86335;62444
10 - 14;19;102;252;381;430;304;234;189;137;126;118;108;120;104;119;192;147;105;102;146;191;253;365;545;576;483;431;498;516;587;714;1142;1654;2740;4086;4783;5355;5306;5195;5155;5697;5287;3386;2657;3335;2720;2235;1888;1732;1413;1578;1882;2318;2878;4189;5740;4850;5182;7661;8742;7178;6130;4566;3759;2166;1584;1323;666;455;313;299;537;785;1006;1490;2611;5365;6927;8424;7744;7328;6297;6670;6520;6856;8993;13439;15534;27351;35216;40335;38413;34043;27995;18366;14344;21527;43620;83983;128653;143541;132873;106068;86557;75484;98895;112468;112884;88080;62010
5 - 9;10;56;169;249;292;236;163;155;121;105;112;80;112;99;123;177;139;122;115;139;152;196;286;411;379;355;319;326;357;391;433;621;975;1843;2792;3369;3635;3928;3831;3696;4278;4331;3039;1945;2404;2200;1909;1650;1608;1396;1553;2012;2736;3691;4782;6717;5202;4700;7001;8427;6883;5572;4119;3422;1877;1529;1147;569;354;246;210;326;481;728;1154;1841;3724;5599;7016;6600;5892;5290;5354;5096;5124;7428;11133;13311;24228;32154;36656;36363;33932;28571;19237;13290;18246;42653;93612;131327;140315;130248;108368;92285;82948;96653;101576;103856;76607;56116
0 - 4;9;35;142;254;270;238;159;186;133;138;116;122;87;107;110;159;137;145;147;141;162;150;188;275;284;222;227;225;290;298;326;523;890;1456;2230;2416;2416;2388;2320;2304;2665;3096;2107;1528;1904;1855;1702;1531;1515;1348;1380;1892;2376;3007;4051;5033;4469;4032;5094;5582;5067;4115;2970;2302;1412;1025;614;382;257;178;180;259;348;522;756;1232;1869;2961;3414;3494;2836;2336;2209;1856;2015;2707;3558;4441;7095;9601;11475;12125;12221;10838;7549;6350;9134;19019;41069;51321;51871;52656;47770;45443;43327;46978;50226;51326;38826;29556
