Symptomatische COVID-19-Fälle pro 100.000, nach Impstatus und Altersgruppe ;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Meldejahr;Meldewoche;Ungeimpfte 12-17 Jahre;Grundimmunisierte  12-17 Jahre;Mit Auffrischimpfung 12-17 Jahre;Ungeimpfte 18-59 Jahre;Grundimmunisierte  18-59 Jahre;Mit Auffrischimpfung 18-59 Jahre;Ungeimpfte 60+ Jahre;Grundimmunisierte 60+ Jahre;Mit Auffrischimpfung 60+ Jahre
2021;28;--;--;--;15.6;4.5;--;3.7;0.8;--
2021;29;--;--;--;23.9;5.9;--;5.1;0.9;--
2021;30;--;--;--;31.1;6.8;--;8.1;1.7;--
2021;31;--;--;--;42.1;8.7;--;9.6;2.0;--
2021;32;58.9;7.0;--;68.1;12.9;--;15.5;3.4;--
2021;33;109.7;12.5;--;101.2;17.3;--;20.7;4.2;--
2021;34;140.0;10.2;--;131.4;21.7;--;31.1;6.2;--
2021;35;167.6;11.2;--;136.1;24.1;--;37.6;8.2;--
2021;36;158.7;11.1;--;131.0;25.2;--;42.9;9.4;--
2021;37;151.2;11.0;--;111.2;22.8;--;41.0;9.6;--
2021;38;131.7;8.6;--;94.4;21.6;--;36.4;9.6;--
2021;39;146.7;11.1;--;98.9;26.9;--;39.0;12.9;--
2021;40;147.5;9.4;--;105.8;29.7;--;48.4;15.0;--
2021;41;165.6;12.9;--;120.1;36.1;--;54.5;17.8;--
2021;42;228.1;17.7;--;177.0;57.1;30.3;86.7;31.2;11.5
2021;43;319.1;28.0;--;228.1;77.4;44.7;112.5;46.9;13.5
2021;44;340.7;29.7;--;268.2;95.1;45.0;144.7;59.4;16.7
2021;45;494.3;51.5;--;329.6;120.7;59.3;182.4;76.6;18.0
2021;46;539.1;55.5;--;358.4;143.8;63.3;195.4;87.8;22.5
2021;47;547.8;59.6;--;383.5;143.5;64.2;220.9;88.9;25.0
2021;48;509.7;57.3;20.0;349.1;129.2;49.1;210.8;74.9;20.3
2021;49;456.0;54.9;16.3;303.2;111.7;38.9;195.0;64.9;16.0
2021;50;377.8;49.7;10.9;251.5;95.8;29.3;160.1;49.8;11.2
2021;51;237.1;46.7;10.4;169.6;79.2;28.5;113.2;36.1;9.5
2021;52;214.0;71.9;25.0;174.9;114.2;47.2;110.8;42.6;16.1
2022;1;279.5;153.0;71.7;196.0;187.4;92.0;108.3;55.6;22.6
2022;2;352.9;214.7;96.5;186.0;189.3;96.0;77.4;47.4;23.0
2022;3;448.9;233.6;79.6;224.9;208.5;112.4;82.0;53.2;26.9
2022;4;538.1;254.4;86.3;254.3;210.6;118.0;90.4;53.7;29.1
2022;5;543.6;254.0;80.5;268.8;209.2;121.0;110.8;56.1;32.2
2022;6;489.0;261.7;94.6;258.7;226.4;139.9;112.9;65.6;39.9
2022;7;363.6;229.3;98.7;224.1;203.0;138.2;101.7;65.7;42.5
2022;8;310.1;194.3;108.2;201.4;174.6;135.4;97.2;60.9;43.8
2022;9;269.8;185.3;132.0;167.9;174.3;155.5;86.2;60.4;44.9
2022;10;265.0;205.0;161.6;164.7;173.4;164.8;87.5;55.9;49.5
2022;11;220.0;161.2;121.4;127.9;141.5;140.2;76.5;50.8;47.9
