;;0 - 4 Jährige;5 - 14 Jährige;15 - 34 Jährige;35 - 59 Jährige;60 - 79 Jährige;80+ Jährige;
Meldejahr;Meldewoche;A00..04;A05..14;A15..34;A35..59;A60..79;A80+;
2020;37;12;12;50;156;137;96;2020-KW37
2020;38;8;10;77;235;206;138;2020-KW38
2020;39;9;7;112;237;253;153;2020-KW39
2020;40;15;9;115;274;286;174;2020-KW40
2020;41;21;17;206;488;502;351;2020-KW41
2020;42;24;25;262;672;780;559;2020-KW42
2020;43;50;30;428;1049;1411;1123;2020-KW43
2020;44;64;49;540;1490;2074;1682;2020-KW44
2020;45;65;58;601;1681;2378;2042;2020-KW45
2020;46;64;68;569;1706;2558;2493;2020-KW46
2020;47;54;53;597;1655;2836;2804;2020-KW47
2020;48;63;68;557;1674;2843;3039;2020-KW48
2020;49;58;58;591;1652;3142;3575;2020-KW49
2020;50;70;66;665;1932;3891;4478;2020-KW50
2020;51;78;83;694;2145;4308;5023;2020-KW51
2020;52;53;49;593;1828;3837;4529;2020-KW52
2020;53;74;51;601;1864;3778;4386;2020-KW53
2021;01;62;32;561;1741;3836;4545;2021-KW01
2021;02;58;46;505;1541;3277;4102;2021-KW02
2021;03;40;36;385;1408;3046;3569;2021-KW03
2021;04;33;30;386;1170;2673;2872;2021-KW04
2021;05;42;37;344;1077;2237;2400;2021-KW05
2021;06;37;23;282;922;1842;1806;2021-KW06
2021;07;35;22;299;988;1902;1602;2021-KW07
2021;08;43;31;302;1009;1692;1426;2021-KW08
2021;09;49;28;312;952;1512;1173;2021-KW09
2021;10;50;37;371;1223;1573;1182;2021-KW10
2021;11;73;64;427;1390;1857;1168;2021-KW11
2021;12;73;74;533;1574;2040;1294;2021-KW12
2021;13;77;83;460;1413;1830;1097;2021-KW13
2021;14;72;56;465;1111;1430;847;2021-KW14
