Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10
45 - 49;99;750;2097;2915;2708;1917;1173;786;470;448;332;256;215;161;144;383;269;217;182;233;334;386;457;574;693;607;614;694;877;897;1201;2043;3118;5819;8396;9480;9283;9671;9053;9242;11096;12443;9740;8551;9792;7966;6493;5301;4487;3551;3773;4051;4293;5196;6515;8164;7999;8773;10167;10667;9025;7449;5077;3583;2082;1308;874;471;274;261;333;437;690;911;1180;1953;3104;4119;4630;4541;3788;3339;3501;3812;4336;6603;9041;12132;18099;23477;27115;26222;22144;17272;12097;13167;21173;30877;48094;68810;83610;85265;77412;70175;71613;87388
40 - 44;85;566;1799;2320;2310;1677;1018;699;454;405;357;240;213;175;158;461;266;216;188;253;321;433;489;640;719;661;647;686;843;864;1054;1872;2904;5309;7880;8874;8992;9249;8805;8813;10900;11991;9509;8032;9557;7554;6231;5128;4277;3465;3593;4134;4278;5347;6986;9085;8333;9281;10734;10833;9575;7731;5334;3977;2206;1598;1077;529;357;274;345;509;733;990;1444;2356;3760;5194;5698;5426;4461;3911;4202;4394;5046;7610;10604;13864;21118;27945;33172;32517;27863;22309;15488;16469;24519;35994;62491;95333;114299;114632;101455;90580;89285;104897
35 - 39;67;548;1752;2385;2204;1644;982;761;468;422;351;274;241;156;194;389;296;224;203;254;361;385;513;644;758;716;645;699;907;1008;1152;1826;3099;5386;8082;8951;9188;9192;8717;9145;10985;12225;9522;8083;10153;8011;6343;5205;4466;3595;3714;4181;4583;5766;7586;9466;8981;9479;11270;11279;10017;7969;5622;4222;2415;1693;1102;548;365;340;382;647;908;1167;1600;2446;3772;5273;6006;5809;4822;4248;4547;4725;5352;7647;10574;14177;21171;28115;33614;33354;29344;24080;17272;18614;27281;39216;70667;104220;124348;123840;111219;100764;100247;113214
30 - 34;69;536;2050;2632;2418;1744;1206;901;564;485;394;316;269;207;224;420;323;260;259;302;382;423;517;709;946;859;937;939;1206;1301;1522;2357;3857;6712;9568;10474;10484;10081;9356;9469;11526;13016;10038;9196;11598;9047;7010;5767;4912;3907;4123;4527;4896;6019;7895;9871;9508;10135;12013;11855;10450;8270;5865;4536;2745;1751;1187;633;417;429;582;869;1308;1512;2077;3055;4384;5985;6589;6228;5105;4602;4777;4808;5359;8041;10754;13928;20283;26834;30914;30034;26958;22173;16960;20021;32980;44070;70716;97016;111102;112545;104145;96151;102058;117737
25 - 29;76;549;1996;2689;2481;1934;1286;995;681;522;390;345;314;222;243;399;322;314;229;310;410;512;605;840;1194;1222;1162;1227;1480;1435;1748;2684;4471;7324;10341;11146;10681;9917;8991;9143;10771;12096;9423;8428;10769;8540;6400;5336;4484;3659;3911;4155;4267;5469;7010;8400;8371;9212;10902;10798;9219;7455;5168;3947;2455;1599;1108;621;464;496;790;1329;1734;1954;2405;3599;5032;6326;6302;6070;4899;4116;4251;4292;4920;7239;9380;11964;17190;21494;22999;22195;19443;16335;13775;19195;37632;45538;63128;78259;88891;90778;86109;80207;93339;110573
20 - 24;70;321;1445;2270;2240;1724;1227;957;592;506;419;313;288;227;251;383;254;256;233;302;378;522;749;1159;1543;1330;1247;1284;1515;1587;1735;2792;4386;7566;10412;11724;11021;10203;8938;9177;10791;12089;9073;8584;10890;8538;6440;5246;4377;3666;3950;4202;4407;5422;6905;8555;8508;9798;11548;11272;9621;7825;5592;4181;2413;1737;1204;624;441;554;884;1504;2091;2330;2792;4428;5801;6893;6837;6224;4958;4129;4089;4160;4958;7255;9384;11864;17023;20453;22307;21104;18109;15542;13151;19868;40983;46985;60067;74679;84753;87045;83690;78122;94364;117942
15 - 19;45;182;537;933;1076;859;571;404;263;259;184;153;160;161;112;247;166;138;150;194;247;365;545;739;882;836;769;829;1038;1047;1328;2069;2957;4862;7188;8413;8721;8218;7463;7719;8822;8476;5879;4956;6387;5388;4201;3474;2920;2379;2625;3074;3210;4107;5546;7185;6606;7547;10823;10342;8662;7052;4939;3892;2242;1716;1237;684;445;415;581;1287;1618;1846;2370;3508;5575;6981;7790;6854;5650;4625;4580;4549;4903;6960;9837;11775;18444;21818;25104;24259;20490;16894;12042;14651;30309;46736;63819;86328;99643;99333;86333;74839;80215;111015
10 - 14;19;102;253;380;430;303;234;189;137;126;118;108;121;104;119;192;147;105;102;146;191;253;365;545;576;482;431;498;516;587;714;1141;1653;2740;4084;4783;5354;5307;5194;5153;5695;5288;3386;2657;3336;2720;2236;1887;1730;1413;1577;1881;2314;2874;4185;5735;4848;5183;7661;8742;7176;6129;4566;3758;2166;1583;1323;666;455;312;298;538;783;1005;1491;2610;5365;6927;8424;7743;7324;6295;6670;6519;6855;8991;13438;15532;27354;35217;40341;38418;34039;28001;18369;14344;21525;43613;83972;128540;143456;132725;105955;86438;75259;96879
5 - 9;10;56;169;249;292;236;163;155;121;105;112;80;112;99;123;177;139;121;115;137;152;196;286;410;379;355;319;326;357;391;433;621;975;1843;2794;3369;3636;3926;3830;3693;4276;4328;3039;1944;2403;2201;1907;1649;1608;1395;1552;2008;2734;3684;4771;6699;5200;4701;7001;8425;6880;5572;4119;3420;1877;1529;1147;568;352;245;210;325;480;728;1154;1842;3723;5600;7013;6600;5891;5288;5355;5094;5124;7431;11131;13307;24225;32160;36654;36366;33934;28573;19240;13293;18242;42659;93605;131241;140234;130143;108274;92145;82650;94689
0 - 4;9;35;142;254;270;238;159;186;133;138;116;122;87;107;110;159;137;144;147;141;162;150;188;275;284;222;227;226;290;298;326;523;890;1456;2230;2416;2415;2386;2319;2303;2665;3095;2107;1528;1906;1856;1701;1531;1515;1348;1380;1891;2375;3003;4051;5026;4466;4031;5094;5581;5066;4114;2969;2302;1412;1025;614;382;257;178;180;259;348;522;756;1232;1869;2961;3414;3495;2836;2335;2209;1857;2015;2708;3558;4441;7095;9600;11472;12126;12225;10834;7551;6348;9134;19017;41073;51277;51862;52615;47743;45379;43168;46192
