Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11;2022_12
45 - 49;99;750;2098;2916;2709;1917;1173;787;470;448;332;257;215;161;144;382;270;217;182;234;334;386;457;574;693;607;614;694;877;897;1201;2043;3119;5816;8397;9480;9283;9670;9054;9242;11096;12444;9741;8550;9793;7966;6494;5301;4488;3550;3773;4052;4294;5196;6516;8166;8000;8773;10167;10667;9024;7450;5077;3583;2082;1308;874;471;274;262;334;437;690;911;1180;1953;3105;4119;4631;4541;3789;3339;3501;3813;4336;6604;9040;12132;18101;23475;27114;26222;22143;17273;12100;13169;21173;30878;48091;68855;83631;85284;77417;70195;71734;88951;102143;102552
40 - 44;85;566;1798;2321;2310;1676;1019;698;454;405;357;240;213;175;158;460;266;216;188;253;321;433;489;640;719;661;648;687;844;865;1054;1872;2904;5311;7879;8874;8992;9248;8805;8812;10904;11991;9510;8032;9557;7555;6230;5129;4276;3465;3592;4135;4280;5348;6988;9088;8333;9281;10733;10834;9576;7731;5334;3976;2207;1598;1078;529;358;274;345;509;733;991;1444;2356;3760;5194;5698;5426;4462;3911;4203;4394;5046;7611;10603;13864;21116;27943;33175;32518;27860;22309;15485;16473;24522;35991;62504;95390;114322;114668;101502;90655;89385;106825;119741;120008
35 - 39;67;548;1752;2386;2204;1645;982;761;469;422;352;274;242;156;194;389;296;224;203;255;361;386;513;644;758;716;646;699;907;1008;1153;1827;3099;5386;8081;8951;9188;9193;8717;9145;10984;12224;9524;8083;10153;8012;6343;5206;4466;3595;3714;4182;4584;5770;7587;9466;8981;9479;11270;11280;10016;7970;5622;4222;2416;1693;1102;547;365;340;382;647;908;1167;1600;2446;3771;5274;6006;5810;4822;4247;4546;4725;5353;7648;10576;14176;21174;28118;33614;33347;29343;24080;17273;18610;27284;39212;70658;104250;124393;123853;111247;100809;100377;115218;127803;127414
30 - 34;69;535;2052;2631;2418;1743;1206;901;564;485;394;316;269;207;224;420;323;260;259;302;382;423;518;709;946;859;937;939;1206;1301;1522;2357;3857;6713;9568;10474;10485;10081;9354;9470;11528;13016;10036;9196;11594;9051;7010;5767;4913;3907;4124;4527;4895;6025;7898;9874;9507;10135;12015;11856;10452;8270;5867;4536;2746;1752;1187;633;417;429;582;870;1307;1512;2077;3055;4384;5986;6590;6231;5105;4602;4777;4809;5359;8041;10753;13929;20283;26834;30911;30031;26960;22172;16958;20021;32985;44067;70727;97052;111142;112569;104176;96210;102182;119736;131786;128649
25 - 29;76;549;1996;2690;2482;1934;1286;994;681;522;389;345;314;222;243;399;322;314;229;310;410;512;605;840;1194;1221;1162;1227;1481;1435;1749;2685;4471;7325;10341;11143;10681;9916;8991;9144;10771;12094;9422;8427;10769;8539;6399;5337;4486;3657;3912;4155;4268;5470;7012;8400;8372;9212;10902;10801;9220;7453;5169;3947;2455;1601;1109;621;464;496;790;1330;1734;1954;2405;3597;5032;6325;6304;6070;4901;4116;4250;4293;4921;7239;9379;11966;17191;21494;22996;22195;19441;16333;13774;19202;37621;45538;63139;78269;88929;90795;86142;80245;93434;112464;121600;113309
20 - 24;70;321;1445;2270;2240;1724;1228;958;592;506;419;313;288;227;251;382;254;256;233;302;378;522;749;1159;1544;1330;1247;1284;1515;1586;1736;2790;4386;7566;10412;11722;11021;10204;8939;9176;10791;12092;9070;8584;10890;8539;6439;5247;4377;3666;3950;4202;4408;5424;6906;8554;8508;9796;11548;11274;9621;7825;5592;4181;2413;1737;1204;624;441;554;884;1505;2091;2329;2792;4428;5801;6894;6837;6223;4958;4129;4088;4160;4957;7254;9384;11863;17019;20455;22310;21101;18108;15544;13152;19870;40974;46986;60079;74699;84766;87050;83725;78127;94480;119960;123008;110393
15 - 19;45;182;537;933;1076;859;571;404;263;259;184;153;160;161;112;247;166;138;150;194;247;365;545;738;882;835;769;829;1038;1047;1329;2070;2957;4862;7189;8412;8723;8216;7469;7719;8823;8476;5880;4955;6390;5387;4202;3474;2920;2379;2626;3075;3210;4110;5552;7186;6606;7544;10823;10344;8663;7049;4939;3891;2243;1717;1237;684;445;415;581;1288;1619;1846;2370;3508;5576;6981;7789;6853;5650;4625;4580;4549;4902;6959;9837;11770;18446;21816;25102;24258;20492;16894;12045;14652;30310;46740;63829;86355;99690;99362;86369;74895;80330;112955;114347;105713
10 - 14;19;102;252;380;430;303;234;189;137;126;118;108;121;104;119;192;147;105;102;146;191;253;365;545;576;483;431;498;516;587;714;1142;1654;2740;4086;4783;5355;5307;5193;5154;5697;5289;3386;2657;3336;2720;2236;1888;1731;1413;1578;1882;2316;2875;4188;5739;4849;5182;7661;8742;7177;6130;4566;3760;2166;1584;1323;666;455;312;299;537;785;1006;1490;2610;5365;6926;8424;7744;7325;6297;6670;6520;6856;8993;13438;15535;27351;35216;40334;38418;34042;27997;18364;14342;21524;43619;83974;128623;143522;132805;106019;86504;75354;98518;111953;110467
5 - 9;10;56;169;249;292;236;163;155;121;105;112;80;112;99;123;177;139;121;115;139;152;196;286;411;379;355;319;326;357;391;433;621;975;1843;2792;3369;3635;3928;3831;3695;4276;4330;3039;1945;2404;2200;1909;1650;1608;1396;1553;2011;2736;3693;4779;6709;5200;4700;7001;8426;6882;5572;4119;3420;1877;1529;1147;569;352;245;210;326;481;728;1154;1842;3724;5599;7016;6600;5893;5289;5355;5094;5124;7430;11132;13311;24228;32158;36658;36363;33931;28572;19239;13290;18244;42652;93610;131297;140285;130188;108321;92228;82801;96309;101111;101815
0 - 4;9;35;142;254;270;238;159;186;133;138;116;122;87;107;110;159;137;144;147;141;162;150;188;275;284;222;227;226;290;298;326;523;890;1456;2230;2416;2416;2388;2320;2304;2665;3096;2108;1528;1906;1856;1702;1531;1515;1348;1380;1892;2376;3007;4051;5032;4468;4030;5093;5581;5067;4115;2969;2302;1412;1025;614;382;257;178;180;259;348;522;756;1232;1869;2961;3414;3494;2836;2336;2209;1856;2015;2707;3558;4439;7095;9603;11474;12124;12224;10838;7549;6350;9133;19018;41070;51307;51874;52633;47752;45413;43237;46850;50059;50337
