Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5;2022_6;2022_7;2022_8;2022_9;2022_10;2022_11;2022_12;2022_13;2022_14;2022_15
45 - 49;99;750;2097;2915;2710;1917;1172;788;470;448;332;257;216;161;144;382;270;217;182;234;334;386;457;574;693;607;614;695;877;897;1201;2043;3119;5817;8396;9481;9285;9670;9054;9243;11095;12447;9741;8551;9793;7967;6493;5301;4487;3551;3772;4053;4293;5197;6518;8167;8003;8772;10169;10667;9026;7450;5078;3583;2082;1308;874;471;274;263;334;437;690;911;1180;1953;3105;4120;4631;4541;3789;3339;3501;3813;4336;6603;9039;12133;18100;23477;27112;26222;22140;17273;12101;13169;21170;30870;48083;68888;83630;85319;77451;70227;71965;89285;102622;105058;86408;65660;51423
40 - 44;85;566;1799;2321;2310;1676;1021;698;454;405;357;241;213;175;158;460;266;216;188;254;321;434;489;640;719;661;648;687;844;866;1055;1872;2905;5309;7879;8873;8992;9248;8805;8813;10905;11993;9509;8036;9556;7556;6230;5129;4277;3467;3593;4135;4280;5351;6993;9089;8335;9283;10731;10834;9576;7730;5335;3976;2210;1598;1077;529;358;274;345;509;733;991;1444;2355;3760;5194;5698;5425;4461;3911;4204;4396;5046;7611;10603;13865;21116;27937;33174;32515;27855;22309;15486;16473;24517;35991;62500;95397;114336;114690;101564;90702;89700;107217;120224;122911;100537;75801;58809
35 - 39;67;548;1751;2387;2202;1645;983;761;469;422;352;274;242;156;194;389;296;224;203;255;361;386;513;644;758;716;646;699;907;1008;1153;1827;3098;5387;8081;8951;9188;9193;8717;9145;10984;12223;9523;8081;10153;8016;6343;5206;4466;3596;3714;4182;4585;5767;7586;9468;8986;9479;11270;11280;10017;7970;5622;4223;2416;1693;1102;547;365;340;382;647;907;1167;1600;2446;3771;5273;6006;5809;4821;4247;4546;4724;5354;7649;10575;14176;21172;28119;33612;33347;29343;24082;17272;18610;27287;39213;70650;104287;124409;123915;111315;100850;100677;115593;128415;130450;104975;81102;63775
30 - 34;69;535;2052;2631;2419;1743;1206;901;565;485;394;316;269;206;224;420;323;260;259;302;383;423;518;709;946;859;937;940;1206;1301;1523;2357;3857;6712;9567;10474;10487;10081;9355;9470;11530;13015;10036;9195;11593;9051;7011;5767;4913;3906;4127;4528;4895;6026;7900;9876;9505;10136;12018;11854;10450;8270;5867;4537;2746;1752;1187;634;417;429;582;870;1307;1512;2077;3056;4384;5986;6590;6231;5106;4602;4777;4808;5359;8042;10754;13928;20280;26835;30912;30031;26965;22174;16963;20023;32981;44060;70724;97055;111115;112626;104216;96289;102462;120133;132336;131544;106585;83266;66595
25 - 29;76;549;1996;2689;2482;1935;1286;994;680;522;389;345;314;222;243;399;322;314;229;310;411;512;605;840;1194;1221;1162;1227;1481;1435;1749;2686;4471;7325;10340;11145;10682;9916;8992;9142;10770;12096;9422;8427;10772;8539;6399;5336;4485;3658;3912;4156;4268;5470;7012;8403;8376;9212;10901;10800;9220;7453;5170;3947;2455;1601;1111;621;464;496;791;1330;1734;1954;2407;3597;5033;6325;6304;6071;4901;4117;4250;4294;4921;7239;9377;11967;17190;21491;22996;22194;19443;16337;13773;19203;37618;45526;63117;78269;88906;90827;86161;80292;93742;112849;122101;115961;94768;73012;60350
20 - 24;70;321;1447;2270;2240;1725;1229;958;592;506;419;313;288;227;251;382;254;256;233;302;378;523;750;1159;1544;1330;1247;1284;1515;1586;1736;2790;4386;7567;10411;11723;11021;10204;8940;9175;10791;12095;9068;8585;10890;8539;6439;5246;4377;3665;3949;4202;4408;5422;6905;8554;8507;9796;11553;11275;9622;7825;5592;4181;2413;1737;1204;624;441;554;884;1506;2092;2330;2795;4428;5801;6893;6836;6224;4956;4128;4087;4160;4958;7254;9383;11865;17018;20455;22312;21102;18108;15543;13153;19872;40977;46988;60060;74706;84743;87129;83744;78169;94749;120361;123583;113031;89641;69050;57081
15 - 19;45;182;537;933;1076;859;571;404;262;259;184;153;160;162;112;247;166;138;150;194;247;365;546;738;882;835;769;829;1038;1047;1329;2070;2957;4863;7188;8412;8723;8215;7469;7720;8824;8474;5881;4957;6390;5387;4202;3474;2920;2380;2627;3075;3211;4110;5552;7187;6607;7546;10823;10346;8663;7049;4939;3891;2243;1718;1237;684;445;415;581;1288;1619;1846;2370;3508;5577;6981;7788;6853;5651;4624;4580;4549;4902;6957;9838;11771;18444;21819;25103;24259;20492;16894;12045;14652;30305;46732;63823;86371;99729;99424;86422;74955;80595;113432;114927;108267;86390;62847;46388
10 - 14;19;102;252;381;430;304;234;189;137;126;118;108;120;104;119;192;147;105;102;146;191;253;365;545;576;483;431;498;516;587;714;1142;1654;2739;4086;4783;5355;5306;5193;5155;5697;5287;3386;2657;3335;2720;2235;1888;1732;1413;1578;1882;2318;2878;4189;5741;4850;5182;7662;8742;7178;6130;4566;3759;2166;1584;1323;666;455;313;299;537;785;1007;1490;2611;5365;6927;8424;7744;7329;6296;6671;6520;6856;8993;13440;15534;27350;35216;40334;38413;34041;27994;18365;14343;21528;43622;83989;128655;143546;132887;106088;86576;75612;98916;112525;112971;88140;62358;38126
5 - 9;10;56;169;249;292;236;164;155;121;105;112;80;112;99;123;177;139;122;115;139;152;196;286;411;379;355;319;326;357;391;433;621;975;1843;2792;3369;3636;3928;3832;3696;4279;4332;3040;1945;2404;2200;1910;1650;1608;1396;1553;2012;2736;3690;4782;6717;5203;4700;7001;8427;6883;5572;4119;3422;1877;1529;1148;569;353;245;210;326;481;728;1154;1841;3724;5599;7017;6600;5893;5291;5354;5096;5124;7428;11132;13311;24228;32155;36657;36363;33932;28573;19238;13289;18245;42652;93610;131332;140317;130257;108401;92295;83059;96681;101651;103954;76656;56479;37537
0 - 4;9;35;142;254;270;238;159;186;133;138;116;122;87;107;110;159;137;145;147;141;162;150;188;275;284;222;227;225;290;298;326;523;890;1456;2230;2416;2416;2388;2320;2304;2665;3096;2107;1528;1904;1855;1701;1531;1515;1348;1380;1892;2376;3007;4051;5034;4467;4032;5094;5582;5066;4115;2972;2302;1412;1025;614;382;257;178;180;259;348;522;756;1232;1869;2961;3414;3494;2835;2336;2209;1856;2016;2708;3558;4440;7095;9601;11475;12124;12221;10837;7547;6351;9132;19022;41064;51327;51876;52666;47776;45457;43384;46985;50259;51367;38834;29732;22628
