Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52;2022_1;2022_2;2022_3;2022_4;2022_5
Gesamt;900;6430;22386;33967;36049;27127;17324;12350;7432;6233;4757;3599;3205;2353;2344;4190;3157;2689;2422;3031;3932;4835;6061;7953;9596;8832;8615;9759;12289;13064;15925;26122;42057;74874;111002;125724;127796;128389;123141;128359;156304;174695;138927;123083;145484;118899;95541;78168;64588;50799;52395;56345;58369;71332;92587;116264;110101;118264;142054;144749;124777;100972;70807;52688;29887;20683;14045;7279;4841;4366;5579;9102;12627;15505;20415;32065;49631;66354;74695;71673;61455;53616;56483;58005;65356;97732;137039;177897;271372;351776;403434;388366;338192;273570;193943;208635;337704;485524;792756;1094353;1252280
90+;1;13;102;424;1170;1243;848;582;284;204;141;103;72;42;46;37;28;24;14;27;17;39;29;25;18;28;24;45;74;94;119;182;437;887;1462;1722;2315;3064;3515;4194;5401;5968;5236;4981;5401;5016;3943;2873;1935;1297;1061;827;610;608;638;662;623;718;791;795;636;541;406;277;160;129;66;44;11;6;17;20;25;56;65;127;138;227;334;350;392;331;325;395;523;889;1161;1652;1898;2334;2632;2401;2304;1865;1178;1091;1425;1631;2913;4226;5871
85 - 89;6;38;218;735;1451;1421;924;681;324;262;180;125;85;51;51;47;33;28;20;25;34;41;38;56;23;33;25;85;101;121;165;307;576;1151;1785;2279;2834;3378;4092;4595;5907;6938;5817;5583;6066;5553;4440;3323;2574;1648;1461;1204;964;937;1111;1261;1195;1072;1201;1177;990;854;619;434;236;158;90;50;41;26;30;41;50;65;85;146;220;333;437;507;519;450;530;590;722;1322;1679;2309;2972;3846;4232;3712;3398;2709;1756;1605;1964;2123;3483;4875;6947
80 - 84;12;84;469;1278;1964;1718;1175;817;452;298;246;154;113;76;61;62;51;49;37;37;51;90;70;81;64;50;60;132;196;212;315;471;857;1839;2837;3434;3797;4360;4769;5445;7073;8254;7406;6862;7667;6679;5329;4193;3140;2289;1994;1775;1549;1637;1792;2130;1895;1957;2218;2023;1594;1366;921;695;384;209;155;63;41;38;46;49;74;110;175;230;296;474;676;823;791;663;903;984;1155;1960;2958;3947;5386;6725;7454;6417;5063;4033;2582;2530;3245;3355;5199;7269;10088
75 - 79;24;113;571;1403;1788;1315;855;587;349;274;174;105;82;58;46;65;58;40;40;44;57;71;55;72;67;69;75;147;180;233;308;504;903;1631;2645;3056;3281;3382;3479;3967;5001;5932;5102;4636;5212;4308;3408;2812;2195;1700;1714;1570;1363;1423;1894;2222;2176;2353;2706;2489;2120;1659;1139;774;408;251;155;58;50;46;45;48;64;100;122;227;287;413;543;594;564;562;713;738;962;1627;2491;3238;4861;6296;7005;6103;4948;3601;2261;2317;2967;3045;4745;6773;8748
70 - 74;11;146;620;1330;1411;1042;631;423;275;207;128;94;80;47;40;57;40;37;56;62;63;89;91;79;97;92;105;151;260;267;351;584;934;1805;2881;3187;3304;3356;3190;3479;4385;5159;4442;4131;4834;3664;3053;2480;2064;1574;1599;1642;1555;1807;2376;2840;2899;3144;3610;3369;2878;2301;1593;1081;583;342;213;114;71;68;59;68;102;168;172;298;392;619;739;817;757;692;856;1021;1159;2009;3166;4511;6470;8730;9511;8672;7169;5109;3389;3516;4572;4835;7225;10251;13282
65 - 69;25;236;885;1647;1687;1115;657;501;265;209;146;122;106;60;51;69;66;62;62;71;84;86;121;110;122;129;127;224;290;305;450;687;1282;2263;3553;4262;4014;4156;4130;4115;5169;6348;5586;4976;5729;4416;3624;3128;2536;1914;2040;2121;1995;2302;3191;3901;3965;4309;4911;4628;3969;3292;2319;1617;771;592;319;134;103;76;93;114;159;241;284;404;591;811;998;1108;1050;984;1097;1389;1574;2596;3903;5491;8276;11030;12652;12093;10177;7552;5045;5280;6847;7541;11480;16001;20556
60 - 64;63;428;1597;2523;2779;1787;1085;672;405;332;239;175;168;107;91;121;106;112;94;110;152;151;204;193;237;244;249;339;489;542;683;1271;2122;3960;5987;6854;6928;7297;7000;7656;9433;11035;9180;8260;9289;7551;6235;5124;4217;3188;3246;3515;3416;4123;5311;6574;6406;6874;7599;7755;6797;5531;3731;2646;1346;850;558;282;155;155;168;235;294;397;477;713;979;1484;1836;1881;1709;1644;1814;2152;2558;4278;6187;8892;12964;17085;20149;19214;16420;12198;8236;8939;11962;14595;22850;32559;40591
55 - 59;76;748;2586;3591;3664;2603;1565;1060;598;509;359;263;237;142;133;193;196;156;117;177;242;288;309;325;431;356;394;554;760;867;1107;1874;3002;5757;8970;10165;10296;10264;9876;10387;13049;14999;12390;11091;12327;10032;8337;7011;5808;4507;4605;4840;4635;5714;7268;9092;8950;9681;10667;11022;9924;7816;5324;3577;1930;1255;795;364;244;230;246;367;545;581;785;1248;1803;2398;2719;2892;2602;2488;2761;3032;3606;5965;8565;12013;17558;23415;27296;25919;21671;16624;11381;13191;18994;23776;35937;49543;60758
50 - 54;133;979;3088;3998;3700;2607;1561;988;599;520;373;251;241;150;147;328;258;186;171;208;293;352;415;472;559;539;549;669;900;995;1203;2269;3580;6423;9763;10966;10995;10840;10330;10552;13259;14921;11978;10531;12111;9806;8179;6675;5308;4308;4500;4750;4946;5909;7536;9350;9123;9956;11113;11637;10141;8013;5475;3772;2055;1353;824;441;299;227;290;454;624;821;977;1643;2537;3338;3725;3695;3326;2895;3300;3474;4210;6584;9182;12785;18834;25035;28537;27002;22315;17634;12052;14159;22057;30045;43541;59222;71049
45 - 49;100;748;2097;2916;2709;1916;1172;786;470;448;331;256;214;162;144;384;270;217;182;233;334;386;456;574;693;607;614;694;877;897;1202;2039;3120;5820;8397;9478;9285;9673;9055;9238;11096;12445;9739;8554;9796;7964;6491;5301;4488;3552;3773;4043;4291;5190;6516;8164;7998;8771;10166;10668;9022;7448;5078;3584;2079;1308;873;471;274;260;333;437;690;911;1179;1952;3104;4116;4629;4543;3789;3339;3501;3813;4335;6604;9040;12134;18107;23471;27112;26225;22142;17271;12090;13166;21153;30855;47875;67833;81095
40 - 44;85;566;1799;2322;2309;1674;1018;699;454;405;357;240;213;175;158;461;266;217;188;252;322;433;489;639;718;661;647;686;843;864;1053;1872;2903;5309;7880;8875;8992;9246;8809;8812;10903;11990;9508;8033;9561;7553;6231;5129;4280;3462;3591;4135;4276;5346;6982;9082;8326;9279;10729;10828;9575;7728;5333;3977;2205;1597;1076;529;357;274;345;509;733;991;1445;2355;3760;5192;5695;5426;4459;3910;4202;4396;5047;7608;10601;13869;21121;27956;33177;32516;27869;22307;15487;16465;24483;35955;62230;93913;111047
35 - 39;67;548;1752;2385;2204;1646;982;761;467;423;351;274;242;156;194;388;296;224;203;253;360;383;514;644;760;716;645;699;905;1007;1152;1827;3099;5390;8080;8954;9190;9192;8718;9143;10985;12227;9523;8082;10148;8010;6343;5203;4468;3593;3710;4181;4576;5763;7586;9461;8981;9480;11269;11275;10013;7966;5622;4224;2415;1692;1100;547;365;339;382;647;908;1167;1598;2446;3771;5269;6002;5804;4822;4248;4543;4722;5350;7647;10571;14176;21172;28114;33612;33356;29339;24083;17265;18602;27248;39161;70335;102706;120726
30 - 34;69;535;2049;2632;2419;1742;1206;901;563;484;394;316;268;207;224;420;324;260;259;302;382;423;517;709;946;859;937;938;1206;1301;1522;2357;3857;6712;9568;10474;10485;10081;9357;9471;11528;13021;10039;9195;11598;9046;7011;5770;4913;3903;4114;4526;4892;6017;7895;9868;9508;10138;12010;11852;10450;8270;5866;4534;2745;1751;1187;633;418;428;583;870;1305;1511;2079;3053;4386;5981;6583;6230;5105;4607;4776;4810;5360;8042;10758;13932;20279;26829;30934;30032;26960;22162;16966;20005;32928;43999;70422;95661;107999
25 - 29;76;549;1994;2689;2484;1934;1285;995;682;522;390;345;314;222;243;399;321;314;229;309;410;513;604;839;1194;1222;1162;1226;1481;1435;1748;2687;4467;7324;10341;11148;10682;9916;8994;9144;10773;12101;9423;8427;10773;8539;6400;5337;4488;3660;3910;4154;4263;5468;7010;8398;8376;9213;10903;10796;9215;7452;5174;3947;2456;1598;1108;622;463;495;790;1329;1734;1954;2404;3598;5033;6323;6293;6067;4898;4117;4249;4293;4923;7242;9382;11967;17197;21494;23011;22205;19440;16329;13768;19188;37558;45511;62893;77166;86276
20 - 24;70;322;1446;2270;2240;1725;1228;958;592;508;419;313;288;227;251;383;254;256;233;302;377;522;747;1159;1543;1329;1246;1285;1515;1584;1734;2790;4387;7567;10411;11726;11020;10201;8936;9179;10789;12091;9069;8583;10890;8541;6437;5247;4379;3665;3945;4200;4401;5424;6903;8553;8507;9797;11546;11270;9621;7830;5589;4180;2412;1736;1202;625;441;554;883;1505;2089;2329;2793;4426;5795;6889;6836;6226;4960;4123;4088;4161;4959;7256;9385;11863;17034;20451;22320;21109;18104;15545;13145;19847;40929;46911;59811;73658;82276
15 - 19;44;182;537;934;1074;859;570;404;264;259;184;152;160;161;112;247;165;138;150;194;247;365;545;740;883;835;770;829;1039;1046;1328;2071;2958;4863;7189;8412;8717;8217;7457;7715;8823;8474;5879;4957;6384;5388;4201;3472;2921;2378;2621;3071;3209;4106;5538;7184;6608;7549;10821;10341;8655;7050;4939;3884;2239;1718;1237;684;444;414;581;1287;1617;1844;2372;3506;5570;6980;7787;6856;5646;4627;4583;4551;4901;6960;9840;11773;18444;21818;25114;24262;20487;16883;12041;14650;30273;46679;63528;84962;96533
10 - 14;19;101;253;380;430;303;234;189;136;126;117;107;121;104;119;192;147;105;102;146;191;252;365;545;576;482;433;497;517;587;713;1141;1653;2743;4084;4783;5356;5305;5190;5157;5694;5285;3386;2657;3334;2720;2236;1887;1729;1411;1573;1878;2312;2871;4183;5732;4849;5180;7655;8737;7175;6126;4567;3759;2166;1583;1322;666;454;314;298;537;783;1005;1491;2610;5364;6925;8418;7741;7321;6295;6667;6517;6859;8986;13437;15538;27360;35222;40342;38428;34016;27980;18367;14324;21488;43538;83507;126435;139156
5 - 9 ;10;56;169;250;292;236;163;155;120;105;111;80;113;99;123;177;138;121;115;137;153;197;286;410;379;354;319;326;356;391;433;621;975;1843;2795;3367;3627;3926;3829;3692;4275;4322;3030;1946;2400;2201;1908;1648;1605;1391;1549;2005;2730;3680;4765;6697;5200;4701;7001;8419;6877;5572;4118;3417;1877;1529;1147;568;352;243;210;325;480;728;1153;1842;3722;5600;7009;6594;5891;5289;5356;5094;5123;7430;11132;13299;24233;32165;36647;36370;33931;28567;19239;13285;18200;42576;93169;129343;136143
0 - 4;9;35;143;254;270;238;158;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;275;284;223;227;226;290;298;327;523;890;1457;2228;2415;2414;2386;2318;2303;2663;3094;2108;1527;1904;1856;1700;1529;1514;1348;1379;1887;2372;2997;4049;5025;4465;4028;5090;5576;5060;4112;2966;2300;1411;1025;614;382;257;173;180;258;347;522;756;1234;1868;2960;3414;3497;2834;2335;2208;1858;2015;2711;3558;4438;7089;9606;11473;12128;12214;10835;7556;6344;9127;18974;40896;50535;50418
