Altersgruppe;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13
Gesamt;27185;17360;12379;7441;6240;4768;3613;3204;2352;2342;4125;3213;2691;2427;3016;3928;4822;6057;7949;9591;8820;8620;9771;12296;13063;15932;26128;42089;74836;111099;125818;127869;128469;123291;128510;156531;174934;139232;123201;145488;119010;95585;78245;64672;50869;52517;56498;58514;71459;92782;116633;108738
90+;1243;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;885;1466;1725;2317;3073;3514;4186;5411;5980;5256;4977;5418;5039;3944;2882;1937;1303;1072;834;615;612;648;670;632
85 - 89;1425;925;681;326;263;179;127;85;51;51;47;33;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;576;1146;1786;2290;2829;3372;4096;4599;5927;6947;5861;5591;6080;5554;4454;3323;2580;1656;1466;1206;961;939;1116;1264;1171
80 - 84;1715;1181;822;452;300;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;470;857;1837;2839;3433;3807;4359;4782;5450;7090;8278;7439;6874;7668;6688;5328;4189;3150;2301;2003;1781;1552;1644;1806;2139;1894
75 - 79;1316;854;587;351;274;176;105;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;503;903;1626;2651;3052;3290;3386;3495;3978;4997;5949;5120;4644;5223;4322;3411;2827;2212;1698;1717;1583;1366;1439;1895;2226;2139
70 - 74;1049;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;151;259;265;349;587;934;1800;2881;3182;3299;3356;3197;3485;4390;5171;4453;4138;4826;3661;3064;2483;2064;1579;1597;1648;1560;1809;2385;2849;2840
65 - 69;1117;662;504;266;208;146;123;106;60;51;69;66;62;62;71;85;86;121;110;121;130;127;225;290;305;451;685;1284;2267;3553;4258;4015;4152;4142;4124;5177;6353;5591;4980;5719;4415;3626;3127;2535;1921;2047;2128;1997;2297;3199;3912;3877
60 - 64;1792;1086;674;405;332;240;175;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;492;542;681;1271;2120;3960;5996;6868;6915;7309;7001;7652;9437;11028;9184;8277;9265;7552;6234;5127;4221;3188;3256;3521;3428;4126;5308;6581;6297
55 - 59;2608;1567;1060;599;510;360;266;237;142;134;186;203;155;116;177;241;287;307;326;429;354;393;556;762;865;1109;1870;2998;5757;8971;10169;10304;10242;9881;10364;13057;15016;12379;11088;12330;10040;8343;7025;5813;4510;4606;4850;4643;5712;7277;9091;8866
50 - 54;2613;1559;993;605;520;376;251;241;150;146;317;268;186;173;208;294;350;417;473;560;538;552;670;897;995;1206;2270;3577;6419;9775;10962;11009;10838;10345;10562;13262;14927;11991;10527;12087;9800;8186;6685;5307;4312;4516;4749;4952;5909;7528;9367;8998
45 - 49;1917;1174;789;469;448;330;253;214;161;145;375;278;220;181;232;334;385;456;575;695;602;614;693;875;897;1200;2038;3128;5812;8384;9479;9296;9682;9061;9243;11104;12444;9730;8564;9790;7966;6470;5305;4490;3558;3776;4059;4297;5204;6522;8194;7886
40 - 44;1679;1024;698;456;404;357;244;211;176;157;453;273;215;190;251;321;429;489;639;715;660;647;687;844;860;1051;1869;2905;5301;7877;8882;8990;9236;8809;8828;10904;11995;9523;8032;9530;7565;6231;5121;4293;3473;3591;4147;4281;5351;6999;9129;8212
35 - 39;1651;981;765;463;421;353;276;240;156;194;384;299;226;204;251;358;383;515;643;759;715;649;701;902;1007;1153;1826;3105;5397;8083;8958;9193;9207;8712;9136;11003;12229;9527;8094;10135;8017;6339;5208;4473;3603;3734;4187;4589;5767;7635;9477;8808
30 - 34;1751;1205;909;562;488;394;319;270;206;224;412;332;258;259;298;383;423;515;700;945;858;939;939;1207;1300;1524;2359;3858;6715;9576;10491;10485;10088;9378;9485;11532;13019;10044;9198;11598;9057;7027;5781;4920;3904;4110;4551;4909;6031;7891;9892;9403
25 - 29;1934;1295;996;681;522;392;346;316;223;243;391;326;315;227;308;409;510;607;838;1195;1221;1158;1230;1483;1439;1746;2687;4481;7316;10337;11154;10699;9935;9007;9149;10801;12115;9437;8423;10803;8539;6401;5352;4488;3660;3904;4157;4276;5475;7026;8451;8285
20 - 24;1737;1231;962;595;507;419;315;289;229;249;379;260;258;237;300;378;521;745;1165;1544;1328;1251;1285;1518;1584;1742;2788;4384;7554;10424;11739;11035;10218;8945;9194;10794;12108;9076;8601;10890;8517;6444;5243;4385;3657;3966;4204;4406;5448;6915;8599;8435
15 - 19;855;571;403;263;260;182;152;160;160;111;240;169;138;150;191;247;364;542;742;880;834;770;831;1040;1045;1329;2067;2961;4859;7194;8410;8707;8205;7458;7727;8836;8470;5877;4955;6381;5407;4207;3475;2925;2379;2624;3076;3223;4109;5554;7187;6484
10 - 14;306;236;188;136;125;118;107;119;103;119;192;146;105;103;148;191;251;364;544;577;483;430;498;518;585;709;1142;1652;2739;4086;4771;5335;5303;5190;5160;5694;5287;3379;2648;3326;2724;2221;1878;1726;1412;1579;1885;2312;2873;4166;5732;4793
5 - 9;237;163;153;120;105;111;80;113;99;123;176;138;123;115;136;151;198;285;408;380;353;318;325;355;388;432;627;973;1832;2792;3363;3614;3918;3815;3682;4268;4311;3026;1939;2394;2205;1901;1644;1602;1390;1553;2008;2732;3674;4764;6691;5129
0 - 4;237;161;185;132;138;116;124;88;107;110;159;135;141;147;140;161;150;189;276;283;223;227;226;291;301;325;523;888;1456;2235;2415;2420;2379;2327;2306;2668;3113;2115;1531;1913;1861;1699;1534;1512;1347;1376;1889;2384;2999;4058;5030;4436
