Altersmedian/-mittelwert für Hospitalisierte, Patienten auf Intensivstation und Verstorbene von an das RKI übermittelten COVID-19-Fällen für die Meldewochen KW 10 – 53/2020 und KW 01 - 41/2021;;;;;;;;;;;;;;;
Stand: 20.10.2021 07:42:47;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Meldejahr;Meldewoche;Alle_Altersmedian;Hosp_Altersmedian;ITS_Altersmedian;Verstorben_Altersmedian;;;;Meldejahr;Meldewoche;Fälle gesamt;Alle_MW_Alter;Hosp_MW_Alter;ITS_MW_Alter;Verst_MW_Alter
2020;51;47;76;74;84;;;;2020;51;174705;46;69;71;82
2020;52;48;77;73;84;;;;2020;52;138953;48;70;71;82
2020;53;49;76;73;84;;;;2020;53;123073;49;70;70;82
2021;01;48;76;73;84;;;;2021;1;145439;48;70;71;82
2021;02;48;77;75;84;;;;2021;2;118894;48;70;72;83
2021;03;49;76;74;84;;;;2021;3;95517;48;71;72;82
2021;04;48;76;74;83;;;;2021;4;78127;48;70;70;82
2021;05;47;75;73;84;;;;2021;5;64556;46;69;70;81
2021;06;45;74;73;83;;;;2021;6;50808;45;68;70;81
2021;07;44;73;73;82;;;;2021;7;52387;44;67;69;80
2021;08;42;70;70;82;;;;2021;8;56349;42;66;67;79
2021;09;40;69;67.5;81;;;;2021;9;58370;40;64;66;78
2021;10;39;67;67;80;;;;2021;10;71309;39;63;65;77
2021;11;38;65;66;79;;;;2021;11;92579;39;62;65;76
2021;12;38;65;67;79;;;;2021;12;116267;38;61;64;76
2021;13;39;64;67;78;;;;2021;13;110099;39;61;64;75
2021;14;39;63;66;78;;;;2021;14;118261;39;60;64;75
2021;15;37;64;66;78;;;;2021;15;142059;38;60;64;75
2021;16;37;62;66;77;;;;2021;16;144757;37;60;63;74
2021;17;37;62;65;78;;;;2021;17;124791;37;59;63;75
2021;18;37;62;66;78;;;;2021;18;100984;37;59;64;75
2021;19;36;62;64;78;;;;2021;19;70821;37;59;62;75
2021;20;35;61;65;79;;;;2021;20;52690;36;58;63;76
2021;21;34;60;65;78;;;;2021;21;29868;35;58;61;76
2021;22;33;58;63;79;;;;2021;22;20671;34;57;63;75
2021;23;31;57;61;79;;;;2021;23;14027;33;55;59;74
2021;24;30;55;58;76;;;;2021;24;7265;32;53;57;73
