Altersgruppe;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12
Gesamt;36083;27181;17365;12375;7444;6239;4758;3621;3205;2352;2342;4125;3213;2691;2428;3015;3929;4817;6056;7949;9591;8821;8619;9773;12294;13063;15930;26126;42087;74828;111096;125805;127868;128476;123287;128502;156533;174930;139245;123184;145482;118986;95584;78253;64648;50865;52506;56480;58492;71416;92574;114770
90+;1171;1243;848;581;285;208;143;103;72;42;46;37;28;24;15;27;17;39;28;25;18;29;24;45;74;94;118;184;438;887;1466;1725;2316;3073;3514;4187;5411;5980;5259;4975;5417;5037;3944;2884;1937;1303;1071;834;616;616;649;667
85 - 89;1447;1425;925;681;327;263;179;127;85;51;51;47;33;28;20;24;34;41;40;56;23;33;25;85;103;121;165;306;575;1147;1785;2290;2830;3372;4097;4598;5929;6947;5867;5591;6080;5550;4454;3325;2579;1655;1465;1206;958;941;1111;1237
80 - 84;1966;1715;1181;822;452;300;246;153;112;76;62;62;51;49;36;38;51;90;69;81;64;50;60;133;195;212;316;470;857;1837;2839;3434;3806;4361;4782;5449;7090;8276;7438;6874;7668;6687;5327;4189;3149;2300;2001;1780;1551;1639;1804;2106
75 - 79;1788;1316;854;587;351;274;176;105;82;58;46;65;57;40;40;44;57;71;55;71;67;69;75;147;181;232;310;503;903;1626;2651;3053;3291;3387;3495;3978;4996;5949;5119;4645;5224;4319;3412;2826;2209;1699;1713;1582;1365;1437;1890;2183
70 - 74;1417;1049;631;424;275;207;129;93;80;47;40;58;40;37;56;62;63;89;91;79;96;92;106;151;259;265;349;587;934;1800;2881;3181;3297;3358;3197;3485;4391;5171;4453;4138;4825;3662;3065;2483;2064;1579;1597;1647;1560;1807;2380;2792
65 - 69;1692;1117;662;504;266;208;146;123;106;60;51;69;66;62;62;71;85;86;121;110;121;131;127;225;290;304;451;685;1284;2266;3551;4257;4015;4152;4141;4125;5177;6351;5591;4980;5715;4415;3627;3126;2535;1921;2047;2128;1998;2294;3188;3833
60 - 64;2780;1793;1086;674;405;332;240;175;167;106;91;122;107;111;93;110;152;152;204;192;237;244;248;338;492;542;681;1270;2119;3959;5996;6864;6914;7311;7001;7652;9437;11030;9186;8276;9264;7550;6234;5127;4219;3188;3256;3520;3427;4121;5295;6486
55 - 59;3668;2608;1567;1060;599;510;360;266;237;142;134;186;203;155;116;177;241;285;308;326;429;355;393;556;762;865;1109;1871;2999;5757;8969;10165;10301;10243;9879;10363;13059;15015;12378;11087;12330;10036;8345;7028;5813;4508;4603;4847;4640;5712;7256;8930
50 - 54;3697;2613;1560;992;605;520;375;252;241;150;146;317;268;186;173;208;294;350;417;473;560;538;552;670;897;995;1206;2269;3577;6418;9776;10963;11012;10838;10345;10561;13259;14926;11994;10525;12084;9795;8188;6686;5304;4311;4513;4746;4948;5903;7513;9223
45 - 49;2718;1917;1174;789;469;448;330;253;214;161;145;375;278;220;182;232;334;384;456;575;695;602;614;693;875;897;1199;2038;3128;5811;8388;9477;9296;9682;9060;9241;11104;12441;9731;8562;9789;7965;6468;5307;4489;3558;3777;4057;4296;5197;6503;8072
40 - 44;2307;1677;1026;698;456;404;356;245;211;176;157;453;273;215;190;251;321;428;489;639;715;661;647;687;844;861;1051;1867;2905;5302;7876;8879;8990;9235;8806;8827;10902;11997;9523;8031;9531;7563;6231;5124;4290;3473;3589;4146;4278;5345;6979;8977
35 - 39;2205;1651;982;764;464;421;353;276;240;156;194;384;299;226;205;251;358;383;514;644;759;715;649;701;902;1007;1153;1826;3107;5396;8085;8960;9190;9208;8711;9138;11003;12230;9527;8092;10134;8015;6338;5209;4471;3606;3732;4186;4588;5767;7616;9342
30 - 34;2420;1751;1204;909;562;488;391;321;270;206;224;412;332;258;259;297;384;423;514;700;945;856;939;940;1207;1301;1524;2361;3858;6714;9577;10491;10483;10088;9380;9485;11531;13017;10046;9195;11599;9053;7029;5779;4918;3901;4112;4546;4907;6031;7888;9750
25 - 29;2487;1933;1296;996;681;521;389;349;316;223;243;391;326;315;227;308;409;510;607;838;1195;1221;1158;1230;1483;1439;1746;2688;4481;7313;10337;11153;10700;9936;9007;9147;10803;12115;9437;8421;10799;8537;6401;5349;4485;3662;3900;4158;4277;5472;7007;8294
20 - 24;2245;1735;1232;961;595;507;418;315;289;229;249;379;260;258;237;300;378;521;745;1165;1544;1328;1250;1286;1517;1583;1742;2788;4384;7551;10422;11741;11035;10219;8944;9194;10795;12107;9076;8601;10886;8515;6439;5241;4384;3655;3965;4201;4402;5444;6900;8437
15 - 19;1077;855;571;402;264;260;183;152;161;160;111;240;169;138;150;191;247;363;542;742;880;834;770;831;1039;1045;1329;2067;2961;4859;7193;8409;8708;8204;7459;7726;8837;8470;5874;4953;6380;5409;4205;3474;2924;2379;2624;3076;3224;4103;5535;7061
10 - 14;430;306;236;188;136;125;117;108;119;103;119;192;146;105;102;148;191;251;364;543;577;483;430;498;518;585;708;1141;1653;2739;4084;4771;5336;5303;5190;5159;5693;5288;3377;2647;3323;2724;2222;1879;1726;1411;1579;1885;2312;2872;4150;5627
5 - 9;293;237;163;153;120;105;110;80;113;99;123;176;138;123;115;136;151;198;285;408;380;353;318;325;355;388;432;625;970;1832;2792;3361;3616;3917;3815;3681;4269;4311;3027;1939;2393;2206;1901;1643;1602;1390;1553;2008;2730;3675;4757;6595
0 - 4;272;237;161;185;132;138;116;124;88;107;110;159;135;141;147;140;161;150;189;276;283;223;227;226;291;301;325;524;886;1456;2235;2414;2421;2378;2327;2306;2668;3113;2117;1532;1913;1862;1701;1535;1512;1347;1376;1890;2384;2995;4046;4961
