Altersgruppe;2020_10;2020_11;2020_12;2020_13;2020_14;2020_15;2020_16;2020_17;2020_18;2020_19;2020_20;2020_21;2020_22;2020_23;2020_24;2020_25;2020_26;2020_27;2020_28;2020_29;2020_30;2020_31;2020_32;2020_33;2020_34;2020_35;2020_36;2020_37;2020_38;2020_39;2020_40;2020_41;2020_42;2020_43;2020_44;2020_45;2020_46;2020_47;2020_48;2020_49;2020_50;2020_51;2020_52;2020_53;2021_1;2021_2;2021_3;2021_4;2021_5;2021_6;2021_7;2021_8;2021_9;2021_10;2021_11;2021_12;2021_13;2021_14;2021_15;2021_16;2021_17;2021_18;2021_19;2021_20;2021_21;2021_22;2021_23;2021_24;2021_25;2021_26;2021_27;2021_28;2021_29;2021_30;2021_31;2021_32;2021_33;2021_34;2021_35;2021_36;2021_37;2021_38;2021_39;2021_40;2021_41;2021_42;2021_43;2021_44;2021_45;2021_46;2021_47;2021_48;2021_49;2021_50;2021_51;2021_52
45 - 49;99;748;2098;2916;2710;1915;1172;785;469;448;332;255;214;162;144;384;269;217;182;233;334;386;456;575;693;606;613;694;877;897;1202;2037;3122;5820;8400;9478;9287;9674;9056;9238;11094;12446;9741;8556;9792;7957;6490;5301;4488;3552;3774;4045;4292;5188;6516;8162;7998;8770;10166;10667;9026;7444;5077;3584;2079;1307;873;471;274;260;333;437;689;910;1179;1953;3105;4117;4629;4541;3790;3337;3499;3814;4336;6602;9036;12134;18113;23472;27117;26226;22130;17272;12069;13011
40 - 44;85;566;1798;2322;2309;1675;1019;699;454;404;357;240;213;175;158;461;266;216;188;251;321;433;489;639;718;659;647;685;843;863;1053;1870;2903;5308;7880;8879;8995;9244;8808;8818;10902;11991;9507;8036;9551;7555;6230;5121;4275;3463;3591;4133;4275;5347;6982;9087;8326;9280;10727;10826;9573;7731;5332;3978;2204;1597;1076;530;355;272;345;508;733;991;1445;2355;3758;5188;5694;5427;4457;3910;4202;4394;5043;7605;10602;13865;21113;27955;33173;32496;27849;22312;15482;16269
35 - 39;67;548;1752;2384;2204;1648;982;761;465;423;351;274;242;156;194;388;296;224;203;253;359;383;514;642;760;716;645;699;906;1008;1153;1824;3100;5388;8080;8955;9193;9195;8717;9145;10990;12229;9523;8078;10147;8007;6342;5198;4461;3592;3708;4182;4574;5762;7586;9462;8984;9483;11268;11275;10015;7967;5619;4222;2413;1692;1101;546;365;339;381;647;908;1168;1596;2445;3770;5268;6003;5803;4823;4245;4543;4720;5350;7646;10569;14178;21173;28118;33605;33334;29339;24080;17267;18356
30 - 34;69;536;2048;2635;2420;1742;1206;901;563;486;394;316;269;207;223;420;324;259;259;300;382;423;516;709;946;859;937;940;1208;1301;1522;2360;3857;6712;9570;10474;10484;10082;9361;9471;11527;13022;10045;9200;11604;9042;7017;5760;4909;3906;4112;4526;4892;6018;7893;9867;9510;10139;12013;11855;10454;8273;5867;4534;2744;1751;1184;633;418;428;584;870;1307;1511;2080;3052;4385;5984;6583;6230;5104;4606;4774;4806;5362;8040;10764;13936;20286;26831;30924;30029;26947;22166;16949;19705
25 - 29;76;549;1995;2689;2484;1935;1285;996;681;522;390;346;314;222;242;399;321;314;229;309;410;510;604;839;1194;1222;1162;1226;1480;1436;1747;2685;4469;7323;10344;11148;10683;9917;8996;9144;10777;12106;9427;8427;10773;8536;6392;5335;4485;3659;3909;4151;4263;5468;7013;8400;8377;9214;10903;10793;9217;7451;5175;3947;2457;1598;1108;620;463;495;789;1331;1735;1952;2405;3595;5029;6326;6294;6067;4896;4114;4247;4292;4916;7239;9382;11972;17205;21493;23004;22202;19429;16324;13768;18911
20 - 24;70;321;1446;2269;2240;1727;1227;958;592;507;419;313;288;227;251;383;254;256;234;300;377;522;747;1159;1543;1329;1246;1284;1515;1584;1735;2792;4387;7566;10411;11726;11023;10199;8937;9178;10790;12094;9071;8587;10888;8538;6434;5240;4377;3664;3946;4198;4401;5422;6902;8551;8508;9801;11548;11266;9617;7831;5589;4179;2414;1736;1202;626;439;553;884;1504;2090;2329;2794;4427;5792;6886;6834;6223;4962;4125;4089;4157;4959;7247;9387;11862;17046;20451;22341;21119;18086;15527;13142;19567
15 - 19;44;181;537;934;1074;859;570;403;264;259;184;152;160;161;112;247;165;138;149;193;246;365;544;740;883;836;768;829;1040;1046;1330;2070;2957;4863;7188;8411;8715;8213;7461;7715;8820;8476;5878;4956;6380;5389;4200;3471;2918;2378;2619;3072;3210;4106;5538;7184;6609;7551;10817;10337;8657;7052;4937;3883;2239;1720;1232;682;445;414;581;1288;1614;1844;2371;3509;5572;6980;7781;6856;5648;4628;4580;4550;4896;6959;9841;11774;18438;21817;25096;24247;20450;16858;12029;14395
10 - 14;19;101;253;380;430;303;234;188;136;126;117;107;120;104;119;192;146;105;102;146;191;252;365;545;576;482;434;498;517;587;712;1142;1654;2743;4084;4782;5356;5301;5188;5155;5689;5287;3388;2656;3331;2714;2231;1880;1727;1409;1572;1877;2311;2870;4182;5730;4851;5179;7657;8736;7173;6126;4566;3762;2164;1582;1322;666;452;313;297;534;783;1005;1491;2609;5364;6925;8415;7741;7321;6291;6666;6510;6849;8979;13428;15536;27365;35186;40307;38408;33951;27938;18362;14098
5 - 9 ;10;56;169;249;292;237;163;155;120;105;111;79;112;99;123;177;138;121;115;137;152;198;285;410;380;353;318;325;356;390;433;621;973;1843;2793;3365;3620;3924;3828;3689;4265;4314;3025;1949;2392;2195;1904;1643;1602;1391;1551;2004;2729;3680;4762;6699;5194;4700;6997;8419;6872;5570;4114;3414;1877;1528;1146;567;349;242;208;325;479;728;1153;1842;3722;5599;7008;6597;5888;5287;5353;5093;5119;7427;11125;13301;24237;32161;36612;36334;33851;28505;19212;13112
0 - 4;9;35;143;254;270;237;158;186;133;138;116;122;87;107;110;159;136;143;147;141;162;150;188;276;284;222;227;226;290;298;327;523;890;1456;2227;2414;2412;2383;2315;2304;2661;3094;2106;1526;1900;1854;1695;1528;1512;1347;1377;1886;2371;2992;4049;5023;4466;4025;5087;5574;5059;4111;2963;2298;1410;1024;614;381;257;173;180;258;347;522;756;1234;1868;2958;3414;3496;2835;2332;2204;1856;2015;2710;3555;4439;7088;9600;11472;12118;12212;10827;7554;6305
