publication	date	deaths
2020-05-11	2020-03-20	39
2020-05-11	2020-03-21	24
2020-05-11	2020-03-22	41
2020-05-11	2020-03-23	41
2020-05-11	2020-03-24	66
2020-05-11	2020-03-25	75
2020-05-11	2020-03-26	90
2020-05-11	2020-03-27	102
2020-05-11	2020-03-28	108
2020-05-11	2020-03-29	115
2020-05-11	2020-03-30	170
2020-05-11	2020-03-31	157
2020-05-11	2020-04-01	161
2020-05-11	2020-04-02	201
2020-05-11	2020-04-03	192
2020-05-11	2020-04-04	219
2020-05-11	2020-04-05	232
2020-05-11	2020-04-06	237
2020-05-11	2020-04-07	245
2020-05-11	2020-04-08	245
2020-05-11	2020-04-09	245
2020-05-11	2020-04-10	233
2020-05-11	2020-04-11	232
2020-05-11	2020-04-12	221
2020-05-11	2020-04-13	232
2020-05-11	2020-04-14	237
2020-05-11	2020-04-15	219
2020-05-11	2020-04-16	224
2020-05-11	2020-04-17	224
2020-05-11	2020-04-18	175
2020-05-11	2020-04-19	196
2020-05-11	2020-04-20	201
2020-05-11	2020-04-21	161
2020-05-11	2020-04-22	183
2020-05-11	2020-04-23	142
2020-05-11	2020-04-24	152
2020-05-11	2020-04-25	119
2020-05-11	2020-04-26	131
2020-05-11	2020-04-27	118
2020-05-11	2020-04-28	108
2020-05-11	2020-04-29	109
2020-05-11	2020-04-30	105
2020-05-11	2020-05-01	87
2020-05-11	2020-05-02	64
2020-05-11	2020-05-03	79
2020-05-11	2020-05-04	71
2020-05-11	2020-05-05	75
2020-05-11	2020-05-06	57
2020-05-11	2020-05-07	34
2020-05-11	2020-05-08	27
2020-05-11	2020-05-09	6
2020-05-11	2020-05-10	4
2020-05-12	2020-03-07	0
2020-05-12	2020-03-08	1
2020-05-12	2020-03-09	3
2020-05-12	2020-03-10	1
2020-05-12	2020-03-11	1
2020-05-12	2020-03-12	4
2020-05-12	2020-03-13	2
2020-05-12	2020-03-14	3
2020-05-12	2020-03-15	4
2020-05-12	2020-03-16	11
2020-05-12	2020-03-17	12
2020-05-12	2020-03-18	12
2020-05-12	2020-03-19	21
2020-05-12	2020-03-20	39
2020-05-12	2020-03-21	24
2020-05-12	2020-03-22	40
2020-05-12	2020-03-23	41
2020-05-12	2020-03-24	65
2020-05-12	2020-03-25	74
2020-05-12	2020-03-26	89
2020-05-12	2020-03-27	101
2020-05-12	2020-03-28	107
2020-05-12	2020-03-29	116
2020-05-12	2020-03-30	170
2020-05-12	2020-03-31	158
2020-05-12	2020-04-01	160
2020-05-12	2020-04-02	201
2020-05-12	2020-04-03	192
2020-05-12	2020-04-04	220
2020-05-12	2020-04-05	232
2020-05-12	2020-04-06	239
2020-05-12	2020-04-07	245
2020-05-12	2020-04-08	245
2020-05-12	2020-04-09	245
2020-05-12	2020-04-10	232
2020-05-12	2020-04-11	233
2020-05-12	2020-04-12	224
2020-05-12	2020-04-13	234
2020-05-12	2020-04-14	237
2020-05-12	2020-04-15	219
2020-05-12	2020-04-16	225
2020-05-12	2020-04-17	224
2020-05-12	2020-04-18	175
2020-05-12	2020-04-19	197
2020-05-12	2020-04-20	201
2020-05-12	2020-04-21	162
2020-05-12	2020-04-22	183
2020-05-12	2020-04-23	142
2020-05-12	2020-04-24	154
2020-05-12	2020-04-25	119
2020-05-12	2020-04-26	133
2020-05-12	2020-04-27	118
2020-05-12	2020-04-28	108
2020-05-12	2020-04-29	110
2020-05-12	2020-04-30	106
2020-05-12	2020-05-01	88
2020-05-12	2020-05-02	66
2020-05-12	2020-05-03	80
2020-05-12	2020-05-04	73
2020-05-12	2020-05-05	76
2020-05-12	2020-05-06	60
2020-05-12	2020-05-07	44
2020-05-12	2020-05-08	39
2020-05-12	2020-05-09	33
2020-05-12	2020-05-10	26
2020-05-12	2020-05-11	11
2020-05-13	2020-03-07	0
2020-05-13	2020-03-08	1
2020-05-13	2020-03-09	3
2020-05-13	2020-03-10	1
2020-05-13	2020-03-11	1
2020-05-13	2020-03-12	4
2020-05-13	2020-03-13	2
2020-05-13	2020-03-14	3
2020-05-13	2020-03-15	4
2020-05-13	2020-03-16	11
2020-05-13	2020-03-17	12
2020-05-13	2020-03-18	12
2020-05-13	2020-03-19	21
2020-05-13	2020-03-20	39
2020-05-13	2020-03-21	24
2020-05-13	2020-03-22	40
2020-05-13	2020-03-23	40
2020-05-13	2020-03-24	65
2020-05-13	2020-03-25	74
2020-05-13	2020-03-26	90
2020-05-13	2020-03-27	101
2020-05-13	2020-03-28	107
2020-05-13	2020-03-29	115
2020-05-13	2020-03-30	171
2020-05-13	2020-03-31	160
2020-05-13	2020-04-01	160
2020-05-13	2020-04-02	199
2020-05-13	2020-04-03	195
2020-05-13	2020-04-04	220
2020-05-13	2020-04-05	232
2020-05-13	2020-04-06	238
2020-05-13	2020-04-07	245
2020-05-13	2020-04-08	245
2020-05-13	2020-04-09	245
2020-05-13	2020-04-10	232
2020-05-13	2020-04-11	235
2020-05-13	2020-04-12	225
2020-05-13	2020-04-13	236
2020-05-13	2020-04-14	239
2020-05-13	2020-04-15	219
2020-05-13	2020-04-16	226
2020-05-13	2020-04-17	225
2020-05-13	2020-04-18	175
2020-05-13	2020-04-19	199
2020-05-13	2020-04-20	202
2020-05-13	2020-04-21	162
2020-05-13	2020-04-22	184
2020-05-13	2020-04-23	144
2020-05-13	2020-04-24	154
2020-05-13	2020-04-25	120
2020-05-13	2020-04-26	133
2020-05-13	2020-04-27	118
2020-05-13	2020-04-28	111
2020-05-13	2020-04-29	113
2020-05-13	2020-04-30	109
2020-05-13	2020-05-01	91
2020-05-13	2020-05-02	67
2020-05-13	2020-05-03	81
2020-05-13	2020-05-04	74
2020-05-13	2020-05-05	80
2020-05-13	2020-05-06	65
2020-05-13	2020-05-07	46
2020-05-13	2020-05-08	48
2020-05-13	2020-05-09	39
2020-05-13	2020-05-10	46
2020-05-13	2020-05-11	30
2020-05-13	2020-05-12	5
2020-05-14	2020-03-07	0
2020-05-14	2020-03-08	1
2020-05-14	2020-03-09	3
2020-05-14	2020-03-10	1
2020-05-14	2020-03-11	1
2020-05-14	2020-03-12	4
2020-05-14	2020-03-13	2
2020-05-14	2020-03-14	3
2020-05-14	2020-03-15	4
2020-05-14	2020-03-16	11
2020-05-14	2020-03-17	12
2020-05-14	2020-03-18	12
2020-05-14	2020-03-19	21
2020-05-14	2020-03-20	39
2020-05-14	2020-03-21	24
2020-05-14	2020-03-22	40
2020-05-14	2020-03-23	40
2020-05-14	2020-03-24	65
2020-05-14	2020-03-25	74
2020-05-14	2020-03-26	89
2020-05-14	2020-03-27	101
2020-05-14	2020-03-28	107
2020-05-14	2020-03-29	115
2020-05-14	2020-03-30	169
2020-05-14	2020-03-31	162
2020-05-14	2020-04-01	161
2020-05-14	2020-04-02	198
2020-05-14	2020-04-03	195
2020-05-14	2020-04-04	220
2020-05-14	2020-04-05	232
2020-05-14	2020-04-06	239
2020-05-14	2020-04-07	244
2020-05-14	2020-04-08	244
2020-05-14	2020-04-09	245
2020-05-14	2020-04-10	232
2020-05-14	2020-04-11	235
2020-05-14	2020-04-12	228
2020-05-14	2020-04-13	236
2020-05-14	2020-04-14	240
2020-05-14	2020-04-15	219
2020-05-14	2020-04-16	226
2020-05-14	2020-04-17	226
2020-05-14	2020-04-18	176
2020-05-14	2020-04-19	200
2020-05-14	2020-04-20	201
2020-05-14	2020-04-21	164
2020-05-14	2020-04-22	185
2020-05-14	2020-04-23	145
2020-05-14	2020-04-24	155
2020-05-14	2020-04-25	120
2020-05-14	2020-04-26	134
2020-05-14	2020-04-27	118
2020-05-14	2020-04-28	113
2020-05-14	2020-04-29	117
2020-05-14	2020-04-30	111
2020-05-14	2020-05-01	95
2020-05-14	2020-05-02	70
2020-05-14	2020-05-03	84
2020-05-14	2020-05-04	76
2020-05-14	2020-05-05	82
2020-05-14	2020-05-06	67
2020-05-14	2020-05-07	48
2020-05-14	2020-05-08	49
2020-05-14	2020-05-09	43
2020-05-14	2020-05-10	52
2020-05-14	2020-05-11	48
2020-05-14	2020-05-12	18
2020-05-14	2020-05-13	4
2020-05-15	2020-03-07	0
2020-05-15	2020-03-08	1
2020-05-15	2020-03-09	2
2020-05-15	2020-03-10	1
2020-05-15	2020-03-11	1
2020-05-15	2020-03-12	4
2020-05-15	2020-03-13	2
2020-05-15	2020-03-14	3
2020-05-15	2020-03-15	4
2020-05-15	2020-03-16	11
2020-05-15	2020-03-17	12
2020-05-15	2020-03-18	12
2020-05-15	2020-03-19	21
2020-05-15	2020-03-20	39
2020-05-15	2020-03-21	24
2020-05-15	2020-03-22	40
2020-05-15	2020-03-23	40
2020-05-15	2020-03-24	65
2020-05-15	2020-03-25	74
2020-05-15	2020-03-26	90
2020-05-15	2020-03-27	102
2020-05-15	2020-03-28	107
2020-05-15	2020-03-29	115
2020-05-15	2020-03-30	170
2020-05-15	2020-03-31	162
2020-05-15	2020-04-01	163
2020-05-15	2020-04-02	199
2020-05-15	2020-04-03	195
2020-05-15	2020-04-04	220
2020-05-15	2020-04-05	233
2020-05-15	2020-04-06	237
2020-05-15	2020-04-07	246
2020-05-15	2020-04-08	249
2020-05-15	2020-04-09	248
2020-05-15	2020-04-10	233
2020-05-15	2020-04-11	236
2020-05-15	2020-04-12	229
2020-05-15	2020-04-13	235
2020-05-15	2020-04-14	241
2020-05-15	2020-04-15	219
2020-05-15	2020-04-16	229
2020-05-15	2020-04-17	227
2020-05-15	2020-04-18	178
2020-05-15	2020-04-19	201
2020-05-15	2020-04-20	203
2020-05-15	2020-04-21	166
2020-05-15	2020-04-22	187
2020-05-15	2020-04-23	145
2020-05-15	2020-04-24	155
2020-05-15	2020-04-25	121
2020-05-15	2020-04-26	136
2020-05-15	2020-04-27	118
2020-05-15	2020-04-28	118
2020-05-15	2020-04-29	122
2020-05-15	2020-04-30	114
2020-05-15	2020-05-01	97
2020-05-15	2020-05-02	73
2020-05-15	2020-05-03	85
2020-05-15	2020-05-04	74
2020-05-15	2020-05-05	82
2020-05-15	2020-05-06	69
2020-05-15	2020-05-07	50
2020-05-15	2020-05-08	50
2020-05-15	2020-05-09	45
2020-05-15	2020-05-10	55
2020-05-15	2020-05-11	53
2020-05-15	2020-05-12	30
2020-05-15	2020-05-13	23
2020-05-15	2020-05-14	9
2020-05-16	2020-03-07	0
2020-05-16	2020-03-08	1
2020-05-16	2020-03-09	2
2020-05-16	2020-03-10	1
2020-05-16	2020-03-11	1
2020-05-16	2020-03-12	4
2020-05-16	2020-03-13	2
2020-05-16	2020-03-14	2
2020-05-16	2020-03-15	4
2020-05-16	2020-03-16	10
2020-05-16	2020-03-17	12
2020-05-16	2020-03-18	12
2020-05-16	2020-03-19	20
2020-05-16	2020-03-20	38
2020-05-16	2020-03-21	24
2020-05-16	2020-03-22	40
2020-05-16	2020-03-23	39
2020-05-16	2020-03-24	65
2020-05-16	2020-03-25	75
2020-05-16	2020-03-26	89
2020-05-16	2020-03-27	102
2020-05-16	2020-03-28	107
2020-05-16	2020-03-29	114
2020-05-16	2020-03-30	170
2020-05-16	2020-03-31	162
2020-05-16	2020-04-01	163
2020-05-16	2020-04-02	199
2020-05-16	2020-04-03	195
2020-05-16	2020-04-04	221
2020-05-16	2020-04-05	233
2020-05-16	2020-04-06	239
2020-05-16	2020-04-07	246
2020-05-16	2020-04-08	251
2020-05-16	2020-04-09	251
2020-05-16	2020-04-10	233
2020-05-16	2020-04-11	238
2020-05-16	2020-04-12	229
