Altersgruppe;"Anzahl Fälle";Meldewoche;Jahr
40-49;1038;48;2020
40-49;916;49;2020
40-49;1114;50;2020
40-49;1300;51;2020
40-49;998;52;2020
40-49;964;53;2020
40-49;1269;1;2021
40-49;1025;2;2021
40-49;906;3;2021
40-49;811;4;2021
40-49;733;5;2021
40-49;735;6;2021
40-49;806;7;2021
40-49;780;8;2021
40-49;747;9;2021
40-49;964;10;2021
40-49;1091;11;2021
40-49;1388;12;2021
40-49;1276;13;2021
40-49;1298;14;2021
40-49;1506;15;2021
40-49;664;16;2021
50-59;0;9;2020
50-59;8;10;2020
50-59;137;11;2020
50-59;357;12;2020
50-59;512;13;2020
50-59;438;14;2020
50-59;322;15;2020
50-59;219;16;2020
50-59;135;17;2020
50-59;68;18;2020
50-59;88;19;2020
50-59;36;20;2020
50-59;56;21;2020
50-59;78;22;2020
50-59;52;23;2020
50-59;42;24;2020
50-59;36;25;2020
50-59;32;26;2020
50-59;22;27;2020
50-59;15;28;2020
50-59;30;29;2020
50-59;26;30;2020
50-59;51;31;2020
50-59;60;32;2020
50-59;55;33;2020
50-59;61;34;2020
50-59;55;35;2020
50-59;57;36;2020
50-59;80;37;2020
50-59;132;38;2020
50-59;128;39;2020
50-59;225;40;2020
50-59;361;41;2020
50-59;500;42;2020
50-59;786;43;2020
50-59;1283;44;2020
50-59;1429;45;2020
50-59;1372;46;2020
50-59;1280;47;2020
50-59;1118;48;2020
50-59;1038;49;2020
50-59;1243;50;2020
50-59;1434;51;2020
50-59;1377;52;2020
50-59;1271;53;2020
50-59;1546;1;2021
50-59;1311;2;2021
50-59;1145;3;2021
50-59;1021;4;2021
50-59;914;5;2021
50-59;897;6;2021
50-59;954;7;2021
50-59;939;8;2021
50-59;818;9;2021
50-59;956;10;2021
50-59;1229;11;2021
50-59;1477;12;2021
50-59;1286;13;2021
50-59;1308;14;2021
50-59;1374;15;2021
50-59;672;16;2021
60-69;1;9;2020
60-69;7;10;2020
60-69;51;11;2020
60-69;185;12;2020
60-69;295;13;2020
60-69;258;14;2020
60-69;202;15;2020
60-69;116;16;2020
60-69;86;17;2020
60-69;49;18;2020
60-69;42;19;2020
60-69;29;20;2020
60-69;31;21;2020
60-69;23;22;2020
60-69;30;23;2020
60-69;15;24;2020
60-69;13;25;2020
60-69;14;26;2020
60-69;10;27;2020
60-69;5;28;2020
60-69;11;29;2020
60-69;16;30;2020
60-69;12;31;2020
60-69;24;32;2020
60-69;22;33;2020
60-69;27;34;2020
60-69;30;35;2020
60-69;24;36;2020
60-69;39;37;2020
60-69;57;38;2020
60-69;73;39;2020
60-69;84;40;2020
60-69;153;41;2020
60-69;257;42;2020
60-69;397;43;2020
60-69;652;44;2020
60-69;715;45;2020
60-69;711;46;2020
60-69;749;47;2020
60-69;663;48;2020
60-69;523;49;2020
60-69;647;50;2020
60-69;795;51;2020
60-69;690;52;2020
60-69;760;53;2020
60-69;864;1;2021
60-69;744;2;2021
60-69;679;3;2021
60-69;593;4;2021
60-69;515;5;2021
60-69;500;6;2021
60-69;518;7;2021
60-69;484;8;2021
60-69;484;9;2021
60-69;533;10;2021
60-69;631;11;2021
60-69;796;12;2021
60-69;677;13;2021
60-69;715;14;2021
60-69;755;15;2021
60-69;316;16;2021
70-79;0;9;2020
70-79;1;10;2020
70-79;18;11;2020
70-79;80;12;2020
70-79;159;13;2020
70-79;206;14;2020
70-79;169;15;2020
70-79;104;16;2020
70-79;65;17;2020
70-79;35;18;2020
70-79;40;19;2020
70-79;17;20;2020
70-79;12;21;2020
70-79;6;22;2020
70-79;10;23;2020
70-79;6;24;2020
