Altersgruppe;Meldewoche;"Anzahl Fälle";Jahr
0-9;9;0;2020
0-9;10;1;2020
0-9;11;2;2020
0-9;12;16;2020
0-9;13;20;2020
0-9;14;33;2020
0-9;15;32;2020
0-9;16;18;2020
0-9;17;21;2020
0-9;18;9;2020
0-9;19;18;2020
0-9;20;17;2020
0-9;21;22;2020
0-9;22;22;2020
0-9;23;68;2020
0-9;24;44;2020
0-9;25;56;2020
0-9;26;23;2020
0-9;27;24;2020
0-9;28;4;2020
0-9;29;20;2020
0-9;30;14;2020
0-9;31;18;2020
0-9;32;31;2020
0-9;33;34;2020
0-9;34;65;2020
0-9;35;52;2020
0-9;36;51;2020
0-9;37;44;2020
0-9;38;59;2020
0-9;39;50;2020
0-9;40;62;2020
0-9;41;91;2020
0-9;42;147;2020
0-9;43;209;2020
0-9;44;391;2020
0-9;45;532;2020
0-9;46;530;2020
0-9;47;494;2020
0-9;48;415;2020
0-9;49;368;2020
0-9;50;451;2020
0-9;51;492;2020
0-9;52;372;2020
0-9;53;254;2020
0-9;1;396;2021
0-9;2;422;2021
0-9;3;74;2021
10-19;9;0;2020
10-19;10;0;2020
10-19;11;6;2020
10-19;12;55;2020
10-19;13;94;2020
10-19;14;98;2020
10-19;15;83;2020
10-19;16;48;2020
10-19;17;44;2020
10-19;18;22;2020
10-19;19;22;2020
10-19;20;19;2020
10-19;21;21;2020
10-19;22;57;2020
10-19;23;92;2020
10-19;24;55;2020
10-19;25;67;2020
10-19;26;31;2020
10-19;27;29;2020
10-19;28;10;2020
10-19;29;25;2020
10-19;30;24;2020
10-19;31;47;2020
10-19;32;70;2020
10-19;33;68;2020
10-19;34;96;2020
10-19;35;117;2020
10-19;36;77;2020
10-19;37;97;2020
10-19;38;179;2020
10-19;39;177;2020
10-19;40;174;2020
10-19;41;234;2020
10-19;42;344;2020
10-19;43;485;2020
10-19;44;894;2020
10-19;45;1140;2020
10-19;46;1072;2020
10-19;47;999;2020
10-19;48;795;2020
10-19;49;723;2020
10-19;50;836;2020
10-19;51;850;2020
10-19;52;628;2020
10-19;53;577;2020
10-19;1;793;2021
10-19;2;759;2021
10-19;3;138;2021
20-29;9;0;2020
20-29;10;4;2020
20-29;11;50;2020
20-29;12;193;2020
20-29;13;309;2020
20-29;14;272;2020
20-29;15;256;2020
20-29;16;158;2020
20-29;17;139;2020
20-29;18;71;2020
20-29;19;78;2020
20-29;20;38;2020
20-29;21;78;2020
20-29;22;107;2020
20-29;23;115;2020
20-29;24;76;2020
20-29;25;75;2020
20-29;26;42;2020
20-29;27;25;2020
20-29;28;20;2020
20-29;29;49;2020
20-29;30;66;2020
20-29;31;93;2020
20-29;32;103;2020
20-29;33;128;2020
20-29;34;175;2020
20-29;35;142;2020
20-29;36;154;2020
20-29;37;179;2020
20-29;38;240;2020
20-29;39;212;2020
20-29;40;261;2020
20-29;41;370;2020
20-29;42;675;2020
20-29;43;1009;2020
20-29;44;1515;2020
20-29;45;1673;2020
20-29;46;1518;2020
20-29;47;1430;2020
20-29;48;1129;2020
20-29;49;1102;2020
20-29;50;1372;2020
20-29;51;1513;2020
20-29;52;1321;2020
20-29;53;1229;2020
20-29;1;1716;2021
20-29;2;1327;2021
20-29;3;289;2021
30-39;9;0;2020
30-39;10;8;2020
30-39;11;55;2020
30-39;12;215;2020
30-39;13;313;2020
30-39;14;274;2020
30-39;15;212;2020
30-39;16;140;2020
30-39;17;110;2020
30-39;18;61;2020
30-39;19;57;2020
30-39;20;51;2020
30-39;21;86;2020
30-39;22;86;2020
30-39;23;62;2020
30-39;24;58;2020
30-39;25;47;2020
30-39;26;40;2020
30-39;27;29;2020
30-39;28;14;2020
30-39;29;56;2020
30-39;30;42;2020
30-39;31;53;2020
30-39;32;75;2020
30-39;33;99;2020
30-39;34;121;2020
30-39;35;103;2020
30-39;36;93;2020
30-39;37;98;2020
30-39;38;144;2020
30-39;39;158;2020
30-39;40;199;2020
30-39;41;332;2020
30-39;42;483;2020
30-39;43;724;2020
30-39;44;1165;2020
30-39;45;1310;2020
30-39;46;1213;2020
30-39;47;1173;2020
30-39;48;1007;2020
30-39;49;986;2020
30-39;50;1125;2020
30-39;51;1354;2020
30-39;52;1153;2020
30-39;53;1092;2020
30-39;1;1396;2021
30-39;2;1068;2021
30-39;3;237;2021
40-49;9;0;2020
40-49;10;8;2020
40-49;11;89;2020
40-49;12;266;2020
40-49;13;317;2020
40-49;14;287;2020
40-49;15;217;2020
40-49;16;136;2020
40-49;17;77;2020
40-49;18;48;2020
40-49;19;63;2020
40-49;20;45;2020
40-49;21;83;2020
40-49;22;59;2020
40-49;23;67;2020
40-49;24;46;2020
40-49;25;41;2020
40-49;26;46;2020
40-49;27;34;2020
40-49;28;18;2020
40-49;29;39;2020
40-49;30;49;2020
40-49;31;52;2020
40-49;32;59;2020
40-49;33;75;2020
40-49;34;102;2020
40-49;35;109;2020
40-49;36;78;2020
40-49;37;87;2020
40-49;38;160;2020
40-49;39;138;2020
40-49;40;202;2020
40-49;41;323;2020
40-49;42;414;2020
40-49;43;704;2020
40-49;44;1075;2020
40-49;45;1218;2020
40-49;46;1206;2020
40-49;47;1271;2020
40-49;48;1034;2020
40-49;49;913;2020
40-49;50;1110;2020
40-49;51;1301;2020
40-49;52;993;2020
40-49;53;963;2020
40-49;1;1272;2021
40-49;2;1025;2021
40-49;3;237;2021
50-59;9;0;2020
50-59;10;8;2020
50-59;11;137;2020
50-59;12;356;2020
50-59;13;512;2020
50-59;14;438;2020
50-59;15;322;2020
50-59;16;219;2020
50-59;17;135;2020
50-59;18;68;2020
50-59;19;88;2020
50-59;20;36;2020
50-59;21;56;2020
50-59;22;78;2020
50-59;23;52;2020
50-59;24;42;2020
50-59;25;36;2020
50-59;26;32;2020
50-59;27;22;2020
50-59;28;15;2020
50-59;29;30;2020
50-59;30;26;2020
50-59;31;51;2020
50-59;32;59;2020
50-59;33;55;2020
50-59;34;61;2020
50-59;35;55;2020
50-59;36;57;2020
50-59;37;79;2020
50-59;38;132;2020
50-59;39;129;2020
50-59;40;225;2020
50-59;41;361;2020
50-59;42;500;2020
50-59;43;786;2020
50-59;44;1280;2020
50-59;45;1426;2020
50-59;46;1376;2020
50-59;47;1282;2020
50-59;48;1120;2020
50-59;49;1037;2020
50-59;50;1242;2020
50-59;51;1430;2020
50-59;52;1374;2020
50-59;53;1270;2020
50-59;1;1540;2021
50-59;2;1298;2021
50-59;3;314;2021
60-69;9;1;2020
60-69;10;7;2020
60-69;11;51;2020
60-69;12;186;2020
60-69;13;295;2020
60-69;14;258;2020
60-69;15;203;2020
60-69;16;116;2020
60-69;17;86;2020
60-69;18;49;2020
60-69;19;42;2020
60-69;20;29;2020
60-69;21;31;2020
60-69;22;23;2020
60-69;23;30;2020
60-69;24;15;2020
60-69;25;13;2020
60-69;26;14;2020
60-69;27;10;2020
60-69;28;5;2020
60-69;29;11;2020
60-69;30;16;2020
60-69;31;12;2020
60-69;32;24;2020
60-69;33;22;2020
60-69;34;27;2020
60-69;35;30;2020
60-69;36;24;2020
60-69;37;39;2020
60-69;38;57;2020
60-69;39;73;2020
60-69;40;84;2020
60-69;41;152;2020
60-69;42;257;2020
60-69;43;396;2020
60-69;44;652;2020
60-69;45;716;2020
60-69;46;710;2020
60-69;47;747;2020
60-69;48;663;2020
60-69;49;523;2020
60-69;50;648;2020
60-69;51;795;2020
60-69;52;689;2020
60-69;53;754;2020
60-69;1;864;2021
60-69;2;741;2021
60-69;3;186;2021
70-79;9;0;2020
70-79;10;1;2020
70-79;11;18;2020
70-79;12;80;2020
70-79;13;159;2020
70-79;14;206;2020
70-79;15;169;2020
70-79;16;104;2020
70-79;17;65;2020
70-79;18;35;2020
70-79;19;40;2020
70-79;20;17;2020
70-79;21;12;2020
70-79;22;6;2020
70-79;23;10;2020
70-79;24;6;2020
70-79;25;9;2020
70-79;26;4;2020
70-79;27;1;2020
70-79;28;1;2020
70-79;29;1;2020
70-79;30;4;2020
