"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"4";"0";"0";"6"
"'6-11";"2";"2";"0";"1";"5"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"29";"24";"0";"0";"53"
"35-59";"793";"348";"0";"2";"1143"
"60-79";"4367";"2370";"0";"22";"6759"
"80+";"6850";"8270";"0";"55";"15175"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"12044";"11020";"0";"80";"23144"
