"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";10698;9932;1;497;21128
"'10-19";19939;19617;3;604;40163
"20-29";34297;32026;5;1187;67515
"30-39";28746;27479;9;1106;57340
"40-49";26828;29610;4;1016;57458
"50-59";32288;33447;6;772;66513
"60-69";17067;15933;4;369;33373
"70-79";11701;12582;6;249;24538
"80-89";9313;17041;18;276;26648
"90-99";1817;6346;5;100;8268
"100+";44;155;0;7;206
"Unbekannt";120;127;0;48;295
"Gesamt";192858;204295;61;6231;403445
