"Meldelandkreis";"Insgesamt VOC";"B.1.1.7 (UK-Variante)";"B.1.351 (SüdAfrika-Variante)";"P.1 (Brazil-Variante)";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1078;938;9;0;131;3993;5071
"LK Altötting";1434;1405;1;1;27;4466;5900
"LK Amberg-Sulzbach";1088;671;0;0;417;3655;4743
"LK Ansbach";1457;1437;1;0;19;6655;8112
"LK Aschaffenburg";1236;1200;3;0;33;6610;7846
"LK Augsburg";2048;1812;105;17;114;9041;11089
"LK Bad Kissingen";768;707;26;0;35;2742;3510
"LK Bad Tölz-Wolfratshausen";940;896;0;0;44;3972;4912
"LK Bamberg";954;929;9;3;13;4396;5350
"LK Bayreuth";1120;77;0;0;1043;3751;4871
"LK Berchtesgadener Land";639;633;6;0;0;5087;5726
"LK Cham";2867;2798;1;2;66;4155;7022
"LK Coburg";1023;1008;2;1;12;3637;4660
"LK Dachau";1506;1471;2;1;32;6582;8088
"LK Deggendorf";684;142;0;0;542;6098;6782
"LK Dillingen a.d.Donau";742;705;19;0;18;2803;3545
"LK Dingolfing-Landau";1738;1706;8;0;24;3864;5602
"LK Donau-Ries";1458;1287;18;0;153;4251;5709
"LK Ebersberg";886;836;6;1;43;5327;6213
"LK Eichstätt";1071;851;1;3;216;3855;4926
"LK Erding";1229;1190;4;4;31;5589;6818
"LK Erlangen-Höchstadt";913;867;0;2;44;4319;5232
"LK Forchheim";1038;1029;0;0;9;3598;4636
"LK Freising";1649;1489;2;3;155;6434;8083
"LK Freyung-Grafenau";939;852;21;0;66;3875;4814
"LK Fürstenfeldbruck";1617;1581;4;2;30;7913;9530
"LK Fürth";946;927;6;0;13;4202;5148
"LK Garmisch-Partenkirchen";720;688;4;0;28;2775;3495
"LK Günzburg";1306;1170;85;1;50;5134;6440
"LK Haßberge";1099;1063;7;0;29;2847;3946
"LK Hof";2034;1998;4;0;32;4205;6239
"LK Kelheim";1454;1418;1;3;32;4340;5794
"LK Kitzingen";580;569;1;3;7;2504;3084
"LK Kronach";770;759;1;1;9;3253;4023
"LK Kulmbach";1372;1309;2;0;61;2662;4034
"LK Landsberg a.Lech";834;617;138;0;79;3163;3997
"LK Landshut";1776;1170;0;0;606;6050;7826
"LK Lichtenfels";999;990;1;0;8;2434;3433
"LK Lindau";698;669;13;0;16;2572;3270
"LK Main-Spessart";1130;1115;1;2;12;3445;4575
"LK Miesbach";698;676;1;0;21;3685;4383
"LK Miltenberg";1125;1106;2;0;17;4643;5768
"LK Mühldorf a.Inn";1652;1629;6;0;17;5221;6873
"LK München";2506;2326;3;0;177;12515;15021
"LK Neu-Ulm";1642;1504;67;2;69;5554;7196
"LK Neuburg-Schrobenhausen";930;899;1;2;28;3099;4029
"LK Neumarkt i.d.OPf.";592;524;0;0;68;5678;6270
"LK Neustadt a.d.Aisch-Bad Windsheim";922;881;0;0;41;3352;4274
"LK Neustadt a.d.Waldnaab";1126;69;1;0;1056;4049;5175
"LK Nürnberger Land";1241;1201;4;3;33;5910;7151
"LK Oberallgäu";1692;1548;56;0;88;4207;5899
"LK Ostallgäu";2315;2229;28;1;57;4632;6947
"LK Passau";1747;1648;31;2;66;11021;12768
"LK Pfaffenhofen a.d.Ilm";1335;1223;2;34;76;4193;5528
"LK Regen";1051;1036;1;0;14;4406;5457
"LK Regensburg";2183;2128;0;1;54;5746;7929
"LK Rhön-Grabfeld";876;869;2;3;2;2562;3438
"LK Rosenheim";2149;2035;1;3;110;11374;13523
"LK Roth";1150;1132;3;0;15;4444;5594
"LK Rottal-Inn";1500;1485;1;0;14;5798;7298
"LK Schwandorf";3061;2934;0;0;127;5134;8195
"LK Schweinfurt";1078;1055;19;2;2;3844;4922
"LK Starnberg";743;723;2;2;16;4258;5001
"LK Straubing-Bogen";1296;1256;1;1;38;3947;5243
"LK Tirschenreuth";1490;1465;0;0;25;3802;5292
"LK Traunstein";2447;2385;14;0;48;8314;10761
"LK Unterallgäu";1895;1810;5;2;78;4990;6885
"LK Weilheim-Schongau";777;768;4;0;5;4078;4855
"LK Weißenburg-Gunzenhausen";754;744;1;0;9;3074;3828
"LK Wunsiedel i.Fichtelgebirge";1500;1419;0;0;81;3485;4985
"LK Würzburg";956;945;1;1;9;3321;4277
"SK Amberg";469;262;0;0;207;1244;1713
"SK Ansbach";187;182;0;0;5;1588;1775
"SK Aschaffenburg";646;628;1;0;17;2656;3302
"SK Augsburg";3117;2602;56;7;452;14184;17301
"SK Bamberg";502;498;3;0;1;2486;2988
"SK Bayreuth";857;44;0;0;813;2580;3437
"SK Coburg";481;475;3;0;3;1805;2286
"SK Erlangen";588;569;0;0;19;3269;3857
"SK Fürth";1863;1836;2;1;24;5539;7402
"SK Hof";1394;1330;1;0;63;2503;3897
"SK Ingolstadt";1083;1058;1;10;14;4783;5866
"SK Kaufbeuren";622;614;0;0;8;1669;2291
"SK Kempten";1122;1052;23;0;47;1729;2851
"SK Landshut";867;500;1;0;366;3096;3963
"SK Memmingen";418;371;5;9;33;1650;2068
"SK München";12549;10811;31;11;1696;58439;70988
"SK Nürnberg";5012;4798;9;19;186;28194;33206
"SK Passau";365;352;0;0;13;2992;3357
"SK Regensburg";1894;1860;3;1;30;4875;6769
"SK Rosenheim";713;677;0;0;36;3135;3848
"SK Schwabach";345;341;0;0;4;1756;2101
"SK Schweinfurt";909;880;20;6;3;2025;2934
"SK Straubing";608;597;0;1;10;1712;2320
"SK Weiden i.d.OPf.";603;30;2;0;571;2081;2684
"SK Würzburg";967;956;3;0;8;3362;4329
