"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"104686";"98705";"12";"2083";"205486"
"'6-11";"217201";"198067";"25";"5259";"420552"
"'12-15";"123757";"116085";"17";"2194";"242053"
"16-19";"127281";"130598";"22";"1988";"259889"
"20-34";"529707";"540619";"73";"8461";"1078860"
"35-59";"768454";"833821";"82";"11553";"1613910"
"60-79";"229406";"232522";"20";"2728";"464676"
"80+";"54519";"92654";"3";"844";"148020"
"unbekannt";"1192";"1185";"1";"113";"2491"
"Gesamt";"2156203";"2244256";"255";"35223";"4435937"
