"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";2318;1044;11;1;1123;139;7839;10157
"LK Altötting";5865;1565;2;3;4273;22;6361;12226
"LK Amberg-Sulzbach";2464;805;0;1;1306;352;5773;8237
"LK Ansbach";3296;1584;1;2;1669;40;12001;15297
"LK Aschaffenburg";3376;1425;4;1;1915;31;8914;12290
"LK Augsburg";6263;2166;114;23;3851;109;15379;21642
"LK Bad Kissingen";1408;830;37;0;494;47;5359;6767
"LK Bad Tölz-Wolfratshausen";3394;1018;1;0;2306;69;9381;12775
"LK Bamberg";2247;1139;17;3;1076;12;9448;11695
"LK Bayreuth";1951;1185;1;0;765;0;5586;7537
"LK Berchtesgadener Land";4611;751;12;4;3837;7;9864;14475
"LK Cham";4774;2966;3;5;1746;54;8214;12988
"LK Coburg";2029;1244;3;0;769;13;5679;7708
"LK Dachau";3638;1603;2;1;1999;33;10689;14327
"LK Deggendorf";3234;276;1;1;2355;601;10672;13906
"LK Dillingen a.d.Donau";3227;1012;26;0;2177;12;5053;8280
"LK Dingolfing-Landau";3818;1993;13;1;1779;32;8632;12450
"LK Donau-Ries";3692;1442;45;1;2050;154;9033;12725
"LK Ebersberg";6027;965;6;3;5001;52;6713;12740
"LK Eichstätt";5075;1301;1;7;3736;30;4991;10066
"LK Erding";6213;1302;6;12;4818;75;7400;13613
"LK Erlangen-Höchstadt";2372;954;2;8;1356;52;6852;9224
"LK Forchheim";2109;1198;1;3;868;39;5910;8019
"LK Freising";5159;1783;9;9;3259;99;9570;14729
"LK Freyung-Grafenau";2803;931;26;0;1779;67;7678;10481
"LK Fürstenfeldbruck";4980;1776;11;0;3144;49;11605;16585
"LK Fürth";3227;1116;8;0;2084;19;5916;9143
"LK Garmisch-Partenkirchen";2352;848;4;2;1390;108;5014;7366
"LK Günzburg";3678;1701;100;1;1816;60;9738;13416
"LK Haßberge";2750;1312;18;0;1388;32;4584;7334
"LK Hof";3126;2137;5;0;953;31;5826;8952
"LK Kelheim";3540;1569;4;3;1926;38;7309;10849
"LK Kitzingen";1959;710;3;3;1223;20;3813;5772
"LK Kronach";1063;857;2;1;193;10;6150;7213
"LK Kulmbach";2050;1364;0;0;626;60;3561;5611
"LK Landsberg a.Lech";2257;728;136;1;1280;112;5968;8225
"LK Landshut";5966;1629;0;1;3951;385;10148;16114
"LK Lichtenfels";1639;1155;2;0;475;7;4149;5788
"LK Lindau";1669;823;13;0;814;19;4683;6352
"LK Main-Spessart";2574;1279;2;1;1283;9;4331;6905
"LK Miesbach";1992;802;2;0;1170;18;8365;10357
"LK Miltenberg";3037;1307;2;0;1710;18;6484;9521
"LK Mühldorf a.Inn";6907;1681;6;11;5184;25;8408;15315
"LK München";8482;2584;7;4;5712;175;17946;26428
"LK Neu-Ulm";4757;2151;70;4;2508;24;10367;15124
"LK Neuburg-Schrobenhausen";3724;996;1;2;2700;25;4616;8340
"LK Neumarkt i.d.OPf.";2133;595;1;0;1461;76;11855;13988
"LK Neustadt a.d.Aisch-Bad Windsheim";2344;1016;0;1;1281;46;5141;7485
"LK Neustadt a.d.Waldnaab";1848;496;1;0;644;707;6636;8484
"LK Nürnberger Land";3453;1495;13;9;1894;42;8928;12381
"LK Oberallgäu";3978;1775;53;2;2046;102;10308;14286
"LK Ostallgäu";4205;2403;28;2;1704;68;10802;15007
"LK Passau";4734;1947;33;2;2724;28;20409;25143
"LK Pfaffenhofen a.d.Ilm";3469;1362;2;35;1994;76;7114;10583
"LK Regen";2831;1153;1;0;1662;15;7382;10213
"LK Regensburg";4324;2442;2;1;1802;77;10958;15282
"LK Rhön-Grabfeld";3449;938;5;3;2497;6;3008;6457
"LK Rosenheim";8385;2331;9;8;5929;108;23388;31773
"LK Roth";3541;1205;3;0;2310;23;6604;10145
"LK Rottal-Inn";3020;1651;13;11;1331;14;13246;16266
"LK Schwandorf";6061;3193;1;3;2792;72;8000;14061
"LK Schweinfurt";2627;1264;29;4;1328;2;6619;9246
"LK Starnberg";2644;819;2;3;1797;23;6718;9362
"LK Straubing-Bogen";3462;1390;2;1;2027;42;7307;10769
"LK Tirschenreuth";2148;1564;0;0;571;13;4830;6978
"LK Traunstein";6222;2605;27;3;3544;43;18572;24794
"LK Unterallgäu";5257;2343;3;7;2888;16;10329;15586
"LK Weilheim-Schongau";3233;1091;5;0;2136;1;8074;11307
"LK Weißenburg-Gunzenhausen";1925;800;3;0;1055;67;6655;8580
"LK Wunsiedel i.Fichtelgebirge";2721;1549;0;0;1166;6;3952;6673
"LK Würzburg";3286;1056;7;5;2215;3;4824;8110
"SK Amberg";1293;319;0;1;793;180;2062;3355
"SK Ansbach";639;239;0;1;387;12;2585;3224
"SK Aschaffenburg";2016;759;1;1;1237;18;3733;5749
"SK Augsburg";10088;3115;70;12;6343;548;20328;30416
"SK Bamberg";1353;582;5;0;754;12;4061;5414
"SK Bayreuth";1615;908;0;0;706;1;3567;5182
"SK Coburg";974;587;4;1;380;2;2513;3487
"SK Erlangen";1538;645;0;1;867;25;5073;6611
"SK Fürth";5112;2038;6;2;3031;35;7460;12572
"SK Hof";1978;1406;2;0;511;59;3036;5014
"SK Ingolstadt";4346;1404;1;12;2912;17;7777;12123
"SK Kaufbeuren";1187;700;0;0;471;16;3138;4325
"SK Kempten";2327;1262;28;0;974;63;4240;6567
"SK Landshut";2806;746;1;0;1824;235;4202;7008
"SK Memmingen";1134;521;5;9;568;31;3207;4341
"SK München";39307;12753;102;42;25573;837;91523;130830
"SK Nürnberg";10524;5899;18;4;4319;284;44602;55126
"SK Passau";961;401;0;0;554;6;4434;5395
"SK Regensburg";4180;2051;3;1;2071;54;9288;13468
"SK Rosenheim";2489;724;0;10;1718;37;5354;7843
"SK Schwabach";1075;381;0;0;689;5;2638;3713
"SK Schweinfurt";1961;1068;25;9;857;2;3500;5461
"SK Straubing";1538;642;1;1;883;11;2923;4461
"SK Weiden i.d.OPf.";933;309;2;1;314;307;2925;3858
"SK Würzburg";3409;1136;4;0;2266;3;4676;8085
