"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22629;20985;1;707;44322
"'10-19";36255;34768;5;877;71905
"20-29";57097;51931;4;1444;110476
"30-39";49150;45970;5;1337;96462
"40-49";45738;48047;4;1208;94997
"50-59";53241;51940;5;953;106139
"60-69";26947;25156;1;417;52521
"70-79";16497;17711;0;250;34458
"80-89";11724;20846;2;274;32846
"90-99";2155;7364;0;81;9600
"100+";22;151;0;4;177
"Unbekannt";20;20;0;8;48
"Gesamt";321475;324889;27;7560;653951
