"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1398;1042;10;0;209;137;4175;5573
"LK Altötting";1890;1564;2;3;299;22;4590;6480
"LK Amberg-Sulzbach";1259;805;0;1;101;352;3709;4968
"LK Ansbach";1663;1579;1;2;52;29;6993;8656
"LK Aschaffenburg";1738;1425;4;1;277;31;6693;8431
"LK Augsburg";2908;2165;114;23;501;105;9224;12132
"LK Bad Kissingen";940;823;35;0;42;40;2831;3771
"LK Bad Tölz-Wolfratshausen";1269;982;0;0;225;62;4226;5495
"LK Bamberg";1379;1140;17;3;214;5;4551;5930
"LK Bayreuth";1212;1165;0;0;47;0;3814;5026
"LK Berchtesgadener Land";1040;751;12;4;273;0;5547;6587
"LK Cham";3129;2966;3;5;101;54;4146;7275
"LK Coburg";1304;1227;3;0;61;13;3675;4979
"LK Dachau";2045;1603;2;1;406;33;6876;8921
"LK Deggendorf";883;274;1;1;10;597;6461;7344
"LK Dillingen a.d.Donau";1377;1011;26;0;332;8;2831;4208
"LK Dingolfing-Landau";2306;1963;13;1;308;21;3965;6271
"LK Donau-Ries";1925;1445;45;1;281;153;4425;6350
"LK Ebersberg";1404;966;6;2;378;52;5418;6822
"LK Eichstätt";1479;1300;1;7;142;29;3988;5467
"LK Erding";1718;1302;6;12;360;38;5736;7454
"LK Erlangen-Höchstadt";1155;951;2;7;146;49;4545;5700
"LK Forchheim";1332;1194;1;3;127;7;3666;4998
"LK Freising";2214;1647;9;8;430;120;6736;8950
"LK Freyung-Grafenau";1089;933;26;0;64;66;3917;5006
"LK Fürstenfeldbruck";2221;1776;11;0;396;38;8210;10431
"LK Fürth";1276;1116;8;0;138;14;4296;5572
"LK Garmisch-Partenkirchen";1000;848;4;2;103;43;2824;3824
"LK Günzburg";2126;1702;100;1;263;60;5241;7367
"LK Haßberge";1422;1312;18;0;62;30;2821;4243
"LK Hof";2224;2131;5;0;58;30;4270;6494
"LK Kelheim";1868;1568;1;3;264;32;4492;6360
"LK Kitzingen";873;710;2;3;150;8;2605;3478
"LK Kronach";878;857;2;1;8;10;3434;4312
"LK Kulmbach";1490;1356;0;0;74;60;2690;4180
