"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"55287";"52006";"2";"1150";"108445"
"'6-11";"116242";"103662";"5";"2911";"222820"
"'12-15";"65896";"60130";"7";"1075";"127108"
"16-19";"65595";"65207";"7";"950";"131759"
"20-34";"273515";"269594";"22";"4341";"547472"
"35-59";"399384";"419198";"25";"5746";"824353"
"60-79";"114679";"113450";"7";"1185";"229321"
"80+";"30333";"54318";"2";"511";"85164"
"unbekannt";"543";"567";"1";"61";"1172"
"Gesamt";"1121474";"1138132";"78";"17930";"2277614"
