"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";3207;2989;0;106;6302
"'10-19";7038;6589;0;168;13795
"20-29";13229;11942;0;290;25461
"30-39";10273;9149;1;259;19682
"40-49";9357;10076;1;219;19653
"50-59";11213;10945;1;163;22322
"60-69";5638;5007;2;67;10714
"70-79";3895;3843;0;45;7783
"80-89";2460;3953;0;22;6435
"90-99";407;1258;0;6;1671
"100+";6;31;0;0;37
"Unbekannt";73;72;0;112;257
"Gesamt";66796;65854;5;1457;134112
