"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";16263;15211;1;449;31924
"'6-11";29369;26586;2;845;56802
"'12-15";21087;19559;5;399;41050
"16-19";26818;26299;3;426;53546
"20-34";121330;111360;6;2226;234922
"35-59";171034;173731;14;2983;347762
"60-79";60068;58975;2;698;119743
"80+";19492;36484;2;393;56371
"Unbekannt";97;94;0;9;200
"Gesamt";465558;468299;35;8428;942320
