"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Todesfälle insgesamt"
"0-9";0;2;0;0;2
"'10-19";1;0;0;0;1
"20-29";8;4;0;0;12
"30-39";13;8;0;0;21
"40-49";52;24;0;0;76
"50-59";343;126;0;0;469
"60-69";805;358;0;5;1168
"70-79";2016;1192;1;14;3223
"80-89";2997;3316;2;43;6358
"90-99";820;1749;1;27;2597
"100+";6;40;0;0;46
"Unbekannt";0;1;0;0;1
"Gesamt";7061;6820;4;89;13974
