"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1187;1040;10;0;0;137;3992;5179
"LK Altötting";1587;1561;2;3;0;21;4454;6041
"LK Amberg-Sulzbach";1158;740;0;1;0;417;3674;4832
"LK Ansbach";1603;1574;1;2;0;26;6798;8401
"LK Aschaffenburg";1444;1402;4;1;6;31;6562;8006
"LK Augsburg";2404;2155;114;22;5;108;9027;11431
"LK Bad Kissingen";887;813;34;0;0;40;2753;3640
"LK Bad Tölz-Wolfratshausen";1032;978;0;0;1;53;4036;5068
"LK Bamberg";1156;1123;14;3;3;13;4445;5601
"LK Bayreuth";1162;87;0;0;0;1075;3767;4929
"LK Berchtesgadener Land";764;744;12;4;4;0;5246;6010
"LK Cham";2973;2905;3;3;1;61;4159;7132
"LK Coburg";1239;1220;2;1;1;15;3649;4888
"LK Dachau";1635;1592;1;1;8;33;6597;8232
"LK Deggendorf";865;266;0;0;1;598;6123;6988
"LK Dillingen a.d.Donau";1034;1001;26;0;0;7;2738;3772
"LK Dingolfing-Landau";1978;1955;8;0;0;15;3833;5811
"LK Donau-Ries";1634;1438;43;0;0;153;4350;5984
"LK Ebersberg";1023;959;6;2;6;50;5339;6362
"LK Eichstätt";1331;1107;1;6;0;217;3735;5066
"LK Erding";1332;1287;4;9;1;31;5635;6967
"LK Erlangen-Höchstadt";997;947;1;2;0;47;4414;5411
"LK Forchheim";1149;1138;0;0;4;7;3636;4785
"LK Freising";1740;1585;6;3;6;140;6424;8164
"LK Freyung-Grafenau";1008;921;21;0;0;66;3905;4913
"LK Fürstenfeldbruck";1777;1727;9;0;4;37;7943;9720
"LK Fürth";1108;1085;8;0;1;14;4246;5354
"LK Garmisch-Partenkirchen";850;813;4;1;0;32;2794;3644
"LK Günzburg";1836;1676;98;1;4;57;5117;6953
"LK Haßberge";1304;1252;7;0;0;45;2766;4070
"LK Hof";2156;2119;5;0;0;32;4243;6399
"LK Kelheim";1555;1518;1;3;1;32;4378;5933
"LK Kitzingen";740;704;2;3;24;7;2547;3287
"LK Kronach";871;857;2;1;1;10;3353;4224
"LK Kulmbach";1405;1341;2;0;1;61;2682;4087
"LK Landsberg a.Lech";934;719;138;0;0;77;3160;4094
"LK Landshut";1972;1489;0;1;1;481;6045;8017
"LK Lichtenfels";1140;1133;1;0;0;6;2444;3584
"LK Lindau";834;796;13;0;5;20;2613;3447
"LK Main-Spessart";1285;1269;1;2;2;11;3463;4748
"LK Miesbach";817;794;2;0;2;19;3764;4581
"LK Miltenberg";1316;1296;2;0;1;17;4680;5996
"LK Mühldorf a.Inn";1713;1678;6;8;2;19;5255;6968
"LK München";2751;2571;6;3;11;160;12600;15351
"LK Neu-Ulm";2140;2007;70;3;0;60;5607;7747
"LK Neuburg-Schrobenhausen";1022;993;1;2;0;26;3147;4169
"LK Neumarkt i.d.OPf.";661;585;0;0;7;69;5901;6562
"LK Neustadt a.d.Aisch-Bad Windsheim";1017;974;0;0;0;43;3367;4384
"LK Neustadt a.d.Waldnaab";1201;71;1;0;0;1129;4054;5255
"LK Nürnberger Land";1486;1439;4;7;1;35;5948;7434
"LK Oberallgäu";1916;1765;53;1;8;89;4067;5983
"LK Ostallgäu";2497;2399;28;2;11;57;4663;7160
"LK Passau";2009;1908;35;2;2;62;10952;12961
"LK Pfaffenhofen a.d.Ilm";1468;1353;2;34;2;77;4175;5643
"LK Regen";1101;1074;1;0;9;17;4428;5529
"LK Regensburg";2496;2423;0;1;11;61;5792;8288
"LK Rhön-Grabfeld";938;926;5;3;1;3;2607;3545
"LK Rosenheim";2440;2323;1;6;2;108;11479;13919
"LK Roth";1225;1204;3;0;1;17;4457;5682
"LK Rottal-Inn";1695;1656;13;11;1;14;5854;7549
"LK Schwandorf";3215;3072;0;0;0;143;5160;8375
"LK Schweinfurt";1302;1262;29;3;6;2;3837;5139
"LK Starnberg";845;813;3;2;4;23;4251;5096
"LK Straubing-Bogen";1406;1367;1;1;1;36;3961;5367
"LK Tirschenreuth";1532;1513;0;0;0;19;3782;5314
"LK Traunstein";2668;2606;16;0;3;43;8396;11064
"LK Unterallgäu";2394;2381;5;3;0;5;4885;7279
"LK Weilheim-Schongau";1098;1089;5;0;2;2;4057;5155
"LK Weißenburg-Gunzenhausen";845;789;2;0;10;44;3076;3921
"LK Wunsiedel i.Fichtelgebirge";1532;1518;0;0;0;14;3492;5024
"LK Würzburg";1071;1038;5;3;17;8;3370;4441
"SK Amberg";498;288;0;0;1;209;1249;1747
"SK Ansbach";241;233;0;0;2;6;1631;1872
"SK Aschaffenburg";773;749;1;1;4;18;2710;3483
"SK Augsburg";3738;3112;68;12;10;536;14210;17948
"SK Bamberg";583;574;3;0;3;3;2517;3100
"SK Bayreuth";889;57;0;0;0;832;2579;3468
"SK Coburg";584;578;3;0;0;3;1817;2401
"SK Erlangen";664;641;0;0;2;21;3332;3996
"SK Fürth";2051;2019;2;2;1;27;5671;7722
"SK Hof";1455;1392;1;0;0;62;2507;3962
"SK Ingolstadt";1436;1403;1;10;5;17;4747;6183
"SK Kaufbeuren";708;700;0;0;0;8;1678;2386
"SK Kempten";1346;1268;27;0;0;51;1944;3290
"SK Landshut";973;664;1;0;7;301;3109;4082
"SK Memmingen";565;521;5;9;0;30;1686;2251
"SK München";14212;12334;52;29;134;1663;59269;73481
"SK Nürnberg";5978;5719;11;20;12;216;28652;34630
"SK Passau";407;392;0;0;4;11;2992;3399
"SK Regensburg";2085;2043;3;1;3;35;4897;6982
"SK Rosenheim";767;720;0;9;2;36;3168;3935
"SK Schwabach";382;379;0;0;0;3;1766;2148
"SK Schweinfurt";1100;1061;25;8;3;3;2060;3160
"SK Straubing";652;640;0;1;0;11;1727;2379
"SK Weiden i.d.OPf.";617;30;2;0;0;585;2078;2695
"SK Würzburg";1137;1116;4;0;10;7;3398;4535
