"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1247;1042;10;0;58;137;4056;5303
"LK Altötting";1662;1564;2;3;71;22;4475;6137
"LK Amberg-Sulzbach";1204;805;0;1;46;352;3691;4895
"LK Ansbach";1636;1580;1;2;26;27;6852;8488
"LK Aschaffenburg";1552;1425;4;1;91;31;6598;8150
"LK Augsburg";2564;2164;114;23;158;105;9077;11641
"LK Bad Kissingen";907;820;35;0;7;45;2781;3688
"LK Bad Tölz-Wolfratshausen";1117;982;0;0;78;57;4098;5215
"LK Bamberg";1250;1141;17;3;84;5;4499;5749
"LK Bayreuth";1180;1164;0;0;16;0;3782;4962
"LK Berchtesgadener Land";856;751;12;4;89;0;5419;6275
"LK Cham";3081;2966;3;5;53;54;4128;7209
"LK Coburg";1271;1227;3;0;28;13;3660;4931
"LK Dachau";1757;1602;2;1;119;33;6682;8439
"LK Deggendorf";883;274;1;1;10;597;6241;7124
"LK Dillingen a.d.Donau";1179;1011;26;0;134;8;2770;3949
"LK Dingolfing-Landau";2100;1963;13;1;107;16;3880;5980
"LK Donau-Ries";1717;1445;46;1;72;153;4386;6103
"LK Ebersberg";1104;965;6;2;82;49;5378;6482
"LK Eichstätt";1380;1300;1;7;43;29;3816;5196
"LK Erding";1454;1302;6;12;103;31;5659;7113
"LK Erlangen-Höchstadt";1062;949;2;7;56;48;4457;5519
"LK Forchheim";1250;1194;1;3;45;7;3610;4860
"LK Freising";1896;1644;9;8;116;119;6584;8480
"LK Freyung-Grafenau";1037;933;26;0;12;66;3907;4944
"LK Fürstenfeldbruck";1962;1776;11;0;138;37;7985;9947
"LK Fürth";1181;1116;8;0;43;14;4250;5431
"LK Garmisch-Partenkirchen";891;828;4;1;25;33;2799;3690
"LK Günzburg";1908;1702;100;1;45;60;5084;6992
"LK Haßberge";1378;1312;18;0;18;30;2745;4123
"LK Hof";2173;2129;5;0;8;31;4256;6429
"LK Kelheim";1656;1568;1;3;52;32;4349;6005
"LK Kitzingen";808;710;2;3;85;8;2566;3374
"LK Kronach";871;857;2;1;1;10;3380;4251
"LK Kulmbach";1422;1351;2;0;9;60;2678;4100
"LK Landsberg a.Lech";973;726;135;0;31;81;3207;4180
"LK Landshut";2084;1629;0;1;69;385;6044;8128
"LK Lichtenfels";1168;1155;1;0;5;7;2441;3609
"LK Lindau";896;823;13;0;41;19;2607;3503
"LK Main-Spessart";1357;1279;2;1;66;9;3483;4840
"LK Miesbach";844;802;2;0;22;18;3819;4663
"LK Miltenberg";1430;1307;2;0;104;17;4706;6136
"LK Mühldorf a.Inn";1813;1681;6;10;96;20;5273;7086
"LK München";2863;2586;6;3;99;169;12853;15716
"LK Neu-Ulm";2304;2155;70;3;55;21;5470;7774
"LK Neuburg-Schrobenhausen";1047;996;1;2;23;25;3217;4264
"LK Neumarkt i.d.OPf.";685;593;0;0;23;69;5929;6614
"LK Neustadt a.d.Aisch-Bad Windsheim";1098;1015;0;0;41;42;3338;4436
"LK Neustadt a.d.Waldnaab";1225;496;1;0;21;707;4087;5312
"LK Nürnberger Land";1579;1494;5;7;37;36;5937;7516
"LK Oberallgäu";2002;1775;53;1;86;87;4075;6077
"LK Ostallgäu";2566;2403;28;2;76;57;4692;7258
"LK Passau";2048;1951;33;2;35;27;10944;12992
"LK Pfaffenhofen a.d.Ilm";1531;1360;2;35;58;76;4214;5745
"LK Regen";1238;1152;1;0;70;15;4384;5622
"LK Regensburg";2633;2444;0;1;125;63;5831;8464
"LK Rhön-Grabfeld";953;929;5;3;13;3;2618;3571
"LK Rosenheim";2587;2330;1;7;142;107;11581;14168
"LK Roth";1255;1206;3;0;29;17;4480;5735
"LK Rottal-Inn";1749;1656;13;11;55;14;5880;7629
"LK Schwandorf";3385;3193;0;0;120;72;5147;8532
"LK Schweinfurt";1325;1266;29;4;24;2;3881;5206
"LK Starnberg";969;819;2;3;122;23;4280;5249
"LK Straubing-Bogen";1475;1389;1;1;48;36;3969;5444
"LK Tirschenreuth";1599;1564;0;0;22;13;3749;5348
