"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1521;1042;11;0;331;137;4251;5772
"LK Altötting";2131;1564;2;3;540;22;4644;6775
"LK Amberg-Sulzbach";1305;805;0;1;147;352;3743;5048
"LK Ansbach";1750;1579;1;2;139;29;7144;8894
"LK Aschaffenburg";1897;1425;4;1;436;31;6813;8710
"LK Augsburg";3259;2165;114;23;850;107;9314;12573
"LK Bad Kissingen";1020;830;36;0;114;40;2820;3840
"LK Bad Tölz-Wolfratshausen";1458;982;0;0;411;65;4344;5802
"LK Bamberg";1456;1140;17;3;291;5;4630;6086
"LK Bayreuth";1267;1166;0;0;101;0;3817;5084
"LK Berchtesgadener Land";1307;751;12;4;540;0;5728;7035
"LK Cham";3242;2966;3;5;214;54;4211;7453
"LK Coburg";1406;1244;3;0;149;10;3695;5101
"LK Dachau";2318;1603;2;1;679;33;6949;9267
"LK Deggendorf";973;274;1;1;100;597;6606;7579
"LK Dillingen a.d.Donau";1476;1011;26;0;431;8;2846;4322
"LK Dingolfing-Landau";2466;1963;13;1;455;34;3980;6446
"LK Donau-Ries";2074;1445;45;1;430;153;4455;6529
"LK Ebersberg";1698;966;6;2;672;52;5439;7137
"LK Eichstätt";1554;1300;1;7;217;29;4223;5777
"LK Erding";2061;1302;6;12;697;44;5812;7873
"LK Erlangen-Höchstadt";1213;951;2;7;204;49;4647;5860
"LK Forchheim";1444;1194;1;3;239;7;3690;5134
"LK Freising";2414;1645;9;8;632;120;6812;9226
"LK Freyung-Grafenau";1192;933;26;0;167;66;3932;5124
"LK Fürstenfeldbruck";2505;1776;11;0;679;39;8266;10771
"LK Fürth";1396;1116;8;0;258;14;4337;5733
"LK Garmisch-Partenkirchen";1056;848;4;2;159;43;2854;3910
"LK Günzburg";2283;1702;100;1;420;60;5316;7599
"LK Haßberge";1454;1312;18;0;94;30;2907;4361
"LK Hof";2263;2132;5;0;96;30;4292;6555
"LK Kelheim";2059;1568;1;3;453;34;4605;6664
"LK Kitzingen";953;710;2;3;230;8;2622;3575
"LK Kronach";904;857;2;1;34;10;3447;4351
"LK Kulmbach";1548;1356;0;0;132;60;2703;4251
"LK Landsberg a.Lech";1221;728;136;0;257;100;3349;4570
"LK Landshut";2611;1630;0;1;595;385;6136;8747
"LK Lichtenfels";1273;1155;1;0;110;7;2484;3757
"LK Lindau";1109;823;13;0;254;19;2653;3762
"LK Main-Spessart";1555;1279;2;1;264;9;3503;5058
"LK Miesbach";991;802;2;0;169;18;3988;4979
"LK Miltenberg";1805;1307;2;0;479;17;4793;6598
"LK Mühldorf a.Inn";2199;1681;6;10;482;20;5378;7577
"LK München";3729;2583;6;4;963;173;13285;17014
"LK Neu-Ulm";2725;2153;70;3;477;22;5939;8664
"LK Neuburg-Schrobenhausen";1353;996;1;2;329;25;3318;4671
"LK Neumarkt i.d.OPf.";970;593;0;0;307;70;6184;7154
"LK Neustadt a.d.Aisch-Bad Windsheim";1222;1015;0;0;165;42;3442;4664
"LK Neustadt a.d.Waldnaab";1309;496;1;0;105;707;4120;5429
"LK Nürnberger Land";1749;1494;5;7;207;36;6141;7890
"LK Oberallgäu";2433;1774;53;2;518;86;4182;6615
"LK Ostallgäu";2985;2403;28;2;493;59;4865;7850
"LK Passau";2365;1947;33;2;357;26;11047;13412
"LK Pfaffenhofen a.d.Ilm";1845;1361;2;35;371;76;4388;6233
"LK Regen";1354;1153;1;1;184;15;4422;5776
"LK Regensburg";3003;2445;0;1;493;64;6029;9032
"LK Rhön-Grabfeld";1080;938;5;3;131;3;2683;3763
"LK Rosenheim";3621;2331;1;7;1175;107;12244;15865
"LK Roth";1519;1206;3;0;293;17;4625;6144
"LK Rottal-Inn";2049;1656;13;11;355;14;6060;8109
"LK Schwandorf";3658;3193;1;1;391;72;5261;8919
"LK Schweinfurt";1472;1266;29;4;171;2;4171;5643
"LK Starnberg";1362;818;2;3;516;23;4436;5798
"LK Straubing-Bogen";1741;1389;1;1;306;44;4030;5771
"LK Tirschenreuth";1660;1564;0;0;83;13;3781;5441
"LK Traunstein";3633;2605;23;3;959;43;8700;12333
"LK Unterallgäu";3017;2344;3;7;647;16;5111;8128
"LK Weilheim-Schongau";1549;1091;5;0;452;1;4193;5742
"LK Weißenburg-Gunzenhausen";1066;800;3;0;196;67;3240;4306
"LK Wunsiedel i.Fichtelgebirge";1683;1549;0;0;128;6;3492;5175
"LK Würzburg";1535;1055;7;3;467;3;3465;5000
"SK Amberg";694;319;0;0;195;180;1318;2012
"SK Ansbach";321;239;0;1;72;9;1745;2066
"SK Aschaffenburg";1081;759;1;1;302;18;2865;3946
"SK Augsburg";5884;3115;70;12;2140;547;14539;20423
"SK Bamberg";912;580;4;0;322;6;2615;3527
"SK Bayreuth";1002;891;0;0;111;0;2685;3687
"SK Coburg";680;587;4;0;88;1;1851;2531
"SK Erlangen";865;644;0;1;197;23;3550;4415
"SK Fürth";2559;2037;6;2;485;29;5813;8372
"SK Hof";1592;1406;2;0;126;58;2565;4157
"SK Ingolstadt";2200;1404;1;12;766;17;5057;7257
"SK Kaufbeuren";908;700;0;0;196;12;1765;2673
"SK Kempten";1608;1262;27;0;269;50;1998;3606
"SK Landshut";1387;745;1;0;406;235;3138;4525
