"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"98372";"92655";"12";"1924";"192963"
"'6-11";"204738";"186024";"24";"4895";"395681"
"'12-15";"116462";"108855";"17";"2000";"227334"
"16-19";"120144";"122788";"21";"1835";"244788"
"20-34";"494905";"503295";"67";"7720";"1005987"
"35-59";"712486";"771365";"74";"10382";"1494307"
"60-79";"209966";"212022";"19";"2356";"424363"
"80+";"50512";"86936";"3";"770";"138221"
"unbekannt";"1222";"1244";"1";"100";"2567"
"Gesamt";"2008807";"2085184";"238";"31982";"4126211"
