"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";14490;13523;0;436;28449
"'6-11";23299;21364;2;628;45293
"'12-15";17440;16055;2;372;33869
"16-19";23438;23120;3;408;46969
"20-34";107194;98008;6;2138;207346
"35-59";149940;151495;11;2865;304311
"60-79";52819;51804;2;675;105300
"80+";17661;33746;2;378;51787
"Unbekannt";46;43;0;8;97
"Gesamt";406327;409158;28;7908;823421
