"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22425;20785;1;722;43933
"'10-19";35635;34243;5;894;70777
"20-29";56314;51320;4;1467;109105
"30-39";48706;45583;5;1366;95660
"40-49";45455;47751;4;1239;94449
"50-59";52975;51731;6;970;105682
"60-69";26869;25066;2;427;52364
"70-79";16475;17670;2;260;34407
"80-89";11691;20793;12;289;32785
"90-99";2151;7350;2;85;9588
"100+";22;151;0;4;177
"Unbekannt";22;21;0;6;49
"Gesamt";318740;322464;43;7729;648976
