"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";13935;12987;0;429;27351
"'6-11";21261;19541;2;546;41350
"'12-15";16196;14858;2;353;31409
"16-19";22373;22090;3;395;44861
"20-34";103067;93940;6;2110;199123
"35-59";144102;145147;10;2809;292068
"60-79";50998;49953;2;660;101613
"80+";17152;33031;2;375;50560
"Unbekannt";32;28;0;6;66
"Gesamt";389116;391575;27;7683;788401
