"Altersgruppe";"männlich";"weiblich";"unbekannt";"Gesamt"
"0-9";713;669;1;1383
"'10-19";1375;1546;2;2923
"20-29";3815;3710;4;7529
"30-39";3326;3253;3;6582
"40-49";3235;3918;1;7154
"50-59";4348;4912;1;9261
"60-69";2564;2216;0;4780
"70-79";2085;1997;1;4083
"80-89";1528;2468;0;3996
"90-99";248;812;1;1061
"100+";0;12;0;12
"Unbekannt";3;2;0;5
"Gesamt";23240;25515;14;48769
