"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";18558;17204;1;726;36489
"'10-19";30587;29612;5;890;61094
"20-29";49863;45853;5;1495;97216
"30-39";43194;40384;8;1377;84963
"40-49";40244;42671;6;1272;84193
"50-59";47441;46916;7;1017;95381
"60-69";24407;22783;3;442;47635
"70-79";15435;16518;6;289;32248
"80-89";11218;19959;18;326;31521
"90-99";2078;7105;5;108;9296
"100+";27;147;0;5;179
"Unbekannt";31;19;0;27;77
"Gesamt";283083;289171;64;7974;580292
