"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";9093;8458;0;417;17968
"'10-19";17164;16637;1;502;34304
"20-29";28901;26792;3;991;56687
"30-39";23957;22888;3;938;47786
"40-49";22403;24693;4;828;47928
"50-59";26937;27720;3;646;55306
"60-69";13990;13048;5;275;27318
"70-79";9552;10327;6;166;20051
"80-89";7302;13394;21;156;20873
"90-99";1438;4917;2;44;6401
"100+";37;124;0;7;168
"Unbekannt";130;144;0;53;327
"Gesamt";160904;169142;48;5023;335117
