"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"4";"0";"0";"6"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"2";"1";"0";"0";"3"
"20-34";"26";"23";"0";"0";"49"
"35-59";"769";"329";"0";"2";"1100"
"60-79";"4192";"2264";"0";"20";"6476"
"80+";"6519";"7884";"0";"51";"14454"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11512";"10508";"0";"73";"22093"
