"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-5";15177;14118;0;445;29740
"'6-11";25171;23082;2;642;48897
"'12-15";18669;17216;2;377;36264
"16-19";24727;24353;3;415;49498
"20-34";112814;103422;6;2187;218429
"35-59";158100;160116;12;2913;321141
"60-79";55580;54602;2;686;110870
"80+";18415;34942;2;385;53744
"Unbekannt";65;68;0;10;143
"Gesamt";428718;431919;29;8060;868726
