"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1189;1042;10;0;0;137;4068;5257
"LK Altötting";1621;1564;2;3;31;21;4463;6084
"LK Amberg-Sulzbach";1180;805;0;1;22;352;3686;4866
"LK Ansbach";1624;1580;1;2;16;25;6833;8457
"LK Aschaffenburg";1510;1425;4;1;49;31;6572;8082
"LK Augsburg";2500;2164;114;23;94;105;9051;11551
"LK Bad Kissingen";899;820;35;0;4;40;2756;3655
"LK Bad Tölz-Wolfratshausen";1080;980;0;0;44;56;4072;5152
"LK Bamberg";1224;1143;17;3;56;5;4476;5700
"LK Bayreuth";1169;1164;0;0;5;0;3777;4946
"LK Berchtesgadener Land";802;751;12;4;35;0;5364;6166
"LK Cham";3049;2965;3;5;22;54;4110;7159
"LK Coburg";1255;1227;3;0;12;13;3654;4909
"LK Dachau";1692;1602;2;1;54;33;6631;8323
"LK Deggendorf";879;271;1;0;10;597;6178;7057
"LK Dillingen a.d.Donau";1097;1011;26;0;53;7;2767;3864
"LK Dingolfing-Landau";2019;1961;13;1;28;16;3842;5861
"LK Donau-Ries";1687;1445;45;1;43;153;4372;6059
"LK Ebersberg";1047;964;6;2;26;49;5382;6429
"LK Eichstätt";1358;1300;1;7;21;29;3756;5114
"LK Erding";1389;1302;6;12;39;30;5647;7036
"LK Erlangen-Höchstadt";1029;949;2;7;23;48;4442;5471
"LK Forchheim";1237;1194;1;3;32;7;3606;4843
"LK Freising";1785;1643;8;8;7;119;6571;8356
"LK Freyung-Grafenau";1028;934;26;0;2;66;3906;4934
"LK Fürstenfeldbruck";1885;1776;11;0;61;37;7953;9838
"LK Fürth";1166;1116;8;0;28;14;4241;5407
"LK Garmisch-Partenkirchen";876;828;4;1;11;32;2790;3666
"LK Günzburg";1890;1702;100;1;27;60;5075;6965
"LK Haßberge";1370;1312;18;0;10;30;2736;4106
"LK Hof";2165;2128;5;0;1;31;4245;6410
"LK Kelheim";1631;1567;1;3;28;32;4344;5975
"LK Kitzingen";782;710;2;3;59;8;2558;3340
"LK Kronach";871;857;2;1;1;10;3365;4236
"LK Kulmbach";1411;1342;2;0;6;61;2682;4093
"LK Landsberg a.Lech";959;726;135;0;21;77;3194;4153
"LK Landshut";2049;1629;0;1;39;380;6034;8083
"LK Lichtenfels";1165;1155;1;0;2;7;2431;3596
"LK Lindau";871;823;13;0;16;19;2600;3471
"LK Main-Spessart";1325;1279;2;1;34;9;3463;4788
"LK Miesbach";834;801;2;0;13;18;3793;4627
"LK Miltenberg";1355;1306;2;0;30;17;4706;6061
"LK Mühldorf a.Inn";1745;1681;6;10;29;19;5259;7004
"LK München";2797;2584;6;3;41;163;12758;15555
"LK Neu-Ulm";2264;2149;70;3;21;21;5436;7700
"LK Neuburg-Schrobenhausen";1036;996;1;2;12;25;3179;4215
"LK Neumarkt i.d.OPf.";675;593;0;0;13;69;5909;6584
"LK Neustadt a.d.Aisch-Bad Windsheim";1070;1015;0;0;13;42;3340;4410
"LK Neustadt a.d.Waldnaab";1211;496;1;0;7;707;4062;5273
"LK Nürnberger Land";1560;1494;5;7;19;35;5922;7482
"LK Oberallgäu";1964;1775;53;1;48;87;4048;6012
"LK Ostallgäu";2522;2403;28;2;32;57;4666;7188
"LK Passau";2020;1946;33;2;12;27;10929;12949
"LK Pfaffenhofen a.d.Ilm";1492;1360;2;35;19;76;4205;5697
"LK Regen";1184;1152;1;0;16;15;4374;5558
"LK Regensburg";2583;2443;0;1;77;62;5812;8395
"LK Rhön-Grabfeld";952;929;5;3;12;3;2611;3563
"LK Rosenheim";2497;2329;1;7;53;107;11525;14022
"LK Roth";1241;1206;3;0;15;17;4464;5705
"LK Rottal-Inn";1695;1656;13;11;1;14;5890;7585
"LK Schwandorf";3343;3193;0;0;78;72;5146;8489
"LK Schweinfurt";1321;1266;29;4;20;2;3848;5169
"LK Starnberg";933;818;2;3;87;23;4272;5205
"LK Straubing-Bogen";1442;1388;1;1;16;36;3965;5407
"LK Tirschenreuth";1581;1564;0;0;4;13;3744;5325
"LK Traunstein";2730;2605;23;3;56;43;8447;11177
"LK Unterallgäu";2411;2347;3;7;38;16;4924;7335
"LK Weilheim-Schongau";1121;1091;5;0;24;1;4084;5205
"LK Weißenburg-Gunzenhausen";885;800;3;0;15;67;3045;3930
"LK Wunsiedel i.Fichtelgebirge";1561;1549;0;0;6;6;3477;5038
"LK Würzburg";1119;1054;8;3;51;3;3381;4500
"SK Amberg";527;317;0;0;30;180;1256;1783
"SK Ansbach";252;239;0;1;6;6;1631;1883
"SK Aschaffenburg";819;758;1;1;41;18;2727;3546
"SK Augsburg";3959;3117;71;12;212;547;14279;18238
"SK Bamberg";657;582;4;0;67;4;2537;3194
"SK Bayreuth";896;890;0;0;6;0;2595;3491
"SK Coburg";597;585;3;0;8;1;1817;2414
"SK Erlangen";700;642;0;0;36;22;3354;4054
"SK Fürth";2107;2037;6;2;34;28;5671;7778
"SK Hof";1466;1398;2;0;4;62;2514;3980
"SK Ingolstadt";1474;1404;1;10;42;17;4791;6265
"SK Kaufbeuren";719;700;0;0;11;8;1689;2408
"SK Kempten";1354;1266;27;0;10;51;1933;3287
"SK Landshut";1020;745;1;0;39;235;3113;4133
"SK Memmingen";570;521;5;9;5;30;1696;2266
"SK München";14460;12705;81;39;904;731;60461;74921
"SK Nürnberg";6258;5894;13;4;127;220;28681;34939
"SK Passau";406;395;0;0;5;6;2983;3389
"SK Regensburg";2173;2051;3;1;83;35;4945;7118
"SK Rosenheim";781;723;0;10;12;36;3179;3960
"SK Schwabach";388;380;0;0;5;3;1769;2157
"SK Schweinfurt";1125;1071;25;9;17;3;2068;3193
"SK Straubing";655;641;0;1;2;11;1730;2385
"SK Weiden i.d.OPf.";621;309;2;1;3;306;2088;2709
"SK Würzburg";1211;1136;4;0;69;2;3425;4636
