"Meldelandkreis";"Insgesamt VOC";"Alpha B.1.1.7";"Beta B.1.351";"Gamma P.1";"Delta B.1.617.2";"PCR-Hinweis auf VOC";"andere/ sonstige";"Gesamt"
"LK Aichach-Friedberg";1229;1042;10;0;40;137;4040;5269
"LK Altötting";1634;1564;2;3;44;21;4464;6098
"LK Amberg-Sulzbach";1189;805;0;1;31;352;3685;4874
"LK Ansbach";1630;1581;1;2;20;26;6841;8471
"LK Aschaffenburg";1519;1425;4;1;58;31;6590;8109
"LK Augsburg";2531;2164;114;23;125;105;9059;11590
"LK Bad Kissingen";902;820;35;0;7;40;2761;3663
"LK Bad Tölz-Wolfratshausen";1097;982;0;0;59;56;4083;5180
"LK Bamberg";1241;1142;17;3;74;5;4477;5718
"LK Bayreuth";1174;1164;0;0;10;0;3777;4951
"LK Berchtesgadener Land";842;751;12;4;75;0;5378;6220
"LK Cham";3060;2965;3;5;33;54;4121;7181
"LK Coburg";1262;1227;3;0;19;13;3657;4919
"LK Dachau";1709;1602;2;1;71;33;6643;8352
"LK Deggendorf";881;273;1;0;10;597;6188;7069
"LK Dillingen a.d.Donau";1118;1010;26;0;74;8;2773;3891
"LK Dingolfing-Landau";2041;1963;13;1;48;16;3846;5887
"LK Donau-Ries";1693;1445;46;1;48;153;4373;6066
"LK Ebersberg";1076;965;6;2;54;49;5366;6442
"LK Eichstätt";1366;1300;1;7;29;29;3769;5135
"LK Erding";1402;1302;6;12;51;31;5655;7057
"LK Erlangen-Höchstadt";1049;949;2;7;43;48;4449;5498
"LK Forchheim";1246;1194;1;3;41;7;3605;4851
"LK Freising";1832;1643;9;8;53;119;6566;8398
"LK Freyung-Grafenau";1031;933;26;0;6;66;3907;4938
"LK Fürstenfeldbruck";1911;1776;11;0;87;37;7966;9877
"LK Fürth";1172;1116;8;0;34;14;4243;5415
"LK Garmisch-Partenkirchen";879;828;4;1;13;33;2791;3670
"LK Günzburg";1897;1702;100;1;34;60;5073;6970
"LK Haßberge";1373;1312;18;0;13;30;2737;4110
"LK Hof";2169;2128;5;0;5;31;4250;6419
"LK Kelheim";1640;1568;1;3;36;32;4344;5984
"LK Kitzingen";788;710;2;3;65;8;2568;3356
"LK Kronach";871;857;2;1;1;10;3368;4239
"LK Kulmbach";1418;1348;2;0;7;61;2678;4096
"LK Landsberg a.Lech";966;726;135;0;28;77;3199;4165
"LK Landshut";2056;1629;0;1;46;380;6042;8098
"LK Lichtenfels";1165;1155;1;0;2;7;2439;3604
"LK Lindau";880;823;13;0;25;19;2601;3481
"LK Main-Spessart";1338;1279;2;1;47;9;3464;4802
"LK Miesbach";839;801;2;0;18;18;3797;4636
"LK Miltenberg";1388;1306;2;0;63;17;4708;6096
"LK Mühldorf a.Inn";1753;1681;6;10;37;19;5262;7015
"LK München";2818;2584;6;3;59;166;12803;15621
"LK Neu-Ulm";2278;2152;70;3;32;21;5452;7730
"LK Neuburg-Schrobenhausen";1040;996;1;2;16;25;3190;4230
"LK Neumarkt i.d.OPf.";675;593;0;0;13;69;5918;6593
"LK Neustadt a.d.Aisch-Bad Windsheim";1086;1015;0;0;29;42;3341;4427
"LK Neustadt a.d.Waldnaab";1211;496;1;0;7;707;4074;5285
"LK Nürnberger Land";1567;1494;5;7;26;35;5927;7494
"LK Oberallgäu";1977;1775;53;1;61;87;4062;6039
"LK Ostallgäu";2531;2403;28;2;41;57;4677;7208
"LK Passau";2025;1951;33;2;12;27;10926;12951
"LK Pfaffenhofen a.d.Ilm";1501;1360;2;35;28;76;4217;5718
"LK Regen";1203;1152;1;0;35;15;4377;5580
"LK Regensburg";2612;2444;0;1;105;62;5807;8419
"LK Rhön-Grabfeld";952;929;5;3;12;3;2614;3566
"LK Rosenheim";2514;2330;1;7;69;107;11545;14059
"LK Roth";1243;1206;3;0;17;17;4470;5713
"LK Rottal-Inn";1708;1656;13;11;14;14;5897;7605
"LK Schwandorf";3366;3193;0;0;101;72;5148;8514
"LK Schweinfurt";1323;1266;29;4;22;2;3859;5182
"LK Starnberg";953;818;2;3;107;23;4269;5222
"LK Straubing-Bogen";1463;1389;1;1;36;36;3966;5429
"LK Tirschenreuth";1587;1564;0;0;10;13;3741;5328
"LK Traunstein";2752;2606;23;3;77;43;8447;11199
"LK Unterallgäu";2426;2347;3;7;53;16;4929;7355
"LK Weilheim-Schongau";1137;1091;5;0;40;1;4093;5230
"LK Weißenburg-Gunzenhausen";886;800;3;0;16;67;3050;3936
"LK Wunsiedel i.Fichtelgebirge";1565;1549;0;0;10;6;3480;5045
"LK Würzburg";1133;1054;7;3;66;3;3378;4511
"SK Amberg";532;317;0;0;35;180;1257;1789
"SK Ansbach";253;239;0;1;7;6;1632;1885
"SK Aschaffenburg";845;759;1;1;66;18;2741;3586
"SK Augsburg";4055;3116;71;12;309;547;14283;18338
"SK Bamberg";672;580;4;0;84;4;2544;3216
"SK Bayreuth";902;890;0;0;12;0;2601;3503
"SK Coburg";600;585;3;0;11;1;1816;2416
