"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";8627;8009;0;378;17014
"'10-19";16302;15744;0;479;32525
"20-29";27333;25097;2;913;53345
"30-39";22525;21374;3;859;44761
"40-49";21054;23051;3;760;44868
"50-59";25231;25766;3;599;51599
"60-69";12981;12109;3;253;25346
"70-79";8852;9497;1;152;18502
"80-89";6664;12061;4;127;18856
"90-99";1311;4371;1;37;5720
"100+";34;107;0;6;147
"Unbekannt";123;128;0;51;302
"Gesamt";151037;157314;20;4614;312985
