"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"92964";"87564";"12";"1800";"182340"
"'6-11";"193173";"174948";"23";"4572";"372716"
"'12-15";"109285";"102092";"16";"1830";"213223"
"16-19";"113488";"115648";"20";"1682";"230838"
"20-34";"465733";"472631";"62";"7028";"945454"
"35-59";"667237";"719945";"69";"9304";"1396555"
"60-79";"194384";"195488";"17";"2022";"391911"
"80+";"47295";"82011";"3";"707";"130016"
"unbekannt";"1141";"1193";"1";"92";"2427"
"Gesamt";"1884700";"1951520";"223";"29037";"3865480"
