"Altersgruppe";"männlich";"weiblich";"divers";"unbekannt";"Gesamt"
"0-9";22398;20749;1;725;43873
"'10-19";35533;34147;5;896;70581
"20-29";56148;51184;4;1465;108801
"30-39";48609;45525;5;1367;95506
"40-49";45399;47679;4;1241;94323
"50-59";52937;51688;6;971;105602
"60-69";26849;25045;2;429;52325
"70-79";16470;17660;2;261;34393
"80-89";11685;20790;12;289;32776
"90-99";2149;7346;2;86;9583
"100+";22;151;0;4;177
"Unbekannt";22;22;0;6;50
"Gesamt";318221;321986;43;7740;647990
