"age.cat";"männlich";"weiblich";"divers";"unbekannt";"gesamt"
"0-5";"2";"4";"0";"0";"6"
"'6-11";"2";"2";"0";"0";"4"
"'12-15";"0";"1";"0";"0";"1"
"16-19";"1";"1";"0";"0";"2"
"20-34";"28";"23";"0";"0";"51"
"35-59";"776";"331";"0";"2";"1109"
"60-79";"4234";"2288";"0";"21";"6543"
"80+";"6619";"8006";"0";"54";"14679"
"unbekannt";"0";"0";"0";"0";"0"
"Gesamt";"11662";"10656";"0";"77";"22395"
